"Matrix_subsample"	"Top1"	"Top2"	"Top3"	"Top4"	"Top5"	"Top6"	"Top7"	"Top8"
"MX_all"	"PurR (max: -0.63, avg5: 0.58)"	"AgaR (max: 0.73, avg5: 0.59)"	"MetR (max: -0.64, avg5: 0.55)"	"LiuR (max: 0.60, avg5: 0.55)"	"GulR (max: 0.64, avg5: 0.54)"	"GntR (max: 0.70, avg5: 0.57)"	"FUR (max: -0.64, avg5: 0.52)"	"NtrC (max: -0.61, avg5: 0.50)"
"MX_epi"	"MetR (max: -0.62, avg5: 0.58)"	"PurR (max: 0.62, avg5: 0.60)"	"AgaR (max: 0.67, avg5: 0.64)"	"GntR (max: 0.67, avg5: 0.59)"	"LiuR (max: 0.62, avg5: 0.58)"	"FabR (max: -0.68, avg5: 0.64)"	"GulR (max: -0.61, avg5: 0.57)"	"FUR (max: -0.58, avg5: 0.53)"
"MX_epi-nonpolar"	"KdgR (max: -0.58, avg5: 0.45)"	"NagC (max: -0.53, avg5: 0.42)"	"GntR (max: 0.53, avg5: 0.43)"	"MetR (max: -0.48, avg5: 0.42)"	"FadR (max: 0.49, avg5: 0.43)"	"FUR (max: -0.51, avg5: 0.40)"	"ThiR (max: -0.50, avg5: 0.40)"	"FabR (max: 0.44, avg5: 0.41)"
"MX_nonpolar"	"AcnR (max: 0.66, avg5: 0.52)"	"KdgR (max: -0.62, avg5: 0.58)"	"NagC (max: -0.61, avg5: 0.55)"	"GntR (max: 0.70, avg5: 0.58)"	"FadR (max: 0.70, avg5: 0.57)"	"NrtR (max: -0.64, avg5: 0.53)"	"MntR (max: -0.60, avg5: 0.52)"	"MetR (max: -0.58, avg5: 0.52)"
"MX_polar"	"SiaR (max: -0.70, avg5: 0.64)"	"PurR (max: 0.77, avg5: 0.61)"	"NadQ (max: -0.68, avg5: 0.63)"	"MetR (max: -0.74, avg5: 0.59)"	"LiuR (max: 0.67, avg5: 0.55)"	"FUR (max: -0.67, avg5: 0.60)"	"GulR (max: -0.74, avg5: 0.60)"	"SahR_SamR (max: -0.64, avg5: 0.59)"
"MX_srf"	"MetR (max: -0.71, avg5: 0.68)"	"LiuR (max: 0.70, avg5: 0.67)"	"PurR (max: 0.70, avg5: 0.68)"	"FUR (max: -0.66, avg5: 0.63)"	"AgaR (max: -0.73, avg5: 0.69)"	"KdgR (max: -0.66, avg5: 0.63)"	"FabR (max: 0.75, avg5: 0.69)"	"SahR_SamR (max: -0.66, avg5: 0.61)"
"MX_srf-nonpolar"	"FabR (max: 0.77, avg5: 0.56)"	"KdgR (max: -0.57, avg5: 0.50)"	"PdxR (max: -0.60, avg5: 0.51)"	"NagC (max: -0.54, avg5: 0.46)"	"MetR (max: -0.54, avg5: 0.46)"	"FadR (max: 0.48, avg5: 0.45)"	"LiuR (max: 0.50, avg5: 0.47)"	"FruR (max: 0.57, avg5: 0.50)"
"MX_srf-polar"	"AcnR (max: -0.75, avg5: 0.68)"	"DasR (max: -0.69, avg5: 0.66)"	"SahR_SamR (max: 0.76, avg5: 0.71)"	"NadQ (max: 0.74, avg5: 0.71)"	"ThiR (max: -0.70, avg5: 0.63)"	"NsrR (max: 0.76, avg5: 0.70)"	"HcpR (max: -0.75, avg5: 0.69)"	"FUR (max: 0.76, avg5: 0.67)"
"M0_all"	"NtrC (max: -0.69, avg5: 0.56)"	"LiuR (max: 0.68, avg5: 0.58)"	"AgaR (max: 0.77, avg5: 0.59)"	"GguR (max: 0.63, avg5: 0.54)"	"MetR (max: -0.69, avg5: 0.55)"	"GntR (max: 0.69, avg5: 0.57)"	"SahR_SamR (max: -0.70, avg5: 0.55)"	"NagC (max: -0.66, avg5: 0.53)"
"M0_epi"	"NtrC (max: 0.64, avg5: 0.61)"	"MetR (max: -0.61, avg5: 0.55)"	"NagC (max: -0.57, avg5: 0.52)"	"KdgR (max: -0.58, avg5: 0.54)"	"GntR (max: 0.64, avg5: 0.57)"	"LiuR (max: 0.63, avg5: 0.59)"	"GguR (max: -0.61, avg5: 0.54)"	"SahR_SamR (max: -0.60, avg5: 0.55)"
"M0_epi-nonpolar"	"FadR (max: 0.58, avg5: 0.47)"	"KdgR (max: -0.57, avg5: 0.46)"	"AcnR (max: 0.43, avg5: 0.41)"	"NagC (max: -0.50, avg5: 0.43)"	"NtrC (max: 0.43, avg5: 0.39)"	"ThiR (max: -0.50, avg5: 0.44)"	"GntR (max: 0.51, avg5: 0.43)"	"MetR (max: -0.45, avg5: 0.41)"
"M0_nonpolar"	"AcnR (max: 0.68, avg5: 0.55)"	"FadR (max: 0.70, avg5: 0.58)"	"NagC (max: -0.66, avg5: 0.56)"	"KdgR (max: -0.67, avg5: 0.61)"	"GntR (max: 0.69, avg5: 0.58)"	"ThiR (max: -0.66, avg5: 0.56)"	"MetR (max: -0.69, avg5: 0.59)"	"NrtR (max: -0.67, avg5: 0.54)"
"M0_polar"	"LiuR (max: 0.69, avg5: 0.60)"	"SahR_SamR (max: -0.66, avg5: 0.62)"	"RbkR (max: -0.68, avg5: 0.63)"	"AgaR (max: -0.69, avg5: 0.58)"	"Zur (max: -0.68, avg5: 0.61)"	"FUR (max: -0.67, avg5: 0.62)"	"NtrC (max: 0.68, avg5: 0.59)"	"CzrA (max: -0.64, avg5: 0.61)"
"M0_srf"	"NagC (max: -0.66, avg5: 0.62)"	"KdgR (max: -0.72, avg5: 0.67)"	"MetR (max: -0.69, avg5: 0.65)"	"NtrC (max: -0.69, avg5: 0.65)"	"AgaR (max: -0.72, avg5: 0.69)"	"LiuR (max: 0.73, avg5: 0.68)"	"SahR_SamR (max: -0.70, avg5: 0.64)"	"FUR (max: -0.65, avg5: 0.62)"
"M0_srf-nonpolar"	"FadR (max: 0.61, avg5: 0.52)"	"KdgR (max: -0.58, avg5: 0.53)"	"AcnR (max: 0.55, avg5: 0.50)"	"NagC (max: -0.52, avg5: 0.47)"	"ThiR (max: -0.60, avg5: 0.52)"	"MetR (max: -0.50, avg5: 0.47)"	"FruR (max: -0.77, avg5: 0.56)"	"GntR (max: 0.56, avg5: 0.47)"
"M0_srf-polar"	"DasR (max: 0.75, avg5: 0.69)"	"NagC (max: -0.73, avg5: 0.68)"	"PdxR (max: -0.69, avg5: 0.63)"	"AcnR (max: 0.75, avg5: 0.62)"	"SahR_SamR (max: -0.75, avg5: 0.72)"	"SiaR (max: 0.69, avg5: 0.63)"	"Zur (max: -0.73, avg5: 0.69)"	"ThiR (max: -0.70, avg5: 0.66)"
"M1_all"	"PhnF (max: -0.62, avg5: 0.52)"	"NtrC (max: -0.65, avg5: 0.52)"	"MetR (max: -0.66, avg5: 0.53)"	"LiuR (max: 0.65, avg5: 0.55)"	"SahR_SamR (max: -0.67, avg5: 0.55)"	"AgaR (max: 0.74, avg5: 0.57)"	"KdgR (max: -0.65, avg5: 0.55)"	"NagC (max: -0.63, avg5: 0.51)"
"M1_epi"	"MetR (max: -0.58, avg5: 0.53)"	"KdgR (max: -0.58, avg5: 0.53)"	"NtrC (max: 0.62, avg5: 0.57)"	"SahR_SamR (max: -0.61, avg5: 0.54)"	"PhnF (max: -0.60, avg5: 0.55)"	"NagC (max: -0.56, avg5: 0.49)"	"ThiR (max: -0.58, avg5: 0.48)"	"LiuR (max: 0.63, avg5: 0.56)"
"M1_epi-nonpolar"	"KdgR (max: -0.57, avg5: 0.46)"	"FadR (max: 0.51, avg5: 0.40)"	"PhnF (max: -0.50, avg5: 0.41)"	"ThiR (max: -0.46, avg5: 0.40)"	"NagC (max: -0.49, avg5: 0.41)"	"MetR (max: -0.46, avg5: 0.40)"	"Zur (max: -0.47, avg5: 0.39)"	"NtrC (max: 0.43, avg5: 0.36)"
"M1_nonpolar"	"PhnF (max: -0.67, avg5: 0.51)"	"KdgR (max: 0.67, avg5: 0.61)"	"ThiR (max: -0.66, avg5: 0.56)"	"MetR (max: -0.64, avg5: 0.54)"	"NagC (max: -0.63, avg5: 0.54)"	"SahR_SamR (max: -0.68, avg5: 0.52)"	"FadR (max: 0.63, avg5: 0.53)"	"NrtR (max: -0.67, avg5: 0.54)"
"M1_polar"	"SoxR (max: 0.67, avg5: 0.63)"	"LiuR (max: 0.67, avg5: 0.59)"	"MetR (max: 0.63, avg5: 0.58)"	"AraR (max: -0.60, avg5: 0.57)"	"NtrC (max: 0.65, avg5: 0.56)"	"SahR_SamR (max: -0.61, avg5: 0.57)"	"ThiR (max: -0.60, avg5: 0.55)"	"PdxR (max: -0.58, avg5: 0.53)"
"M1_srf"	"MetR (max: -0.68, avg5: 0.64)"	"KdgR (max: -0.68, avg5: 0.66)"	"PhnF (max: -0.67, avg5: 0.61)"	"LiuR (max: 0.74, avg5: 0.68)"	"SahR_SamR (max: -0.69, avg5: 0.63)"	"AgaR (max: -0.72, avg5: 0.68)"	"NagC (max: -0.64, avg5: 0.60)"	"ThiR (max: -0.60, avg5: 0.56)"
"M1_srf-nonpolar"	"KdgR (max: -0.60, avg5: 0.53)"	"PhnF (max: -0.64, avg5: 0.48)"	"MetR (max: -0.50, avg5: 0.47)"	"LiuR (max: 0.52, avg5: 0.46)"	"FadR (max: 0.48, avg5: 0.42)"	"FUR (max: -0.46, avg5: 0.42)"	"NagC (max: -0.51, avg5: 0.45)"	"ThiR (max: -0.52, avg5: 0.46)"
"M1_srf-polar"	"SoxR (max: -0.65, avg5: 0.62)"	"MetR (max: 0.65, avg5: 0.61)"	"PhnR (max: 0.75, avg5: 0.65)"	"CzrA (max: -0.78, avg5: 0.72)"	"NagC (max: -0.65, avg5: 0.61)"	"PdxR (max: -0.65, avg5: 0.59)"	"MerR (max: 0.77, avg5: 0.71)"	"ThiR (max: 0.68, avg5: 0.65)"
"guidi_all"	"FUR (max: -0.69, avg5: 0.54)"	"MetR (max: 0.64, avg5: 0.53)"	"SahR_SamR (max: -0.60, avg5: 0.51)"	"PhnF (max: 0.59, avg5: 0.51)"	"Zur (max: -0.47, avg5: 0.43)"	"NagC (max: -0.64, avg5: 0.50)"	"NsrR (max: -0.64, avg5: 0.46)"	"KdgR (max: -0.60, avg5: 0.50)"
"guidi_epi"	"FUR (max: -0.63, avg5: 0.60)"	"SahR_SamR (max: -0.64, avg5: 0.55)"	"MetR (max: -0.58, avg5: 0.56)"	"NagC (max: -0.56, avg5: 0.49)"	"PhnF (max: -0.56, avg5: 0.54)"	"Zur (max: -0.52, avg5: 0.47)"	"IscR (max: -0.57, avg5: 0.45)"	"KdgR (max: -0.55, avg5: 0.48)"
"guidi_epi-nonpolar"	"NagC (max: -0.58, avg5: 0.49)"	"TyrR (max: -0.46, avg5: 0.41)"	"IscR (max: -0.60, avg5: 0.38)"	"HypR (max: 0.43, avg5: 0.34)"	"KdgR (max: -0.44, avg5: 0.38)"	"FUR (max: -0.48, avg5: 0.40)"	"SahR_SamR (max: -0.45, avg5: 0.41)"	"BirA (max: -0.51, avg5: 0.41)"
"guidi_nonpolar"	"NagC (max: -0.65, avg5: 0.58)"	"KdgR (max: -0.66, avg5: 0.52)"	"BirA (max: -0.63, avg5: 0.50)"	"FixJ (max: -0.46, avg5: 0.40)"	"FUR (max: -0.61, avg5: 0.52)"	"AcnR (max: 0.52, avg5: 0.46)"	"NsrR (max: -0.59, avg5: 0.45)"	"Phr (max: -0.53, avg5: 0.44)"
"guidi_polar"	"ArgR (max: -0.64, avg5: 0.56)"	"MetR (max: -0.61, avg5: 0.56)"	"Zur (max: 0.59, avg5: 0.57)"	"FUR (max: -0.54, avg5: 0.52)"	"NadQ (max: 0.52, avg5: 0.51)"	"XylR (max: -0.61, avg5: 0.57)"	"SahR_SamR (max: 0.54, avg5: 0.48)"	"TtrR (max: 0.63, avg5: 0.52)"
"guidi_srf"	"NagC (max: -0.64, avg5: 0.61)"	"FUR (max: -0.73, avg5: 0.69)"	"MetR (max: -0.65, avg5: 0.61)"	"PhnF (max: -0.62, avg5: 0.59)"	"SahR_SamR (max: -0.70, avg5: 0.64)"	"KdgR (max: -0.67, avg5: 0.59)"	"Zur (max: -0.62, avg5: 0.57)"	"NsrR (max: -0.61, avg5: 0.55)"
"guidi_srf-nonpolar"	"NagC (max: -0.66, avg5: 0.56)"	"KdgR (max: -0.62, avg5: 0.51)"	"NsrR (max: -0.61, avg5: 0.52)"	"TyrR (max: -0.68, avg5: 0.49)"	"FUR (max: -0.55, avg5: 0.50)"	"FixJ (max: 0.60, avg5: 0.45)"	"AcnR (max: 0.54, avg5: 0.42)"	"PhnF (max: -0.46, avg5: 0.42)"
"guidi_srf-polar"	"XylR (max: 0.69, avg5: 0.62)"	"NrtR (max: 0.74, avg5: 0.69)"	"NadQ (max: -0.67, avg5: 0.61)"	"NagC (max: -0.79, avg5: 0.60)"	"MntR (max: -0.63, avg5: 0.59)"	"SahR_SamR (max: -0.75, avg5: 0.69)"	"ModE (max: -0.65, avg5: 0.63)"	"TtrR (max: 0.73, avg5: 0.68)"
"salazar_all"	"BirA (max: -0.44, avg5: 0.37)"	"PhnF (max: -0.37, avg5: 0.34)"	"Irr (max: 0.49, avg5: 0.40)"	"CblR (max: -0.31, avg5: 0.30)"	"PrpR (max: -0.34, avg5: 0.30)"	"RutR (max: -0.33, avg5: 0.30)"	"CzrA (max: -0.29, avg5: 0.27)"	"HcpR (max: -0.40, avg5: 0.32)"
"salazar_epi"	"PhnF (max: -0.41, avg5: 0.37)"	"BirA (max: -0.43, avg5: 0.40)"	"PrpR (max: 0.43, avg5: 0.39)"	"Irr (max: 0.45, avg5: 0.42)"	"RutR (max: -0.36, avg5: 0.34)"	"CblR (max: -0.37, avg5: 0.33)"	"PdhR (max: -0.36, avg5: 0.32)"	"GguR (max: 0.35, avg5: 0.32)"
"salazar_epi-nonpolar"	"PhnF (max: -0.44, avg5: 0.41)"	"RutR (max: -0.43, avg5: 0.38)"	"AmtR (max: 0.62, avg5: 0.40)"	"PrpR (max: -0.41, avg5: 0.36)"	"BirA (max: -0.37, avg5: 0.34)"	"Phr (max: -0.37, avg5: 0.34)"	"SoxR (max: 0.38, avg5: 0.34)"	"HypR (max: -0.37, avg5: 0.30)"
"salazar_nonpolar"	"PhnF (max: -0.40, avg5: 0.37)"	"BirA (max: -0.43, avg5: 0.35)"	"RutR (max: 0.36, avg5: 0.31)"	"AcnR (max: -0.42, avg5: 0.36)"	"FUR (max: 0.35, avg5: 0.31)"	"SoxR (max: 0.39, avg5: 0.33)"	"AmtR (max: 0.59, avg5: 0.35)"	"HypR (max: -0.32, avg5: 0.29)"
"salazar_polar"	"GguR (max: -0.56, avg5: 0.55)"	"PurR (max: -0.53, avg5: 0.52)"	"FruR (max: -0.58, avg5: 0.52)"	"Rex (max: -0.73, avg5: 0.56)"	"Irr (max: 0.50, avg5: 0.48)"	"NtrC (max: -0.57, avg5: 0.49)"	"HcpR (max: -0.56, avg5: 0.48)"	"NiaR (max: 0.52, avg5: 0.50)"
"salazar_srf"	"PrpR (max: 0.50, avg5: 0.44)"	"RutR (max: 0.48, avg5: 0.41)"	"HypR (max: 0.44, avg5: 0.38)"	"PhnF (max: -0.43, avg5: 0.39)"	"TyrR (max: -0.56, avg5: 0.47)"	"Irr (max: 0.55, avg5: 0.47)"	"CblR (max: -0.41, avg5: 0.36)"	"BirA (max: -0.46, avg5: 0.41)"
"salazar_srf-nonpolar"	"PhnF (max: 0.54, avg5: 0.46)"	"DasR (max: -0.94, avg5: 0.53)"	"PrpR (max: -0.54, avg5: 0.45)"	"TtrR (max: -0.66, avg5: 0.48)"	"PhnR (max: 0.71, avg5: 0.49)"	"ThiR (max: -0.54, avg5: 0.42)"	"HypR (max: -0.38, avg5: 0.36)"	"NagQ (max: -0.43, avg5: 0.39)"
"salazar_srf-polar"	"GguR (max: -0.55, avg5: 0.51)"	"CsoR (max: 0.68, avg5: 0.60)"	"NiaR (max: 0.71, avg5: 0.62)"	"Irr (max: -0.60, avg5: 0.53)"	"MetR (max: 0.64, avg5: 0.62)"	"GlcC (max: -0.74, avg5: 0.54)"	"PurR (max: -0.57, avg5: 0.50)"	"BirA (max: -0.54, avg5: 0.48)"
"stress_all"	"MetR (max: -0.65, avg5: 0.54)"	"PurR (max: 0.54, avg5: 0.47)"	"SahR_SamR (max: -0.53, avg5: 0.46)"	"NifA (max: -0.47, avg5: 0.39)"	"HutC (max: -0.46, avg5: 0.39)"	"NtrC (max: -0.44, avg5: 0.39)"	"FadR (max: -0.53, avg5: 0.39)"	"CcpA (max: -0.45, avg5: 0.37)"
"stress_epi"	"MetR (max: -0.60, avg5: 0.57)"	"NifA (max: -0.52, avg5: 0.45)"	"SahR_SamR (max: -0.49, avg5: 0.40)"	"PurR (max: 0.56, avg5: 0.50)"	"FUR (max: -0.53, avg5: 0.44)"	"CcpA (max: -0.45, avg5: 0.40)"	"FadR (max: -0.50, avg5: 0.36)"	"NtrC (max: 0.46, avg5: 0.42)"
"stress_epi-nonpolar"	"MetR (max: -0.55, avg5: 0.41)"	"SahR_SamR (max: -0.48, avg5: 0.39)"	"NifA (max: -0.46, avg5: 0.40)"	"Phr (max: -0.42, avg5: 0.40)"	"CblR (max: 0.52, avg5: 0.37)"	"AmtR (max: -0.46, avg5: 0.41)"	"BirA (max: -0.44, avg5: 0.39)"	"NrdR (max: 0.52, avg5: 0.44)"
"stress_nonpolar"	"MetR (max: -0.70, avg5: 0.53)"	"BirA (max: -0.63, avg5: 0.48)"	"SahR_SamR (max: -0.58, avg5: 0.47)"	"Phr (max: -0.55, avg5: 0.44)"	"NifA (max: -0.43, avg5: 0.35)"	"HutC (max: -0.57, avg5: 0.41)"	"NrtR (max: -0.49, avg5: 0.41)"	"NagC (max: -0.54, avg5: 0.48)"
"stress_polar"	"LiuR (max: 0.70, avg5: 0.61)"	"AcnR (max: 0.55, avg5: 0.50)"	"FadR (max: 0.67, avg5: 0.56)"	"PhrR (max: 0.67, avg5: 0.58)"	"NtrC (max: 0.62, avg5: 0.57)"	"AgaR (max: 0.53, avg5: 0.45)"	"NagQ (max: -0.58, avg5: 0.45)"	"TtrR (max: 0.55, avg5: 0.46)"
"stress_srf"	"MetR (max: -0.63, avg5: 0.60)"	"CcpA (max: 0.66, avg5: 0.51)"	"NifA (max: -0.56, avg5: 0.50)"	"SahR_SamR (max: -0.50, avg5: 0.45)"	"PurR (max: 0.61, avg5: 0.56)"	"NagC (max: -0.48, avg5: 0.44)"	"NrdR (max: 0.55, avg5: 0.51)"	"HutC (max: -0.53, avg5: 0.40)"
"stress_srf-nonpolar"	"CblR (max: 0.51, avg5: 0.43)"	"Phr (max: -0.55, avg5: 0.48)"	"NifA (max: -0.50, avg5: 0.44)"	"SahR_SamR (max: -0.44, avg5: 0.41)"	"FixJ (max: 0.50, avg5: 0.40)"	"NrdR (max: 0.66, avg5: 0.56)"	"LiuQ (max: 0.59, avg5: 0.46)"	"NrtR (max: -0.52, avg5: 0.44)"
"stress_srf-polar"	"LiuR (max: -0.75, avg5: 0.69)"	"CblR (max: 0.77, avg5: 0.61)"	"FUR (max: 0.64, avg5: 0.53)"	"BioQ (max: 0.74, avg5: 0.67)"	"AgaR (max: -0.76, avg5: 0.57)"	"NagQ (max: 0.61, avg5: 0.54)"	"MetJ (max: 0.57, avg5: 0.51)"	"AcnR (max: -0.68, avg5: 0.59)"