	NagR	PdhR	LldR	NrdR	VanR	HutC	ModE	NadQ	PhnF	KdgR	MetR	NagC	FUR	SahR_SamR	IscR	NsrR	NrtR	Phr	Zur	ArgR	MntR	RbkR	ThiR	GulR	AraR	CzrA	Irr	CcpA	BirA	PhrR	XylR	AgaR	GguR	SiaR	HrcA	LiuR	NtrC	GntR	NnrR	FabR	PurR	SdaR	BioQ	PhsR	LexA	PhnR	NmlR	FixJ	RbsR	ZntR	CsoR	PdxR	CueR	PaaR	AcnR	MerR	NifA	FadP	FruR	FadR	NorR	NarP	HypR	Rex	LiuQ	PsrA	HisR	SoxR	HexR	TrpR	TyrR	CblR	NiaR	NikR	RutR	DasR	LtbR	GlcC	TtrR	MetJ	FnrN_FixK	HcpR	PrpR	QorR	CadR-PbrR	ExuR_UxuR	AmtR	NagQ
Temperature	0.40877296262475027	0.31359192698314103	0.2466335389906875	0.23005733992796584	0.3569931998646462	0.18565713782442023	0.38645813536302154	0.3645419527096245	0.4657235167871099	0.6223954832638795	0.6302594434735852	0.5921147169391511	0.6148189180043665	0.627042474192397	0.42204411976025696	0.4979047981050475	0.4761392660303804	0.4119134477659678	0.5070597178894086	0.4756293717639097	0.4663910147359443	0.5044175385086056	0.5100402816470512	0.6002104472699797	0.4284201157923525	0.4901706291631708	0.54971932638332	0.3686326953474466	0.32959797154789994	0.3862078236322086	0.3927066578284994	0.771256796658802	0.6305028021007644	0.6177021383111375	-0.6804817110197422	-0.6557726984068122	-0.6930876879076256	-0.6636876480431648	-0.5827627925518354	-0.5483263879553704	-0.544293587847829	-0.2473242139516342	-0.27466613514052224	-0.42142065813443597	-0.5069415151276359	-0.4185698856446222	-0.40476102182811	-0.3450106846025838	-0.36631731183742716	-0.4491403646207546	-0.5683536441216144	-0.4926273924470753	-0.4881588645118226	-0.5067723229392159	-0.4309139622956367	-0.284400480227691	-0.23806731531397898	-0.394641938339877	-0.3195855023153835	-0.15306098798967233	-0.2192707584908984	-0.4358066295525446	-0.054996732041292164	0.01746156092541174	-0.0563757642619744	-0.10225002433586272	-0.1819789460021972	-0.18329076488775373	0.017343358163638977	-0.1385405899013123	-0.13969016970208267	0.05766904153784111	0.1859190380612893	0.03590350946317405	0.07801845817244624	-0.051953590350946315	0.04673180952204366	-0.1086376088740144	0.08321474428802536	0.059432812159587636	-0.059585780439528856	-0.04743175528783531	-0.2392099420111157	-0.4503548400554394	-0.1627675206623063	-0.06823544135984165	-0.1528014054540145	-0.21844333915848904
Salinity	0.3034751611961192	0.34018754838201276	0.23355243335450168	0.0844199489178653	0.17275449518149918	0.23743921828573547	0.32420931623178867	0.2482003050094794	0.3800496915139688	0.29189360824359967	0.35564429775971	0.32333786057636593	0.3362335501156533	0.4183705633404564	0.2644960622256421	0.3491500989658417	0.24857345490448754	0.23304485678924217	0.26438944796992553	0.2483208254724634	0.242378239566868	0.31108185657137827	0.27005390973017324	0.3089240767437225	0.3499149403655478	0.342380093727837	0.3008793358395409	0.11479805869346547	0.14235784379620917	0.17151684273470202	0.18799106294412948	0.47144823877884956	0.5515989820656281	0.39322350519860383	-0.37845047767821965	-0.5136095415123464	-0.42887670293096497	-0.4154618483203619	-0.3240772072627485	-0.4160041904037899	-0.4923399974968827	-0.17650917114369283	-0.12339441248591997	-0.20519072363267218	-0.39602097056055924	-0.3035771400494134	-0.26977578558482557	-0.24197959495853633	-0.2502190227644613	-0.3114619595700201	-0.3430197792621366	-0.363582424408175	-0.24773676476723328	-0.2791369807769862	-0.3524226930760994	-0.15231468819965605	-0.15726066258442226	-0.14780675934381243	-0.0960640798030881	-0.013419490013025481	-0.21850591709119227	-0.20588371629483013	-0.2514589929124697	-0.020720248828402038	-0.18000426457022867	-0.21454033031877662	-0.2148648084883489	-0.2765087076034506	-0.1079121683948992	0.005499904974250339	-0.10641029801002173	-0.024090186389531407	0.22064515530915815	0.1209700970189727	0.04535741270378388	0.07499617579300147	0.1675605267671313	0.08384052361505764	0.13139511706708817	0.04408499473881825	-0.04973323259058735	-0.1591380005655191	-0.1789265335070064	-0.223989598156964	0.1006531282013248	0.021220872290027858	-0.03198659441619424	-0.08538411262173726
NO3	-0.1988282198533955	-0.20575567049445995	-0.1129983339007251	-0.22928885924649944	-0.23182567215731179	-0.2786150775321705	-0.4466112635464623	-0.3878994669728974	-0.46584823688502924	-0.5329195559041494	-0.5054898728796712	-0.5035416257434517	-0.47054102602897613	-0.4970453703490142	-0.365417513347671	-0.5169244154416825	-0.5309933406418452	-0.5426356123007718	-0.4207804650861188	-0.4755139347127026	-0.4593866030067443	-0.45571986970513584	-0.4966425017974212	-0.4714317432172639	-0.29779539748066974	-0.4509515427077653	-0.46653751979752045	-0.3414562767595639	-0.477698237640871	-0.4049993485416858	-0.43826118333258496	-0.33068898523612844	-0.4610515831926248	-0.38523046281859363	0.32771468225757056	0.4136578749903765	0.41119345252242856	0.5266813881755762	0.4456607455575475	0.22339375926889213	0.31695998037637235	-0.0006200398801861413	0.2290213293489572	0.242737744566476	0.35898105875386055	0.34348635657032567	0.33769826855173524	0.45648154306049143	0.4955094339960658	0.3090348005880033	0.4242740908069646	0.4404486336713127	0.45731875426927066	0.5184666466157496	0.502100111707283	0.45237102487001885	0.3890042080792189	0.493989234695914	0.4838986364427324	0.5021567650973507	0.09829677917813898	-0.004796653692404463	-0.1653051499860727	-0.15191606546672326	-0.12946558594709	-0.24640133045752508	-0.032424623582119935	-0.15382969108679012	-0.3604949632328937	-0.2892564726332332	-0.4061733326803123	0.025456256603784318	-0.1987967457478023	-0.11753375251670595	0.20617112868829027	0.29826750906456784	0.2367073059348179	0.33202663472383964	0.148535746526013	0.057326935927463844	0.17558774028337285	0.222518779133401	0.30178316665932886	0.32151428345570915	0.14761985005325073	0.11911375261748484	0.18513698392035127	0.037831874923032575
Fluorescence	-0.3585305154140381	-0.36010983113911527	-0.35622071515462284	-0.36673452328478795	-0.24923941868718386	-0.3465911061814777	-0.48764943816046624	-0.5229711540238208	-0.5998937600717672	-0.6798416875431172	-0.6862718558742454	-0.6575476260286552	-0.6565736466495379	-0.6973991621887429	-0.520967422703374	-0.6329097565948927	-0.6048983273005002	-0.5573746630702701	-0.5749307774095004	-0.579868689624858	-0.5850242508634821	-0.6178470838784588	-0.6209934725710544	-0.5934894375621518	-0.5101829136005213	-0.5515457501659153	-0.5798822926888122	-0.2673246922142307	-0.4516761355337077	-0.41133896999045677	-0.4499703113138569	-0.6980983596759864	-0.5991224663455667	-0.685837918134108	0.612499719438081	0.6806510698483893	0.6914899912070587	0.6896168493005718	0.6191856253715474	0.5270847205635568	0.5921005647324327	0.16527722704296316	0.33076394127082026	0.3022029481926799	0.4422097633280124	0.48325292789048385	0.4632577841842739	0.462043030573168	0.47465171055227273	0.46799437105311004	0.5192180686788699	0.5840951615954134	0.538971077846696	0.539517921017653	0.5723543570965837	0.3763396467428156	0.33972427949742107	0.47390762295398053	0.4513904711906705	0.4269022354604036	0.2591519713905754	0.19745255421372207	0.10753630147676844	-0.20256866656687914	0.05388309662879682	0.0462708220400526	0.04760392230755964	0.08381799916630667	-0.17192368409096248	-0.1022447095986028	-0.04148934506016771	0.0761825993688404	-0.23507046727253772	-0.08682699691296539	0.048085470771536666	0.1727589122177475	0.0453743801254739	0.25451604719499993	0.04182125982064905	0.0044482019130081445	0.2541569263066103	0.19700637371602583	0.33680506197285975	0.44121265874017296	-0.009775161757454595	0.028794965778151802	0.1152410769004009	0.11123769517869357
Oxygen	-0.21256196728745608	-0.12098951838148145	-0.04809486019355437	0.0896683397404846	-0.08271151329011513	0.19979490244983356	0.13189627629422737	0.19513125212569696	0.035211848248425694	0.005374792583507684	-0.037368464448040234	0.006255990600554485	-0.0458351798983788	-0.061774042276892	-0.0447633133045441	0.07806589918270172	0.14766250631267586	0.1970971997485236	0.021594504622424685	0.10551959763777093	0.08788275428488977	0.03907932843435333	0.07680594061446813	-0.07881053727313016	-0.025129603100167996	0.08908345099817576	0.027435662238346026	-0.029661846702464262	0.274931204716213	0.12506312675853112	0.12639265359126842	-0.3476274645201851	-0.2802956908901646	-0.1507106269388933	0.3126990425345522	0.2177022890535624	0.2214563987343729	0.11629752543106558	0.07367021550702382	0.3866166118709225	0.14911571006008636	0.20209580838323354	-0.06245426530759479	0.2973837179341833	0.10387057210879445	-0.056352870850381855	-0.025052305028497222	-0.17343368340771126	-0.19221969142609788	0.055706143650736395	0.036801611922454576	-0.06789089634843909	-0.05612870644253661	-0.096614859781298	-0.13444711265936285	-0.3006869221969143	-0.26844331990064624	-0.1606125099199192	-0.194432992878271	-0.35201026518391787	0.17149350180877487	0.47406649695445596	0.19048821462067259	0.25920362373359995	0.109832830037	0.35497851113607554	0.3837050511713234	0.33087954899151784	0.4307795768188236	0.47473383697321364	0.4541854329207334	-0.20251064136786667	-0.010682593504900698	0.06789347295082812	-0.29933162934028673	-0.3138971626454492	-0.2738155358817649	-0.40982922279365536	-0.4008111144320653	0.03917981592752533	-0.21117833180454926	-0.20773599101281087	-0.05007111422593711	0.04163274140187783	0.08571067847094108	-0.012764488235233492	-0.08461819905799417	0.24533892627825243
FluxAttenuation	0.051046865991733005	0.12118363932894584	0.012737408466508617	0.01568678294603097	0.0799248073241991	0.22204576438689702	0.09917676821250984	0.19644130461961506	0.09671355436148019	0.3873403780744134	0.34847993850356396	0.381311986281104	0.3578790439877561	0.24389058196050212	0.2176379080218966	0.2635638820601732	0.29007584166730815	0.26784209559090894	0.3428404752130487	0.33178842359198146	0.3688338634831248	0.3382381545966512	0.3009658397455446	0.16331756046497944	0.33269592343183446	0.23108835207686115	0.038633564610886184	0.29412718023808065	0.4009528756722089	0.15284890159810338	0.21737862235336713	0.1626045248765235	-0.16604005998453852	0.1864912170897979	-0.2536786159474884	-0.07191936230835272	-0.2546185264959076	-0.20729889198928528	-0.32825565635826787	-0.1166137294211145	0.014131068934854343	-0.22042522895858804	-0.2278472812202432	-0.2595449541979669	0.08271212826089056	-0.14306086761111714	0.008070266432978741	0.005963570376177062	-0.23663058324167788	-0.03263758352614294	0.051338562368828625	0.026447138190002623	-0.29775717959749276	-0.2854735210509107	-0.3087119990928615	-0.3021650359624932	-0.23193103049958183	-0.3089388740528248	-0.3300706560379739	-0.16937836296685505	-0.23426460151634676	0.01241330138084682	0.15631684741468463	0.34549815331547545	0.21575808692505816	0.3252414604616131	0.16616970281880325	0.09924158962964219	0.19294094809446766	0.2024696964129245	0.23455629789344237	0.3231995858219438	-0.013547676180663108	0.14011149313159477	-0.13790756494909456	-0.25179879485065	-0.29334932323249235	-0.30722110649881723	-0.1751798798002012	-0.025377584807318693	-0.1762818438914513	-0.16902184517262706	-0.0018474103882722421	-0.08387891376927302	-0.2720230769959461	-0.02268749599632578	-0.09178712665942086	0.057529007704968944
Ammonium.5m	0.1572278577436883	0.031083981664714287	-0.013352170044337397	-0.015454490716191233	0.0881166732758494	0.01899969409833064	0.1332817994626277	0.06599594854394523	-0.0441672771799061	0.08665988326233216	0.09603108775660454	0.0707916502749988	0.1553839811235563	0.11141720089857342	0.0026331160785291697	0.051372419195846175	0.0705065505587496	0.005720537395959499	0.1033335808951663	0.12167963174160853	0.10366503828885439	0.08602710096529126	0.06891184645485166	0.24393525762539534	0.13364686617245897	0.13720365897395811	0.0731048983791996	0.11735330149462377	0.05697126768852858	0.07065025935881018	0.05838865367622276	0.18782740167916614	0.06485670862088441	0.1325725269978126	-0.16265750071371873	-0.07084496160405353	-0.10839352138762157	-0.10223026817212062	-0.09319052107153633	-0.006994214583593107	-0.18002772245007226	0.03706528099626757	-0.20002526555527508	-0.20335142891151572	-0.10420858205682543	-0.15090582948295916	-0.08153156519565453	-0.03779077864818625	-0.0626489242328571	-0.06545240477597421	-0.13194669835238754	-0.11260743426681702	-0.0804688154403679	-0.10796818969711972	0.0006385770067207626	-0.1032165277596331	-0.026313776656252112	-0.11682714185569232	-0.06468402627242453	0.18617706836234152	0.18728617579506707	-0.22107628688027678	0.15139142615413156	-0.027105333998521226	-0.12996954340961872	0.025627683030156483	-0.029892589354534718	-0.1634478991140519	-0.0962721476792868	-0.11996787450217739	-0.1069251419547446	-0.06312640831047771	-0.0937410184911232	0.040463298752538485	0.0594386550702137	-0.08298835520917178	0.0934095610974351	-0.11551985535191552	0.08322246148023818	0.11728492392040141	0.15269871265790838	0.029987622593284448	-0.0014127502199502897	-0.07915689316884719	-0.06679098271202226	0.03543117286654656	-0.1345346156954138	0.024644900268451935
Brunt.Väisälä	0.1816436338296937	0.05409809054441825	0.1933519399788582	0.055734761756590215	0.045864657230051696	0.14690101246384937	0.12119672465776064	0.0022571405970849123	0.1718529200709098	0.13544309258221865	0.15761388052501374	0.16357185229589047	0.18700312135134337	0.18684189702298018	0.1268603398897318	0.15137987316163637	0.10642149208041422	0.13068453210265002	0.14700360976371687	0.09630588687204991	0.14712819219927026	0.08430200278755288	0.14092349835014073	0.1818671493758336	0.18472277422214559	0.15981239409360296	0.1670247399950025	-0.0901402777085842	-0.00048611577794361205	0.050909024473536915	0.06467904779146727	0.21768948518314063	0.4069521899244229	0.26679206434115343	-0.2242752547174923	-0.28271296676702024	-0.29312537130714406	-0.1763928505900465	-0.17324897618696394	-0.268712099524388	-0.20070352507293507	-0.029980396696994725	-0.05466359709011647	-0.21957532126641938	-0.26091959032016626	-0.12555466710927524	-0.04609794394760755	0.03353954588525524	-0.03657715879918932	-0.12088771136173115	-0.1544871056719091	-0.1837187863591565	-0.18637288079501446	-0.07663651881173854	-0.01401185981047517	0.06478164509133477	0.040378144479994646	-0.028704037430785995	-0.010331792375942247	0.08860864658913373	-0.25066108172984364	-0.15777144066409596	-0.07197689144275643	-0.03176974246254093	-0.05817755461057821	-0.18156912864764707	-0.14828485461563357	-0.2924181827759145	-0.09515411004139457	-0.0656512793473545	-0.22271308868736694	-0.10308219424901262	0.07618093794446977	-0.042850250848230506	0.010960811535844156	-0.07066511168016487	-0.017133749077871834	0.05711127552981245	0.1446976133095522	0.02890312504838602	-0.142904603354725	-0.1626081705149922	-0.13664006108067278	-0.016067469997106072	0.1424551294695912	-0.06230831732667192	-0.0634307806430794	-0.12838952821632832
Residence.time	0.013304314743069865	-0.06567715142047698	0.027152094203163616	0.03479417815307615	0.10917547043041852	0.10101106341151278	0.059670436127055075	0.012004725202360574	0.07708991047797857	0.10526302191838843	0.0869804708772714	0.1404190953406956	0.08780499515046782	0.11385399277697197	0.11825394282006238	0.12526550820811883	0.07065911859758839	0.09156572124721893	0.10112547703614938	0.08770426141573341	0.0852779463976245	0.09640840227259881	0.09689714743001389	0.10969530624670223	0.13345851863318373	0.14018902446506765	0.12023503960317233	0.06565476614609154	0.04984827517727326	0.006771545501590523	0.08351572785294978	0.11546573253272244	0.08425817278673299	0.10803506506311668	-0.08662355011345937	-0.10898768285085192	-0.18074243626697128	-0.09258176397904619	-0.12938937320045568	-0.09112920839670317	-0.03657629471942679	0.08933092468774084	0.05934833690117593	-0.011513492792236008	-0.11862329984742186	-0.06907100774257809	-0.0325494325827601	-0.05423703258317096	-0.06833602456692335	-0.044687225805078466	-0.11289142597839877	-0.2033615124070867	-0.18998382370908684	-0.17792064806805322	-0.07236786120900902	-0.0022721053501204565	-0.09148861641322469	-0.07318119284501273	-0.08775898097534222	-0.022279566145269828	-0.04751523213577027	-0.06037184139113167	-0.04914811353955142	-0.05987936535465236	-0.03388260003504753	0.010666583244654164	-0.0238776260111181	-0.08633751605186786	-0.08131202195234034	0.08685610824179682	-0.09777266038375489	0.05061559263815139	0.15056335551635655	-0.04563238183468523	0.0024325331498826564	-0.05772913538729699	-0.005627409255224447	0.005591344090936821	-0.004620071907880403	-0.0052505904697364904	-0.13970027930765258	-0.0722422549471797	0.02761721045983852	0.042397709685991575	0.07870662473914802	-0.13202088656709765	0.03537370803438766	0.029078471426664757
Depth.Max.O2	0.009917435026498249	0.08345627383275127	0.13721476965383247	0.1291213948724226	0.059905773586556965	0.11255165757131026	0.09319844328409867	0.07623013908245813	0.22879298006542562	0.15870752222140397	0.17625095716224318	0.17313512471511713	0.15272772044996125	0.20123474033411545	0.15847772957842843	0.20595652475503104	0.14213518839325234	0.1538234548605339	0.17803217471118357	0.1687041513226	0.11915073104161929	0.1614832096263854	0.17887864252598615	0.04649730795575792	0.11949996392840133	0.166133589553721	0.08867269665464811	0.08918810727194354	0.05594736811518727	0.020225647372406886	0.17440352817380136	0.18172833095158683	0.11988814472077244	0.1806481757032498	-0.020056873114854226	-0.15072969289324167	-0.19523416634635857	-0.14663886454286912	-0.12263007727424335	-0.24181066837681428	-0.09058374055555207	0.10139697741059905	0.004871084725673705	-0.08244492655095494	0.035243959767554386	-0.20555146653690465	-0.07505261407014842	-0.06520009221963195	-0.03155169831771003	-0.1222730548063435	-0.07112017386917142	-0.17345839233150648	-0.21372403539301232	-0.14306604333683126	-0.20777928673659976	-0.08696158533576806	-0.07049181432566767	-0.12307927645203737	-0.07956407980088298	-0.09965730429428701	-0.19500437370338303	0.07070083475232905	-0.10070500295463315	0.0382286675991972	-0.15898535061460603	-0.06419004320135527	-0.08879862821605278	0.018074424720370286	-0.028513761681762145	0.043334738021924994	0.0007231327804371677	0.08767043721748922	0.046967279349866095	0.1330655194450763	-0.041666469399192926	-0.057516968710427004	0.04589101889208798	0.09517180383394516	-0.044730371305533534	-0.06844834754576085	-0.15464395740494374	-0.2023590365421201	-0.11152992418135685	0.056069404886033035	0.04795136309775007	0.01950251459196972	0.12532916713156628	-0.05671074706473314
NO2	0.035685561098525	0.0322239943360152	-0.07994523352954905	0.047459377154583184	-0.09532526395058502	0.04816016984929878	0.027014186722987128	-0.04159366748208819	-0.125077779423742	-0.14367247811342	-0.1731780950927092	-0.12295544994615135	-0.059644690700420985	-0.12204267369609473	-0.12192296533543157	-0.08618752575329691	-0.09399350843820733	-0.08503283885773348	-0.09060925332529249	-0.04022450310700326	-0.050070515771548425	-0.18690215985790476	-0.13085869567410058	-0.03265793714341917	0.021562468464452242	0.05868702381511568	-0.018799200472477563	-0.13473674777475098	0.010873509426903976	-0.0059480091704509136	0.015479787388255272	-0.05315549998280536	-0.21490892840472395	-0.07163049031182019	0.09819577068232045	0.15557348430268278	0.10874506996576169	0.07940155805820386	0.0760197968694695	0.12006997966933301	0.04590566239014254	0.07123395636712346	-0.057784223261780995	0.10265989496538425	-0.09654728679902148	-0.09058182015930719	0.0001970200102581225	0.04288552020757816	0.028268630585769856	0.04360626429573762	0.008182565236163291	0.008469366516918785	0.032842487532774876	-0.024004020237144673	0.22108139075141828	-0.02066465575947852	-0.017796642951923573	0.016651931753082078	0.07750617568103711	0.19438393239935245	0.25416828285388043	-0.08804549926775641	0.18837108120020898	0.027817230309102513	-0.1152392485317383	0.08553661154219096	-0.00862897766446967	-0.02764016169228825	0.10507650749627184	0.02750299586236171	-0.09539509382763853	-0.05519303603825961	-0.12518501816350275	0.07118657180769429	0.12071839995625848	-0.06750553971730203	-0.049122824582965054	-0.12141420480261311	-0.10735096634887194	0.09031746419617603	0.06894204004525999	-0.12051888602181987	0.08319232281253736	-0.04599045581227895	-0.030453308167872582	-0.17152462336104926	0.020637222593493213	0.02468236761423593
Alkalinity.total	0.11852284904434647	-0.08219661840051637	-0.061123995999554606	-0.054477172295958345	0.007596369946967153	0.06816037713632866	-0.00916677334946517	-0.09099818165637735	-0.07363852854039152	-0.08347485372813103	-0.0803583942627086	-0.11360468645047671	0.011564986297466018	-0.058664914702619725	-0.01374407318930435	-0.04611386115242239	-0.0705220690749691	-0.02261867846388617	0.047416443819610674	0.03692274046338361	-0.04941292566464691	-0.06778299337293767	-0.08157576124138924	0.027001199587136447	-0.09249554304015453	0.023592572046830674	0.05098332906714493	-0.03098198960742212	-0.011078039505993764	0.03760446597144477	0.04354521682740626	-0.040355715343262995	-0.15915855879270602	-0.2608695698614729	0.1731582790475333	0.13600423885820037	0.11412815425130939	0.14959005434027622	0.02905854978110672	0.20092641983123855	0.0884295373313612	0.18597715333304035	0.03457322219452999	-0.06172050581910812	0.08408353721747135	0.113775117827492	-0.0315176310780416	0.14289453595753274	0.07596369946967152	-0.03951573212797336	0.13791550501472896	0.14055719135846592	-0.006232918930844843	-0.012344101163821623	0.08812519558669105	-0.04428781068440144	-0.051153760444160215	-0.051385060170109534	-0.12879742634441102	0.06298656747693597	-0.04268088627254301	-0.008947647293302656	0.1112551681816231	0.09675632746553674	-0.14962657534963666	0.040757446446227606	0.08702956530587848	-0.011832807032775757	-3.6521009360419e-05	-0.021230880108190246	0.06763690933549599	-0.03823749680035869	-0.057057990290761286	-0.19744475027221192	-0.027914224821146923	-0.19678737210372438	-0.025016891411887017	-0.04237654452787285	-0.1948882796169826	-0.006792907741037934	0.13241300627109248	0.042364370858086045	0.10785871431110412	0.11113343148375503	-0.15309607123887645	-0.007365070221017832	-0.025954263985471106	0.09255641138908856
Lyapunov	-0.02548642214849465	0.10398776656127379	0.14355192849865414	0.06834076135599336	0.010661580664257046	-0.03459227340007775	0.10201600404765879	0.08326521639961122	0.14875820188155736	-0.09300390673431592	-0.06342453921952089	-0.09404398948666856	-0.11598827065602423	-0.042564287961067974	-0.12665278113085127	-0.006999317451747755	-0.023397467212079352	-0.010957491531827795	-0.11360633466260818	-0.0701279458036979	-0.05505700023157966	-0.030941729429848488	-0.05551405068050082	-0.058136231140657475	-0.15806913987304097	-0.05108124728807958	-0.060834586675634315	-0.15943443159866444	-0.05928178707353038	-0.1492152523304785	-0.04073022654424332	-0.0822309932683986	0.03935028576576982	0.04951086882255559	-0.054857773112819155	0.019263504497798865	0.07675224750248469	0.03769201298314561	0.12271804553533129	-0.11713675639946713	-0.040138404809101816	0.09741913126331712	-0.009258201401223486	0.017766371296525068	-0.11161113366443312	-0.11790143695823907	-0.11438859408480016	-0.03834829055082728	0.007655595019429419	0.0444276474835927	0.012176292728950888	-0.03396236412752615	-0.02209663131899605	0.07156648279357154	0.009278710075213538	0.021569265416394715	0.0462412002264273	0.05193382216395174	0.1456672517301995	-0.05585683851719169	0.03880534099974844	0.15988562242644558	-0.13722353766743808	-0.010368599607256302	-0.18924525414849006	-0.15788749161770052	-0.04893662595083414	0.022638646274447425	0.05798095118044708	0.09825412727576924	0.12908159409338743	-0.21680305236997996	-0.10695566466869132	0.11032787663476987	-0.156903075266178	0.04001828257573151	0.10328461202447199	-0.038034800819836484	-0.05318778108791492	-0.10087044811478588	0.05639299385150305	-0.06158461818155622	-0.24767446634614826	0.05932573423208049	0.053387008206675426	0.10221523116641928	0.028882072599133266	-0.010430125629226458
Longitude	-0.005512658719263705	0.07158692026987515	0.0007219647639481371	0.009303263442978563	-0.05275673495784742	-0.013172670099194983	0.035501429443902374	-0.057063028798668085	0.06196729024494179	-0.0404416153005812	-0.06919273214416592	-0.0808368765232203	-0.13004404796265176	-0.08764281401706847	-0.11699653387390044	-0.04719656330869307	-0.04071278665654246	-0.0490310259432515	-0.1402604867410896	-0.06016411661299428	-0.08238046731869209	-0.043350333691447696	-0.07682956648512615	-0.06405090604843898	-0.1271399649795795	-0.14150625258578342	-0.036122574088326455	-0.04592877927697676	-0.11019986719564069	0.022252275116102935	-0.09089687028860358	-0.08612703566836195	0.0137880204838763	-0.04497967953111235	-0.06393502085358374	0.10229070264677065	0.045376006897517265	-0.004825459513772139	0.08814923231858587	0.060781784701572694	0.04076725269812442	-0.007595115670812344	0.14501873284184572	0.05804225869519485	0.0775828202516852	0.07914495267833382	-0.047784101246609124	-0.04342102366030939	0.02356525437381279	-0.030477806246927776	0.08538305271739133	-0.048546625828756594	0.09256214053867336	0.052599131092844295	-0.02391406881032706	0.10701997744881293	0.0805668640192076	0.02919611599182884	0.05385996201286929	-0.19586683864042734	0.040389466962896345	0.11051855148149259	-0.21480016177587624	-0.029752364927133984	0.048445805709232535	-0.055737302169524154	0.01436049334646118	0.05127688101954602	0.09220173758267357	0.06425370513943565	0.23007730701364237	-0.12200509199554385	-0.11674622185301312	0.008223213426927738	-0.08031307544247462	0.11485845202882128	0.049681141886389384	-0.02176903385355659	0.013541185018834641	0.032285615286669504	0.07156606093480121	0.13876209117161137	-0.11185934318596771	-0.10074363529545322	0.08406775575578436	-0.007946247811223718	-0.03339811315727979	0.08603664521637487
Iron.5m	-0.015535616651709296	0.1189572771340095	-0.01434654222540167	0.012930315179643463	0.04151330014652943	0.08114447858903977	0.06447309884007757	-0.03367537583354845	0.10388755514056108	-0.04691744639396848	-0.02145085629291215	-0.05102937238279836	-0.10258722228840012	-0.010278656030138736	-0.059558026089618854	-0.0024581158461973456	-0.0394190920682274	-0.03754971872550401	-0.11347200495105238	-0.06094412064504178	-0.07140936632687206	-0.021038272963705994	-0.06945654916475866	-0.038424719887163124	-0.08834614377917192	-0.1019463273978074	-0.014935284728875621	-0.06425985352385866	-0.11818889863045984	-0.0173458839556981	-0.09695360553763854	-0.04934542974983054	0.13516971587632665	0.015438265529087619	-0.06157690294208268	-0.031858154877943815	-0.008627163771378142	-0.031810638258568946	0.061085511561230404	-0.09743108961525915	-0.10916769460085109	-0.07612162423853562	0.1575639509051203	0.025226689120310054	-0.02148098878324743	0.05014741756952341	-0.08998256979276488	-0.03968912553930896	-0.028348878695819552	-0.03664806189931752	0.04193399606928739	-0.019866582666437954	0.12912119791248697	0.03348994512379288	-0.1067072608707818	0.08794399092738953	0.09534499413050893	0.06229892376819345	0.07684828083239029	-0.13977535112988074	-0.06750489094458123	0.09487909947224804	-0.33199166592057416	-0.06038319274803117	0.02128396865413213	-0.15775865315036364	-0.07822510385232542	-0.08618819389439142	0.010035278223584543	0.194330224881907	0.1435824753895499	-0.0744585425604153	-0.017579990226764514	0.0641404825044535	-0.022473043080439757	0.1793010658562176	0.07637311463864162	0.09304101756179589	0.0824923280605756	-0.031476862981008914	0.05217440701553904	0.06661018777001058	-0.10915958200729929	-0.04576314022574002	0.12918378077702947	0.0489027139302891	0.13795581229040416	0.07029098735865875
