	GulR	XylR	SahR_SamR	MetR	KdgR	NagC	ArgR	NrtR	FUR	Zur	MntR	ThiR	IscR	BirA	Phr	CzrA	PhrR	AraR	NsrR	RbkR	NadQ	Irr	GguR	SiaR	AgaR	PhnF	CadR-PbrR	TrpR	AmtR	QorR	PhnR	BioQ	ZntR	GlcC	NiaR	PsrA	SoxR	NagR	CcpA	LiuQ	Rex	CblR	VanR	ExuR_UxuR	TtrR	NarP	HutC	ModE	DasR	RutR	HcpR	LtbR	FnrN_FixK	TyrR	HypR	FadP	MerR	CueR	PaaR	PdxR	FixJ	NmlR	PurR	RbsR	MetJ	PhsR	AcnR	HisR	NagQ	HexR	SdaR	PrpR	FabR	LiuR	NnrR	NtrC	GntR	HrcA	NifA	CsoR	LexA	NikR	PdhR	LldR	NrdR	FruR	FadR	NorR
Temperature	0.5377398094118635	0.5325762982242559	0.5695814617354436	0.6252046513580454	0.6660719533185004	0.5833088451366442	0.40644809201964655	0.41935686998866545	0.5963225725200454	0.4669199445867092	0.47594559422358423	0.5273078376222661	0.26342303009949203	0.19434532555308343	0.2104025859535704	0.3356911968431216	0.3387767096259603	0.32355904454053147	0.3884177826287729	0.4541790856807019	0.4193778598715419	0.5544267662986441	0.5243062843709332	0.43843667352336174	0.7060576801981445	0.5577221779102473	-0.2618697787666345	-0.2580706099659964	-0.12180429033205994	-0.3322278661685068	-0.10039460979807732	-0.00065068636917006	-0.03125393560303934	-0.18343058645732757	-0.2980563368456404	-0.28592418454305024	-0.2608622643885647	0.3406238193190882	0.2501574241215734	0.2618697787666345	-0.0015112715671046556	0.14289912262289575	0.11519247722597709	0.24163553167373325	0.08813651819822846	-0.0331220351790437	0.09556693673649301	0.25017841400444985	0.37416565215566094	0.1919944586709206	0.17667184417110954	0.2750934049788002	0.16084547248226355	0.014881826959405566	-0.283090550354729	-0.20991981864741194	-0.333025481717812	-0.20146089584820118	-0.2026153394064061	-0.30920196465303723	-0.19333781117501364	-0.3395323454095126	-0.4294530036522396	-0.2304479241005835	-0.26273036396456906	-0.30850929851811426	-0.2133831493220268	-0.3284706771336216	-0.33279459300617104	-0.30259015154695434	-0.2185676503925108	-0.48474035514881825	-0.6748247344779816	-0.624029217916964	-0.5618152050711557	-0.6510641870618362	-0.43451156542546493	-0.6147516896855716	-0.41406741950379916	-0.5421896645816716	-0.4653457033709752	-0.2508081104907435	-0.006779732169094496	-0.07856513160656564	-0.12912975945594224	-0.20322404600982327	-0.07848117207505982	-0.20910121321523026
Salinity	0.2545862894085051	0.23613618236010242	0.4691028924058604	0.41818143654758405	0.315855757524873	0.33713949876159693	0.21245959447546284	0.22211494059863146	0.2900591914697116	0.2997775072415096	0.27954326014860836	0.237227656269678	0.2566223080475211	0.14056924562360942	0.264346584946056	0.37063935183241675	0.22509550396708786	0.43650560429872803	0.35439318248604174	0.2775072415095924	0.31480626338105033	0.318584442298812	0.40911380714495615	0.37458544981319003	0.40386633642584274	0.51083077956425	0.1419335880105789	0.12302170353889426	-0.0036102598547500106	-0.045862894085051	-0.0620880735485496	-0.031211955837286427	-0.26342303009949203	0.05102640527265858	-0.04456152134671088	-0.25267621006674784	-0.24293690441207338	0.029658704504428864	0.024054405776415766	-0.1906930859325805	-0.04101423114059023	0.16898954703832753	-0.022438184794928845	0.2935645019100793	0.12870996179841315	0.21273246295285672	0.23281978086562277	0.2578397212543554	0.30878216699550814	0.17977834683682464	0.08047521094832291	0.27337223458293103	-0.0582469249821586	0.09491625036732294	-0.4472734142143487	-0.07564753788673859	-0.205386003946098	-0.058582763108181855	-0.1338944628688972	-0.24381847949288443	-0.4356869988665463	-0.33103144284454894	-0.41566265060240964	-0.2516057260400487	-0.18036606355736534	-0.19184752949078543	-0.28315352000335836	-0.3110700642290416	-0.20788380000839596	-0.38810293438562615	-0.14848243146803242	-0.3312623315561899	-0.4628269174258008	-0.470194366315436	-0.3641114982578397	-0.35120272028882077	-0.269992863439822	-0.24155157214222744	-0.25477519835439316	-0.3039335040510474	-0.5317996725578271	-0.04479241005835188	0.0703161076361194	-0.01721170395869191	-0.07902690902984762	-0.04741614541790857	0.04525418748163385	-0.019772469669619243
Brunt.Väisälä	0.37740224099221126	0.2636514573872213	0.38228971485236823	0.38687240192391853	0.3544779203920094	0.35287778975182443	0.3000625933832683	0.347696414345511	0.3477617258002124	0.3390861875673725	0.4132800001081966	0.32237734040625676	0.22085068407288436	0.17730971427193126	0.33218494385392144	0.4865812227681012	0.29846246274308325	0.38809154907834525	0.3642637533547736	0.3113179340768147	0.11515497988107072	0.3498408071082079	0.45758293688066637	0.4947016136359789	0.3782186341759791	0.3801235516047708	0.1325604825590017	0.095387379591438	-0.08820311957428074	-0.16160230941623743	-0.10311590173110718	-0.15543037694695233	-0.0126268812422764	-0.24275179188276377	-0.13475930153394985	-0.18617030162642523	-0.17929082839787464	0.24286064430726617	-0.11061583377932135	-0.142030643490709	0.0739978781767198	0.042430675071028795	0.015838027765096692	0.05169401639618157	0.12052140440903819	0.08992298788141839	0.3287669777245466	0.30775845979558675	0.02032274765459486	-0.07384548478241645	0.012986094243134263	0.05302201597511064	-0.04612077226165957	-0.03975290542827018	-0.20260701772628503	-0.1974256423199716	-0.14257490561322092	-0.21669252145689336	-0.11129071881123613	-0.37600892995858076	-0.21277383417480758	-0.16983155270861758	-0.3018586583875576	-0.32022206240110956	-0.23941002245054063	-0.1590878184102324	-0.18745476023555335	-0.18668190802158643	-0.097945411567244	-0.10754619540835417	-0.07666476257702817	-0.3711867675531252	-0.3372030406234813	-0.4125506888640306	-0.34474651364149644	-0.49929518594997946	-0.30587531285169556	-0.34250415369674736	-0.20847416340696345	-0.2572182790991304	-0.4196914079113869	-0.060402210356372193	-0.20110485426815214	0.0278988763999607	-0.006868587986100352	0.0006748850319147731	-0.21675783291159478	-0.014020192275906899
FluxAttenuation	-0.011101207357588527	0.12324771088242444	0.1394538530102909	0.341868568187343	0.3092942225103314	0.24592820679037355	0.29276395753990764	0.15792885503605866	0.20557491289198607	0.1999027631472328	0.2031439915728061	0.3036220727655782	0.08840450530751155	0.32566242605947654	0.06652621343489182	0.08338060124787294	0.23669070577748966	0.2770439996758772	0.19617535045782353	0.25743456770115875	0.2131917996920833	0.05048213272830403	-0.2879021149015477	-0.026497042379061666	-0.25143829511384813	0.021311076898144397	-0.029576209383356294	0.21140912405801798	-0.22259136212624583	0.07479134592010372	-0.23507009156470302	-0.030224455068470952	0.21481241390486994	-0.16522161899359858	0.041406693136698806	0.12178915809091646	0.09456283931610081	-0.010777084515031198	0.18904464792156228	0.3190179077870513	0.28304027226318773	0.2292358803986711	0.20022688598979013	-0.11919617535045782	-0.06036787942630257	0.037355157604732195	0.04416173729843611	-0.07754639008184101	-0.24997974232234016	-0.2572725062798801	-0.10542095454177133	-0.04011020176646949	-0.10509683169921401	0.014180374361883154	0.1128757799205899	-0.1986062717770035	-0.2081678956324447	-0.17996920832995705	-0.22113280933473786	0.28174378089295843	0.1033141560651487	0.19909245604083947	0.06036787942630257	-0.11498257839721254	0.044485860140993434	-0.16538368041487725	-0.2588931204926667	-0.05858520379223726	-0.28287821084190906	-0.008022040353293899	-0.13102665910380035	-0.07349485454987441	-0.09359047078842882	0.05469572968154931	-0.15339113524025605	-0.13378170326553765	-0.02844177943440564	-0.13054047483996434	-0.15468762661048538	0.24220079410096426	0.10217972611619804	0.17640385706182643	0.05664046673689328	0.008994408880965886	-0.2854711935823677	-0.15014990681468277	0.060205818005023906	-0.31464224941252733
Ammonium.5m	0.21033961630494102	0.18110070945804121	0.10851769447126484	0.09506317954745813	0.17016498047940892	0.07869107090382435	0.1680030225431342	0.18548759497922002	0.18813232022165316	0.07703287015658453	0.20230049116325932	0.12516267159229252	-0.025796566055161414	0.10809789681373579	0.044078754040552455	0.2140128458083204	0.17318752361361825	0.07703287015658453	0.08717098358591159	0.058225935099282145	0.18166743629570548	0.1643927626883842	0.11340833718147852	0.2002224927584904	0.13234121153603962	-0.02921791696402334	-0.13595147139078964	-0.004072037278031989	-0.01838713739977331	-0.17392216951429412	-0.27545023298769994	-0.29320767390117963	-0.14602661517148735	-0.22570421057050502	-0.22419293900340037	-0.08200747239830401	-0.2036228537844759	0.025985475001049495	0.032681247638638174	0.02967969438730532	0.0031484824314680325	0.016099240166239873	0.05942235842324	-0.00455480458419042	0.006108055917047983	0.05446874606439696	0.04525418748163385	0.2190714075815457	0.07228915662650602	-0.15484236597959783	0.07191133873472987	0.23911674572855884	0.08089500860585198	0.03186264220645649	0.09260736325091307	-0.21520926913227825	-0.27712942361781623	-0.12816422484362539	-0.08597456026195374	-0.11279963057806137	-0.04195877587003065	-0.10146509382477646	-0.23739557533268965	-0.20435749968515177	-0.01857604634566139	0.0017841400444985518	-0.08616346920784182	0.03862138449267453	-0.04930523487678939	0.06630704000671676	0.0502497796062298	-0.07287687334704672	-0.06641198942109904	-0.05241173754250451	-0.16162209814869233	-0.11557029511775324	-0.051740061290458	-0.16600898366987113	-0.16468662104865456	-0.18252802149364006	-0.08234331052432728	0.08461021787498425	0.13420931111204398	0.13173250493262248	-0.03618655807900592	-0.023508668821627974	0.16634482179589438	0.12004114017043785
Okubo.Weiss	0.14250894730346786	0.13781932617549056	0.09937677403430828	0.09715537455263483	0.03483277798346292	0.1114402073306183	0.16555596692582994	0.1570097494755029	0.15515858324077503	0.04452054794520548	0.12230038257435517	0.10317166481550043	0.10807725533752931	-0.019900037023324695	0.09511909169443417	-0.024898185857089968	0.11236579044798223	-0.024466247068986795	-0.012341108231519191	0.006448229050968777	0.09012094286066889	-0.06173639392817475	0.06429717388621498	0.22423793656670368	0.08740589904973467	0.12338022954461311	-0.15232012834752562	0.006941873380229544	-0.09700111069974084	0.010027150438109343	-0.051986918425274586	-0.017740343082808835	0.18838701715414044	-0.17172652104158953	-0.2696532148586943	-0.1600024682216463	-0.07401579661853634	0.12063433296310008	0.036036036036036036	0.16410588670862644	0.05957669998765889	-0.18076638282117735	-0.04590892262125139	-0.05217203504874738	-0.06037887202270764	-0.10394298407997038	-0.0669196593854128	-0.0992533629519931	0.12677403430828088	-0.0030235715167222016	0.006664198445020363	-0.05451684561273602	0.011446377884734049	0.07707022090583734	-0.012186844378625201	-0.06469825990373936	-0.03261137850178946	-0.005862026409971615	0.1750586202640997	0.04958040232012835	0.08521535233864001	0.11326052079476737	-0.023417252869307664	-0.08907194866098976	0.10153646797482414	-0.08105022831050228	-0.15617672466987537	-0.11764161421695668	-0.17604590892262126	0.2120202394174997	0.22152289275576947	-0.24478588177218313	-0.207238059977786	-0.0839812415154881	-0.07787239294088609	-0.10786128594347773	-0.04501419227446625	-0.076052079476737	-0.2088115512773047	-0.06766012587930396	0.1344255214118228	0.01616685178329014	-0.13640009872886585	-0.01659879057139331	0.09428606688880661	-0.036992471923978774	-0.1538627668764655	-0.06935702826113785
Depth.Min.O2	0.16792470526660777	0.19938348302437808	0.31183337639548403	0.3388499496934202	0.2943927425267947	0.29102885682765905	0.2894465412548949	0.24338357680331615	0.21739843884170035	0.2717949319765036	0.2855200544632209	0.28051524891084834	0.1862912867667665	0.23117044475279577	0.3107316159225964	0.37336787089186785	0.11166459601277115	0.23686678081474674	0.26867718425535353	0.2184298741780207	0.04735225862197916	0.22836916014619849	0.3318408777488797	0.3097353431545597	0.2513420380915151	0.386366300300723	0.005590848357100014	0.06594153638793435	-0.1048782203340271	0.011099650721538184	-0.05363463748865758	-0.02715722357107072	0.1607749830489327	-0.17969244478553528	-0.03350992757431644	-0.12426451631441164	-0.22623596433699053	0.21636700350538002	-0.013783726767189973	-0.07886964066022221	0.33152441463432686	-0.18286879678715812	-0.11037530184237072	0.20122365743122234	-0.04300382101090137	0.03624088704434643	0.15976698942480147	0.16786610098613503	-0.013971260464702762	-0.05018870579686009	-0.050598935760169314	-0.18230619569461975	0.07624416889504318	-0.03570172766399716	-0.028423076029282044	-0.20200895478955713	-0.18868234141005458	-0.28487540737802064	-0.14436578451656368	-0.1990787407659198	0.004571133876874226	-0.04873531964113598	-0.20054384777773845	-0.22549755040303393	-0.010103377953501493	-0.21435101625711753	-0.2467474625024518	-0.11010572215219609	-0.15226564152428992	0.06550786471243603	0.009728310558475917	-0.28050352805475376	-0.2387421177898746	-0.3078131227550536	-0.3009564219397423	-0.29652593833600266	-0.20246606817724455	-0.24937293426763082	-0.18405260325270761	-0.10750369209920616	-0.21777350623672592	0.0958648819973187	-0.06991490660398655	0.12610469072125588	0.1441548091068618	-0.014322886147539241	-0.3123959774880224	-0.1742070841332862
Depth.Max.O2	0.11916280733325932	0.26225042205389293	0.3270472681613689	0.29987020074852355	0.25034123716062257	0.30668220720187384	0.279895410992085	0.22079888972925282	0.2007413151721659	0.3321562730013816	0.28390456062348385	0.3140027488592068	0.32148886011783656	0.13976439629460685	0.3515042635529112	0.301514070361398	0.06996498294795178	0.238408399467167	0.30396213518057075	0.23106420500964872	0.11615890170973332	0.016982710533005197	0.19841151435391938	0.1784248981973882	0.23409176343335994	0.34873688593123764	0.10698161523785865	0.13116660342727066	0.032073197051190876	-0.1774669597898858	-0.2577090844183261	-0.0010525496082433583	-0.06519894371062511	0.0002956600023155501	-0.04253956113316135	-0.04855919878030595	0.03634252748462742	0.0405763787177861	0.12164635135270993	-0.17155375974357479	0.17050121013533143	-0.033776198664528446	-0.08536295586854563	0.15071564278037483	0.01504318091781519	0.1670360749081932	0.05986523726885259	0.17631979898090147	-0.02360549458487352	0.0718572069627713	0.0035952256281570893	0.034734137072030824	-0.045638077957428316	0.11258732888176148	-0.11123911927120257	-0.2547288315949853	-0.13777756107904635	-0.29201747108702253	-0.2427723411013445	-0.22931389779594066	-0.19750088154678747	-0.15947900524900774	-0.020483324960421313	0.10186078399775332	-0.03481692187267918	-0.18604109985703673	-0.28112535660171767	-0.14771173715684882	-0.0884141670924421	-0.09232870552309999	0.04211381072982696	-0.2858795694389517	-0.16918847972505038	-0.23759237786077606	-0.1605906868577142	-0.2972802191282393	-0.18742478866787352	-0.09319203272986139	-0.2252456161640787	-0.026041733003953654	-0.05917930606348051	0.3142511032611519	0.1318998402330132	0.08422762145965391	0.12079485054604115	-0.07831442141334291	-0.2248198657607443	-0.21039165764774545
Nitracline	-0.005723705303862046	-0.04024909569675791	0.12944731915214402	0.12882915897932692	0.1473052797001936	0.15820321459874695	0.051330189165034824	0.14604606453334396	0.11303173234066768	0.11145198967680175	0.12003754763259483	0.09744035909294747	0.054146252174534955	0.17928934493817472	0.23641192387071794	0.28611658072945595	0.10810934577934632	0.24847749465125912	0.15172398019477512	0.12821099880650982	0.04015751641189611	0.16420165775719436	0.26420623682627203	0.25227803497302353	0.08477952296080463	0.24937039267866162	0.03301433219267628	0.18219698723253663	-0.23616008083734802	-0.015019002717334008	0.056160996441494394	-0.11067356575547652	-0.08265030458776794	0.14034525405069737	-0.007326342788943419	-0.04274463120924176	-0.011790832925955815	-0.04711754206139236	-0.1592334815534421	-0.17674801978325996	0.16690324666061726	0.09998168424786222	-0.0554054673413846	0.17612985961044286	0.1191217547839769	0.29449608529431	0.3087137692691033	0.16999404752470276	-0.06009890569055148	0.17521406676182494	-0.04166857461211569	-0.0059984431584474245	-0.3011813730892208	0.002358166585191163	-0.2827739368320005	0.009478455983195548	-0.058129951066022936	-0.05794679249629935	-0.036356976090131714	-0.0939374514469839	-0.08127661531484105	0.07527817215639362	-0.08207793405738174	-0.32739594338090905	-0.20305416935980994	-0.14693896256074643	-0.17269563642812566	-0.08729795329450392	-0.125257566869717	-0.06937130828280799	0.02284903157301729	-0.19749072780445603	-0.11417647340144009	-0.17038325948536537	-0.2529419847882715	-0.15763084406836075	-0.19265992052799646	-0.06408260458203946	-0.09164796932543907	0.07079078719816578	-0.07701817856876769	-0.004441595315796947	-0.15037318574306366	-0.005883969052370183	0.014034525405069737	-0.0856724209882071	-0.23577086887668539	0.1568982097894664
Residence.time	0.13076776697611592	0.07155364527521246	0.17817692930087536	0.20291166022013557	0.18041541688069135	0.19923653135775113	0.12829540755960273	0.11268167827153303	0.09662247881832581	0.17289810784399587	0.13281692973574846	0.18576105886234145	0.12300544934859481	0.06850217464402053	0.15718414776877024	0.20532833586600657	0.12891906579079526	0.10040897522199464	0.2301855710806796	0.21471661959627958	0.033298894844028835	0.14337457264950743	0.1711941844623449	-0.027685970763296215	0.21299042270637172	0.13455426337978474	0.23535302499627472	0.04603934156696161	-0.06755555054310332	-0.18242003262381015	-0.1956839067907795	0.16329822578528255	-0.09088705044218037	-0.15848714800179745	0.1301441087449234	-0.010123309502749903	-0.04167373394861401	0.10278110385135188	-0.0034189835174303854	-0.16791997874858422	-0.012161335508254009	0.24634500132104276	0.09025225545685943	0.032007031365130056	-0.07723338988071571	-0.024612226623847402	0.05498215513209711	0.07821342424401823	0.03661764757430328	0.06695416582016768	-0.014500053875225934	0.161783627223815	-0.10785946373391948	-0.09873846210272898	-0.08306904904401709	-0.04623980314127349	-0.0075841295614660995	-0.27933206704947533	-0.3149139964898339	-0.357378439981567	-0.1635543711302366	-0.164734867067851	0.07167614957062528	-0.05155203486053829	0.011693591834859624	-0.06629709732658985	-0.054859650836684294	-0.07084089301099245	-0.10162288142199435	-0.22105343269536065	0.06115191691925162	-0.08735669938346562	-0.06357972931925104	-0.09274688838162948	-0.17572684339261907	-0.28945537655222525	-0.11459719998162432	-0.04478088835044814	-0.16975754317977643	-0.0823674335339255	-0.267237552065992	-0.06029438685136191	0.05454782172108804	-0.047876905998153835	-0.02707344928623214	-0.10195698404584749	-0.034668715601826675	0.010368318093575534
Carbon.total	-0.3787426198788019	-0.5286557845336909	-0.6498367504391535	-0.6311080251421386	-0.6621743676971277	-0.6364154235571681	-0.41772837891695	-0.43378951129332183	-0.6093504703831436	-0.5358527279341758	-0.5341021200800038	-0.6044320959357079	-0.24552969840418884	-0.2560889203817343	-0.3437582502216184	-0.47560958780965323	-0.3156651622760961	-0.4483779100780886	-0.45062869160488117	-0.4725251834951597	-0.4487391466194257	-0.5119277539271583	-0.4427370625479788	-0.3219729080363667	-0.679930533075158	-0.6234386954952897	-0.09381035104261447	0.0574921849251094	0.2282459192725223	0.2839319214909463	0.08950329997282619	0.04420979517440747	0.18964918420196794	0.07833275461763335	0.03445640855830626	-0.0653560265557551	0.2063772148085005	-0.08186175775223407	-0.18759291465897224	-0.13551927785391907	-0.08514067405052451	-0.19956929537560936	-0.05638068787484146	-0.3296978125357289	-0.22043765249438999	-0.23930531492268833	-0.26328586378221924	-0.2886002091020717	-0.21126780182967947	-0.057436610072596005	-0.12587704094284466	-0.2616741930593307	-0.11876345982112982	0.07522056287688311	0.2385272669875008	0.3068009733002092	0.4446266075334343	0.27690170264800157	0.34053490877584136	0.3436748879428483	0.32244529428273055	0.42717610384422755	0.4940048639915877	0.3131920813392499	0.2979923591768358	0.3846613416714787	0.25108718365552857	0.15527613792243178	0.1945119837968902	0.3609864545007715	0.040125043514672776	0.377908997091101	0.5079819393987071	0.6897672819700293	0.5269051766795189	0.5152622450779621	0.5188468230650762	0.40950330074496727	0.404640501150045	0.46141021299248025	0.6297464412555603	0.14746787114429946	0.18742619010143205	0.1922612022700976	0.12751649909198987	0.20062521757336388	0.07494268861431612	0.2461965966343496
Oxygen	-0.5329817158931083	-0.564017815283638	-0.6018049695264885	-0.6485466479137365	-0.6780590717299578	-0.6028598218471636	-0.4125644631973746	-0.43211439287388653	-0.6304735114861697	-0.4904828879512424	-0.5039146741678387	-0.5422644163150492	-0.32180028129395216	-0.2111111111111111	-0.23251289263947492	-0.3505860290670417	-0.3454055321143929	-0.36380684481950304	-0.3961322081575246	-0.45199249882794185	-0.42763713080168775	-0.5801453352086263	-0.5345053914674168	-0.4692920768870136	-0.722878574777309	-0.5672995780590717	0.2141350210970464	0.220042194092827	0.061744022503516176	0.3338255977496484	0.13799812470698547	0.0613455227379278	0.09200656352555087	0.1518049695264885	0.3096812001875293	0.25159399906235347	0.2126347866854196	-0.3248241912798875	-0.21057196436943273	-0.246671354899203	0.01971401781528364	-0.16087669948429442	-0.07112048757618378	-0.19367088607594937	-0.07862165963431786	0.02613689639006095	-0.10459446788560713	-0.26017346460384433	-0.36769807782466013	-0.1639943741209564	-0.2022737927801219	-0.3038443506797937	-0.11136896390060946	-0.034739803094233475	0.29369432723863104	0.24254571026722926	0.3540787623066104	0.19163150492264416	0.21650257852789498	0.3243553680262541	0.23832630098452884	0.31924519456165024	0.44481950304735113	0.2259493670886076	0.2850914205344585	0.3466947960618847	0.21896390060947024	0.3151195499296765	0.3490389123300516	0.3151664322550399	0.23084857008907642	0.4923581809657759	0.6668307548054383	0.6292780121894046	0.5414439756211908	0.6568213783403657	0.48874824191279886	0.636685419596812	0.4345991561181435	0.5387248007501172	0.5330520393811533	0.20984528832630098	-0.039779653070792315	0.06987810595405532	0.14617909048288796	0.21150961087669948	0.0823722456633849	0.1825363338021566
ChlorophyllA	-0.444649678854792	-0.40923974644221484	-0.6338105033373914	-0.6340413920490323	-0.5936778472776122	-0.5448343898241048	-0.41650224591746776	-0.39641492800470174	-0.513097686914907	-0.5298686033331934	-0.5107678099156207	-0.5352839931153184	-0.293039754838168	-0.15994290751857604	-0.30206540447504304	-0.40403425548885435	-0.21203979681793375	-0.42067923260988205	-0.4520591075101801	-0.43287435456110157	-0.28724654716426684	-0.3964778976533311	-0.45967843499433275	-0.4500230888711641	-0.5780193946517779	-0.645040090676294	0.008479912682087233	0.05709248142395366	-0.021913437723017504	0.10832878552537677	0.03295411611603207	-0.09965996389740145	0.02166155912850006	0.04588388396792746	0.13318080685109776	0.16479157046303683	0.1008144074556064	-0.12810125519499602	-0.25045128248184373	-0.03301708576466143	-0.07963561563326477	-0.0251248898031149	0.018303177868267496	-0.36247428739347637	-0.11481465933420092	-0.14787372486461525	-0.1061038579404727	-0.3298140296377146	-0.25320095713865914	-0.20576382183787414	-0.12755551824020822	-0.13876411569623442	-0.17171823181226648	-0.04038453465429663	0.32089332941522186	0.2693841568364049	0.27150413500692666	0.1984173628311154	0.2365140002518786	0.2760589395911171	0.3045422106544646	0.2908777969018933	0.3880819445027497	0.216216783510348	0.3171571302632131	0.3662314764283615	0.27228076067335544	0.372591410939927	0.2780949582301331	0.38908945888081947	0.21206078670081022	0.4627639477771714	0.48631459636455227	0.7061206498467738	0.4577263758868226	0.5400486965282734	0.3805675664329793	0.4022501154443558	0.2988539523949456	0.3374333571218673	0.5035682800889971	0.09470635153855841	0.08207044204693338	-0.0097602955375509	0.16477058058016036	0.2057848117207506	0.21573401620418958	0.32483942739599514
Fluorescence	-0.4882210821723939	-0.4894625697666695	-0.692299734066703	-0.6803960588980602	-0.6764646815161873	-0.6301523256709052	-0.4605310402412462	-0.4707550557235161	-0.6007826240533846	-0.5666295437638019	-0.577376931467188	-0.5959870739343198	-0.3957302563988592	-0.2677231482714394	-0.3394007996703531	-0.4103725071431101	-0.30774286601632445	-0.4262927598226447	-0.5006116152211448	-0.5062348237363933	-0.3786658877010707	-0.48806285336135874	-0.5243459368764143	-0.4818554153899806	-0.6935047073199705	-0.6666910095730174	0.07109342194278402	0.04574029783615517	0.03720811348726087	0.19395200798806084	0.10517347355035041	-0.007144639390586239	0.10966473749434755	0.1607361291176863	0.15491817745039463	0.23176869382545684	0.22939526165992988	-0.22125256361512205	-0.2220802220113058	-0.09880780676793711	-0.09874694953292361	-0.040762176012049935	0.027446612991093643	-0.3194274551389186	-0.10905616514421243	-0.13942392541595464	-0.17685112494926414	-0.3500143014567095	-0.3584856285705903	-0.27302989916461756	-0.11460634497744468	-0.2032753363921308	-0.04305040804855797	-0.06503204133543829	0.40158472240715903	0.3089356678225893	0.3148266481718972	0.2288232036508029	0.1979442426049472	0.3634880932887009	0.2923946713459169	0.38605395603171094	0.45394628741278426	0.1969340125037229	0.20693894193994417	0.2838624869970226	0.385031554483484	0.3047973758416705	0.28259665650874155	0.3101771554168649	0.2823775704626929	0.5437593948457244	0.6274015786482945	0.7364699152395096	0.5452564828270567	0.6387940530428238	0.4713879709676566	0.5521333503835836	0.4666167637425973	0.4498323383258709	0.47211825778781874	0.11974269561258503	-0.038242686482490566	-0.030026959755666525	-0.019924658743423633	0.2645464006037341	0.27173972578233113	0.2634631418204936
Latitude	-0.3684144242475127	-0.4594265563998153	-0.4553545191217833	-0.45902774862516266	-0.4998320809369884	-0.45466185298686035	-0.4153687922421393	-0.35479199026069436	-0.4532345409512615	-0.42899122622895763	-0.4987406070274128	-0.4838587800680072	-0.26816674362957055	-0.2780949582301331	-0.3382729524369254	-0.438772511649385	-0.30924394441879016	-0.4486587464841946	-0.352693001973049	-0.31109105411191806	-0.3073128751941564	-0.23109861046975358	-0.3175769279207422	-0.3897821250157424	-0.5190168338860669	-0.4509256538348516	0.08081104907434616	0.145270979387935	0.17507661307249905	0.36377566013181645	0.2730573863397842	0.0714915410772008	0.17683976323412115	0.27990008815750805	0.18053398262037698	0.10627177700348432	0.18972755132026364	-0.15759204063641324	-0.266613492296713	0.0103480122580916	-0.17385919986566475	0.09518911884471684	-0.0990092775282314	-0.05994710549515134	0.10918937072331136	0.029112967549641072	-0.0966584106460686	-0.17404810881155283	-0.16991310188489148	0.050816506443894044	-0.1775953990176735	-0.01828218798539104	-0.18506779732169096	-0.0493891944082952	-0.04968305276856555	0.2799210780403845	0.3311783720246841	0.38812392426850256	0.3048360690147349	0.35647118089081065	0.14174467906469082	0.2816002686705008	0.23787834263884808	0.12048192771084337	0.13909995382225768	0.10306032492338693	0.14096805339826204	0.17761638890054993	0.21164098904328113	0.17667184417110954	0.020675034633306746	0.44252970068427017	0.24587548801477688	0.46410730028126446	0.370093614877629	0.49040762352546075	0.20376978296461107	0.42099408085302886	0.2934805423785735	0.47074010327022375	0.3141555770118803	-0.0978758238529029	-0.050228789723353345	-0.18401830317786827	-0.0919986566474959	0.10070945804122412	0.036291507493388185	0.17461483564921707
