	ExuR_UxuR	LexA	HutC	PhnF	LldR	NarP	NagR	SiaR	Irr	NiaR	LiuQ	KdgR	NagC	Zur	NrtR	Phr	FUR	MntR	ThiR	IscR	MetR	RbkR	NsrR	SahR_SamR	AgaR	GulR	CcpA	NadQ	CzrA	ModE	Rex	AraR	BirA	ArgR	XylR	TyrR	SoxR	PsrA	HypR	HisR	HexR	PhrR	GguR	PhsR	NikR	TrpR	NagQ	AmtR	PdhR	HcpR	RutR	CblR	PrpR	CsoR	NrdR	DasR	NorR	TtrR	FixJ	PhnR	CadR-PbrR	GlcC	VanR	LtbR	MetJ	AcnR	NmlR	ZntR	NifA	MerR	CueR	FadP	FabR	GntR	BioQ	PaaR	LiuR	RbsR	FnrN_FixK	NnrR	NtrC	FruR	PurR	FadR	PdxR	SdaR	HrcA	QorR
NO2NO3	-0.27036883108547516	-0.2178492493559254	-0.13944854459225273	-0.13129895432387434	-0.2276205257686175	-0.1693550713043929	-0.14785332405085308	-0.10826607192900284	-0.0782525303951567	-0.10227324191346801	-0.11859711817831081	-0.19170470522221852	-0.1959441385436477	-0.14193458121957625	-0.18248496673678033	-0.20137719872256662	-0.1538626178851119	-0.14851187679981295	-0.15477635982429375	-0.1816453119818565	-0.24150775686230877	-0.23920282224094924	-0.21644982476438568	-0.18911988568255103	-0.09899694198739264	-0.09418950691998558	-0.21508332781029396	-0.1959029789968377	-0.06633272563898303	-0.1268701870871192	-0.0296760332500042	-0.08093613284716818	-0.11503270142456551	-0.09716122619966701	-0.06723823566880285	-0.17175055692873442	0.07042398459189624	0.07442469254182744	0.07598052341124514	0.08048337783225827	0.08451701341963748	0.05240433499848175	-0.18605761539988763	0.011113077638697828	0.16293418200203413	-0.08983482686748843	0.08502739180008137	-0.1365838401342773	0.030137020174276108	-0.10837308675070881	0.08450054960091348	-0.17159415065085645	-0.04460048492330728	-0.08069740747567022	-0.1295373257204067	0.03896162701033838	-0.03891223555416639	-0.0004198273774619179	-0.01887576816706231	-0.0034244742945913303	-0.09537490186811336	-0.01908156590111227	-0.12673847653732723	0.01861234706747836	-0.0033915466571433368	0.31887124104636966	0.20080919697658875	0.08604814856096918	0.09404956446083161	0.1494173868296328	0.13206452189454018	0.1477545411385091	0.22023650307090495	0.13219623244433215	0.05251958172954973	0.17506801640161979	0.30215223313215095	0.2296620392903931	0.08261544235701584	0.07544544930271525	0.11624279210077927	0.11971665785154259	0.2005046163301948	0.26826146228880354	0.10613400740424525	0.07504208574397733	0.08102668385015016	-0.05233024781422377
Ammonium.5m	-0.009229124957504373	-0.2546096157853673	-0.15099685385436534	-0.21914082183103673	-0.2794468197151217	-0.04130485826569359	-0.06887913111666866	-0.06635130093529339	-0.045659286094908276	-0.056828110721790094	-0.10868538759698317	-0.1624823641415537	-0.21708236503904432	-0.15271600458174361	-0.17111770348598335	-0.17874643483872438	-0.15026734581544496	-0.1482710951352985	-0.1655983248349268	-0.24782914959416152	-0.2557915319104398	-0.1865448192237725	-0.22644721242239435	-0.21171567411706416	-0.22716541025916093	-0.12447442980369408	-0.04460178219352756	-0.28380690264541325	-0.11844609205571635	-0.07840232133017194	-0.15978488092787135	-0.08873419099767225	-0.08604236288506681	-0.1312266204895153	-0.0932865473645785	0.01815852955793293	0.06748797625175072	0.052411476780729487	0.0842157652372274	0.17917056741949206	0.04034349108262022	0.015924764632556564	-0.07865680087863254	-0.019419617098082115	0.13236329580597264	0.029847623483889755	0.030424443793733776	-0.2397197346498838	-0.22174216832641172	-0.127137982410915	-0.030577131522810136	-0.12329816877969843	-0.08898301544505595	0.17098198106013768	-0.10248739681669837	0.07934672321001461	0.295903163848907	0.1526481433688208	0.02913508074820008	0.1118635544022022	-0.11331126027788917	-0.14124180449670906	-0.10227250297577609	-0.004269601313061153	0.1312322755905922	0.1860358601268513	0.14887619095052704	0.07617421150587249	0.08083401479323989	0.09149388032320052	0.19785502137757688	0.11913601438709842	0.22978937715884354	0.220628113414262	0.047220093992133276	-0.06476221753268387	0.26050788620857623	0.09166918845658449	0.10161651125085544	0.08812909518244372	0.16343242112247328	0.10542804937668751	0.20288806133601983	0.21350268605736525	0.217794907774734	0.03322937392787726	0.07604979928218064	0.06468304611760724
NO3	-0.11285211655047345	-0.3595139754786674	-0.23123320008144063	-0.3608251929443972	-0.15712755964328118	-0.22454599100621894	-0.13750300490619266	-0.16215389326191187	0.020476846089812862	-0.20577372762185475	-0.021372844691394853	-0.19891168955120242	-0.1957429140090222	-0.19482506178301137	-0.22426189388864415	-0.25970847271220493	-0.19200594423169243	-0.19185296886069061	-0.19113179925453924	-0.22419633301535768	-0.22799886366597394	-0.26106339742679235	-0.2956358312732	-0.23835748164523893	-0.10078891586575978	-0.21943224288987292	-0.18311151908915899	-0.11713542693852394	-0.12863043338808805	-0.2299219826157109	0.03811272100387794	-0.1535435652369532	-0.13826788176120167	-0.18389824956859682	-0.14176446166981432	-0.15704014514556586	0.18855307157193743	0.013155881906155114	0.010686422345697427	0.04036364432004733	0.03824384275045092	0.03278043664324364	-0.33894971489113923	0.18977687453995185	-0.05323542910862767	-0.18293669009372834	-0.042483445889643756	-0.02340523176327596	0.01665246181476777	-0.05887366421126558	0.1945409646654366	-0.1524071767666541	-0.002819117551318953	-0.034812823715124744	-0.12519941435276188	0.19976398090392675	0.07836709720178113	0.00843549902952803	-0.044712515581384324	0.07996241178508566	-0.12150615182428977	0.09252824583166239	0.1464629909220126	-0.0008085841038666764	0.05754059312110701	0.33307108991978424	0.08295635833183523	-0.1007233549924733	0.10271203481549675	0.17225026774803093	0.160733407674038	0.23228217405402443	0.09838501717858858	0.23977796723311282	0.2795734173180106	0.26407919759797077	0.3278917809301517	0.20898621041289261	0.10494110450723731	0.10955221926172025	0.15048405781691715	0.2211368255953216	0.19288008920884558	0.3947201644335111	0.3927533382349165	-0.04716012151741319	0.179658646429404	-0.11060119323430405
Mean Flux at 150m	0.03511527327096881	-0.28430947387646544	-0.17504893401265662	-0.23278519440410936	-0.22856573566660976	-0.141000246144778	0.015260375767290186	0.0008556124662151948	0.16077309861744968	-0.0949847044686019	-0.21646995395244426	-0.20900385613081304	-0.20418664073883436	-0.23493008592900497	-0.23890340957348374	-0.2175482600742497	-0.20721058616737573	-0.26899049451559887	-0.2823169516948684	-0.29554964312441573	-0.23455502293011612	-0.2008462359049805	-0.22662009635987385	-0.2495223807295244	-0.13640572440838955	-0.1883519497544956	-0.13423739144606336	-0.07784901370686745	-0.11526154784603047	-0.12520071731658508	-0.1608082607735955	-0.11869571842960654	-0.17055989874470567	-0.23005426694344988	-0.18219857242897536	-0.07229339303582631	-0.16464093579349096	-0.049273901479023	0.0801228331376311	-0.050539739100272874	0.014170348926769457	-0.0774153471144022	0.038959669009579555	0.059635016823327544	-0.09029641698249123	-0.13263165298207047	-0.007067593385311814	-0.2072691897609521	-0.1286466086188764	-0.11605855671866928	0.12371218603974493	-0.11523810640859992	0.030063643504684583	0.09253507425710908	0.0621666920658273	0.33890458165222404	0.38501388907812234	-0.03523248045812158	0.12228225835648118	0.16801650278349065	0.12743937459120291	0.0032700805215621826	0.3155920721275388	0.13109623883036922	0.1689307188432822	0.17659606888307314	0.14170348926769458	0.02825865282253198	0.03924096625874619	0.14461022750908317	0.1460049930362011	0.1739471864534206	0.11603511528123873	0.13321768891783428	0.2092382705051186	0.0468125505488149	0.15030649680470765	-0.03648659736065618	0.1306977343940498	0.10754931493137845	0.1611598823350538	0.3140918201319834	0.18912551718970386	0.21587219729796517	0.27543688980900105	-0.11911766430335649	-0.05380981962183506	-0.11133510707641281
Lyapunov	-0.13728711466308682	0.0530086343794318	-0.21738788475208565	-0.07011835201081275	0.08020573768182937	0.012050279656948059	-0.21611777687883588	-0.111738002568129	-0.23187341256270264	-0.18217125735743342	-0.1393549762418488	-0.20263993795939225	-0.1761461175289594	-0.24042827137839312	-0.1725562258541543	-0.14511769708824646	-0.2603826107754822	-0.20832918149080848	-0.18569816847654017	-0.23489647923622273	-0.2378985523911767	-0.09315873863712024	-0.13459994428662453	-0.20104443054836776	-0.1822972184688301	-0.2084446458429221	-0.13469441512017205	0.049681161686703106	-0.19045320043176445	-0.10963865071151785	-0.06216180847425645	-0.2712152663555958	-0.18433358976974293	-0.15152072025091048	-0.13471540863873815	0.0237961532946875	-0.06556275848196653	-0.09704253957185088	-0.15843808461844427	-0.06714776913370796	-0.1054189534797294	-0.13804288133146683	0.023386779682648323	-0.15186711330725133	-0.05884483254081082	-0.04779174501575306	-0.10168210717496154	0.08023722795967854	-0.04292124870841517	-0.07206025247817807	-0.008680819927087148	-0.22132416948323155	-0.20704857685827568	-0.07678379415555318	-0.0793450034206188	0.09693757197902032	0.1156323002621427	-0.13693022484746292	0.02799485700790982	-0.07143044692119473	0.07614349183928679	0.024436455610953905	0.03477576350476387	0.14317579662088112	-0.11849791554641693	0.12871126232883023	0.08805731362555512	0.18749311431394272	0.24396567925678292	0.18292702402581346	0.1932453384010573	0.1692602434392748	0.12780854103048744	0.1191487146219664	0.0612485904166306	0.11997795860532781	0.2670270594016565	0.2608549649432197	0.17448762956223657	0.3540032068210569	0.2978035576195761	0.23033038894809343	0.32127431137648893	-0.016983756519984287	-0.0802477247189616	0.12295903824171565	0.11301860720066181	0.15785026609859315
Alkalinity.total	-0.08652843997498089	-0.09634023858138922	0.11726295895463627	0.1340489976854603	0.05319567467446474	-0.08163963439757185	0.1494675383526734	-0.18847542061717487	0.06762277924555993	0.03052939427011376	-0.18269774129841873	-0.2119621998596924	-0.20485120992891562	-0.01360660573292864	-0.12714313246422518	-0.12953625407554428	-0.1114169047326996	-0.13616861968405722	-0.12410044927269087	-0.05904172889640141	-0.13914292797241098	-0.09128049574602883	-0.12615169636810725	-0.07569101782086435	-0.16423651743967133	-0.06560571960173382	-0.1144595879242339	-0.2032102122525825	0.07138339892048996	0.03893950736132091	-0.12881831759214854	-0.09500692796936858	-0.11165621689383151	-0.027110649111086463	-0.06786209140669185	-0.06485359566674782	-0.03394813942914106	-0.021709031759823333	0.02430727808068408	0.08328063207390494	0.03702501007226562	0.0024273090629093807	-0.06440915879607427	0.13295499923457157	0.09688723780683359	0.1933984136461742	0.16837319908209436	-0.01336729357179673	0.15538196747779065	0.1688518234043582	0.027384148723808645	0.03798225871679327	-0.036854072814314257	0.21873131527456643	0.06153741286249134	-0.053947798609450745	0.030084957399440213	0.17989437026801636	0.10981009450795677	0.024136340822732714	0.028512334626287654	0.08307550736436331	-0.08232338342937731	-0.08987881023082764	-0.06068272657273452	0.15069828660992324	-0.07548589311132271	-0.007931488768943328	-0.032888328429842593	0.02420471572591326	-0.005538367157624221	-0.043144563906924484	0.2204406878540801	0.19685134625679174	-0.03193107978531495	0.004991367932179853	0.03880275755495982	0.046153059646868506	0.1532623454791937	0.00899129976824179	-0.0028717459335829295	0.04697355848503506	0.04813593183910434	0.26252544076170614	0.117604833470539	0.06362284740949799	0.18686861039243205	0.08187894655870376
Gradient.Surface.temp(SST)	-0.15485283797479082	-0.26941411836309137	-0.004991307437355038	-0.06182931126599892	-0.031980477407837236	-0.009068221330177121	-0.08330882331846728	-0.07473565581813284	0.0032207619753294465	-0.07962212832681531	-0.10191702315784808	-0.16764852343554815	-0.1776486107983703	-0.11857995265408235	-0.13072333189198812	-0.10678602317841845	-0.1750219134188521	-0.08482310562151549	-0.12860333666772064	-0.11904588567040486	-0.08970957813019795	-0.03380344033419911	-0.10302361407161408	-0.07862037234172188	-0.18777100557797713	-0.14621560468471204	-0.01616787566639158	-0.05367548348035476	-0.014676890014159503	0.028596638876794905	0.07186434360504529	-0.04910933992039402	-0.07920861277482907	-0.050099447580079386	-0.06966863426562539	0.16229611791054316	0.039045186767827506	0.10089779468464255	0.1333209084579862	0.006546358879331461	-0.047950331542291745	-0.08579574079308874	-0.22895948422088827	0.16688555812132	0.2991231723163563	0.05965689857739516	-0.08067047761354099	0.10308767986135842	0.23763748664989526	-0.04124672026995143	0.12128236414875297	0.06990742493649069	-0.1225054383165996	0.1097505219947705	-0.04649429086628386	0.0315494893677389	0.09122386043324615	-0.19413681541348363	-0.14950625661248987	-0.1755810330384391	0.1154523772820174	-0.1704091765572591	0.15050218843487925	0.0381948590130389	-0.04503242602757194	-0.006726907923156439	0.002754828959006923	0.026039831449725055	0.006476468926883082	-0.08175377187649085	0.0852307970107977	0.12002434500468216	0.2019411934368859	0.28211079305788017	0.15993150785270635	0.12614554000661932	0.1666234707996386	0.16601193371571527	0.02064083262308781	0.13989056398813376	0.1722787327852532	0.06272040815971575	0.1461923080338959	0.11496314761487875	0.20277404870356242	0.13852188575268637	0.24822581444582462	0.20201108338933427
Density	-0.1198136284216657	-0.04499708794408853	0.20780430984274897	0.09435061153174142	-0.07276645311589983	0.09750728013977869	-0.3510658124635993	-0.12665113570180547	-0.1840768782760629	-0.09814793244030286	-0.3223645894001165	-0.2720442632498544	-0.23214909726266744	-0.18979615608619685	-0.14199184624344788	-0.1417705299941759	-0.23090273733255678	-0.176924868957484	-0.18244612696563775	-0.13699475829935934	-0.21357018054746651	-0.10958648806057077	-0.09836924868957483	-0.13584158415841585	-0.29440885264997085	-0.19015725101921957	-0.1425160163075131	-0.06320326150262084	-0.037472335468841	0.036994758299359345	-0.023471170646476414	-0.06729178800232964	-0.14467093768200348	-0.09643564356435644	-0.11510774606872452	0.008957483983692487	-0.013383808969132207	-0.028829353523587654	-0.07246359930110659	-0.04259755387303436	-0.07476994758299359	-0.0629004076878276	0.04198019801980198	0.10352941176470588	0.1553290623179965	0.24531158998252767	0.20704717530576586	0.13598136284216658	0.17762376237623761	0.014536983110075714	0.01967384973791497	-0.024100174723354687	-0.07645894001164823	-0.03234711706464764	-0.03169481654047758	-0.09066977285963891	-0.11097262667443215	-0.012510192195690157	-0.04069889341875364	-0.14491555037856726	0.26941176470588235	0.13291788002329644	0.0033896330809551544	0.25407105416424	0.09668025626092021	-0.09440885264997088	0.09846243447874199	0.13423412929528247	0.07135701805474665	0.061234711706464766	0.14277227722772276	0.14123471170646476	0.2500873616773442	0.260768782760629	0.14393709959231218	0.24906231799650552	0.1439138031450204	0.09381479324403029	0.06478741991846243	0.24434478741991847	0.26161910308677927	0.1273849737914968	0.17002912055911473	0.19493302271403612	0.026068724519510776	0.32104834012813044	0.27486313337216073	0.21725101921956902
HCO3	-0.42058823529411765	-0.1	0.07058823529411765	-0.1323529411764706	-0.09705882352941177	-0.11176470588235295	-0.3941176470588235	-0.11176470588235295	0.061764705882352944	-0.07941176470588235	0.22647058823529412	0.1323529411764706	0.22058823529411764	0.08823529411764706	0.23823529411764705	0.2529411764705882	0.15294117647058825	0.2088235294117647	0.22058823529411764	0.09411764705882353	0.011764705882352941	0.04411764705882353	0.0029411764705882353	0.14705882352941177	0.07058823529411765	0.36470588235294116	0.5	0.1588235294117647	0.1676470588235294	0.36470588235294116	0.25882352941176473	0.047058823529411764	0.2735294117647059	0.27647058823529413	0.3	0.55	0.2647058823529412	0.47941176470588237	0.3352941176470588	0.3235294117647059	0.026470588235294117	0.03823529411764706	-0.11764705882352941	0.5176470588235295	0.17058823529411765	0.20588235294117646	-0.24411764705882352	-0.16176470588235295	0.008823529411764706	0.4088235294117647	0.2411764705882353	0.07647058823529412	0.08235294117647059	-0.3588235294117647	-0.6205882352941177	-0.42058823529411765	-0.34411764705882353	-0.16470588235294117	-0.42058823529411765	-0.10588235294117647	-0.43529411764705883	-0.45	-0.26176470588235295	0.05588235294117647	-0.061764705882352944	-0.19117647058823528	-0.6411764705882353	-0.34705882352941175	-0.19411764705882353	-0.49411764705882355	-0.31470588235294117	-0.20588235294117646	0.43529411764705883	0.37941176470588234	-0.08235294117647059	-0.08529411764705883	-0.07352941176470588	0.06470588235294118	0.3352941176470588	0.09411764705882353	0.18235294117647058	0.12058823529411765	0.2911764705882353	0.12352941176470589	0.06470588235294118	0.6235294117647059	0.020588235294117647	-0.026470588235294117
Temperature	0.39721008080248343	0.22719125139241508	-0.18462434478741993	-0.13657259500935817	0.13841595467370837	-0.001724615636892073	0.2971032111777711	0.17789551656479183	0.12500353404843625	0.045625978931416844	0.2949318918185365	0.3009143290114277	0.23557118704446114	0.12867894442214067	0.13483101593997207	0.09624486149357368	0.21634596355123806	0.18083584486375537	0.14613997093598566	0.16832814063816434	0.2343724378148837	0.10826628065433613	0.06305307858027379	0.14478289633646402	0.3437413415813312	0.23223504532063716	0.0987554495026887	-0.06688681432392239	-0.07724581710027086	-0.12833967577226027	-0.07783388276006356	0.03498425228016805	0.10661517322491815	0.04679080129600624	0.04347727748217426	-0.028662546437396453	-0.026536462898145898	-0.115639719311737	-0.15197539171392868	-0.09000231833577418	-0.057217657802330776	-0.01537452431708048	0.07414716343136313	-0.06543926808443266	-0.17489864349084822	-0.2921951247095012	-0.1865921029567263	-0.06290606216532561	-0.12090969233987933	0.10084760617695122	0.10952157465889364	0.05742121899225902	0.22651271409265428	0.08921069148605323	0.11999366698520224	0.16167847510050834	0.09990896291228209	0.142260999372353	0.09861974204273655	0.1931739147644062	-0.11420348202724327	-0.060621653256130864	0.04133988498792769	-0.0924337436599171	-0.06939740233303741	0.009075436384300908	-0.115639719311737	-0.12340897139399834	0.0612323368259156	-0.0034888126162701937	-0.02441037935889534	-0.09722874057822686	-0.4183917535100169	-0.3398962968826866	-0.13883438600856088	-0.1914323356950201	-0.1336096488004026	-0.05402853249345494	-0.05521597276803637	-0.21844942918049656	-0.285319280071925	-0.13800883229385189	-0.1934227117743185	-0.19529999830365674	-0.11519867006689247	-0.4223159608936336	-0.3180926316503723	-0.27139795647183224
FluxAttenuation	0.12432747805986527	-0.0859856098260747	0.28852012765613155	0.20049264319038754	0.10300123182331904	0.11962792531776922	0.22645362075189746	0.2340377265563835	0.07914695031861078	0.19922862555630652	0.19238996604884262	0.3632916323183081	0.3559992228909177	0.3609904720101093	0.3693848455287499	0.36322681090117576	0.3688338634831248	0.3736630590594856	0.3506838666860642	0.36034225783878576	0.3474427958294462	0.3588513652447415	0.32426913920462774	0.28482530687958707	0.12241524625446067	0.24755299202848044	0.3009010183284122	0.22979192373421398	0.32776949572977515	0.24356647487484034	0.3015492324997358	0.3439424393042988	0.3823815396637879	0.3731120770138605	0.31457833734334	0.2289492453114933	0.04735204521518852	0.27568548706392443	0.10212614269203218	0.2868671815192564	0.29490503724366895	0.28275102153135157	-0.28420950341682966	-0.07678096859327968	0.20551630301814539	0.27944512925760123	0.15278408018097103	-0.14273676052545534	0.1005056072637232	-0.24995138446237772	-0.18389836040450352	0.11800738988946023	-0.05555195448243198	0.07409087978228676	0.07564659379346339	-0.2110585341829621	-0.10851105227956959	0.025377584807318693	-0.1429312247768524	-0.26064691828921704	-0.17391586216612018	-0.37645037999617703	-0.017210086248641412	-0.3529202055771306	-0.1431256890282495	-0.417028587121034	-0.04518052774125448	-0.08303623534655236	-0.29205289488984515	-0.3082258384643688	-0.2503079022566057	-0.3238477999932674	-0.17132300548082582	-0.25740584743259903	-0.2524470090219736	-0.2732546839214609	-0.2107668378058665	-0.34705386732665205	-0.24214040369792844	-0.39187787727367857	-0.30543851752767737	-0.3846826999719867	-0.39547546592452454	-0.2439554033776345	-0.08242043188379494	-0.1978349650879608	-0.23795942229289124	0.0014908925940442656
Oxygen	-0.33499728703201304	-0.12852685838307107	0.14484536082474228	0.11615572436245253	-0.04953879544221378	0.05244167118827998	-0.1840748779164406	-0.07897449810092241	0.016006511123168747	0.05377102550189908	-0.2972056429734129	-0.0814026044492675	-0.02665491047205643	-0.0005018990775908844	0.04989148128052089	0.08685567010309278	-0.05651112316874661	-0.0067959848073792725	0.007107976125881715	-0.07287032013022246	-0.06551817688551276	0.07696690179055887	0.09556429734129138	0.013686923494302767	-0.18746608790016278	-0.08315246880086814	0.07730602278893109	0.2106348345089528	0.22122897449810092	0.17839120998372218	0.17231416169289202	0.036909929462832336	0.10836950623982637	0.10998372219207814	0.07951709169831796	0.20096310363537712	0.08648941942485079	0.25427292457948997	0.16239826370048832	0.19100651112316874	0.14403147042864894	0.05704015192620727	-0.09721920781334781	0.04876559956592512	0.12586814975583288	0.25590070537167664	0.06262886597938144	0.01420238741182854	0.027590884427563755	-0.28965002712967985	-0.21393109061313076	-0.1984264785675529	-0.3133206728160608	-0.2581931633206728	-0.18521432447097125	-0.31346988605534454	-0.1259902333152469	-0.31620998372219206	-0.19845360824742267	-0.3364758545849159	-0.03917525773195876	-0.11701030927835052	-0.0023195876288659794	-0.05199403147042865	0.0032284319045035267	-0.14305480195333695	0.12797069994574065	-0.029476397178513292	-0.1446825827455236	-0.17845903418339665	-0.11230330982094411	-0.013619099294628323	0.39852143244709715	0.17769940314704286	0.04513022246337493	0.041589799240368965	0.07612588171459576	-0.05150569723277265	-0.04476397178513294	0.15390667390124796	0.1828269126424308	0.029028757460661966	0.07684481823114488	-0.011435160065111232	0.0439636462289745	0.4428648941942485	0.1986706456863809	0.2088307107976126
Nitracline	-0.014119823783305297	0.13385836391811065	0.09708596077210607	0.05700270239415406	0.09883876648313708	-0.028641332208721865	-0.049577622646036615	0.20645373378331133	0.044002726704007455	0.05885288620024234	0.2786839357920472	0.19924775474907278	0.21077488675147804	0.11423667776406915	0.13158215094614678	0.15873846720524515	0.1984200409410859	0.12668890166951857	0.1775324395512998	0.15474596530789675	0.1645568083849175	0.07680697247642795	0.17413637848617722	0.14314579973419853	0.15890887887159538	0.1969715417771089	0.035433454338967	0.1318742852313186	0.08351388877349797	0.013961584378837221	0.13982277224036893	0.12745575416809463	0.06301579976394096	0.12470482298272653	0.029675974468705443	-0.15124035388583476	0.220220561972034	-0.06736129725587199	-0.10005599267135305	-0.24681695418455302	-0.1201158802531523	-0.13768045414910882	0.30637583157396064	-0.15178810567053194	-0.0806899240168369	-0.05454390549395779	-0.13326192308588483	-0.1214791735839542	0.06812814975444806	-0.12453441131637628	-0.019938164962977654	0.04360104206189618	-0.09887528326878356	-0.3166979096500321	-0.1438152741377173	-0.1824865501373388	-0.29554251849883845	-0.02435669602620164	-0.05683229072780382	-0.1313995670179144	-0.006171336774254988	0.17727682205177445	0.03741753302575904	-0.09938651826783426	-0.13791172712486985	-0.10116366850262959	0.09174233780583796	-0.06451298797544662	0.023894150074679568	0.03304769101006369	0.02889694970824722	-0.08094554151636227	-0.21351364567496398	-0.14775908698753706	-0.1319351465407294	-0.0011563648788051751	-0.20009981308082395	-0.11727974323460909	-0.2128441712714452	0.017856708181128337	-0.05313192311562726	-0.05201207502246857	-0.09062248971267926	-0.169243129209549	-0.08124984806341626	0.013949412116955062	-0.015324877709639112	-0.06582759225871987
Depth.Max.O2	-0.11601662796941586	0.35461235795461543	0.20662242868028677	0.364803975652405	0.08729045519472249	0.2795463866383661	-0.08812952412164894	0.10243462607095599	-0.060829086352871244	0.034067562772932485	0.01586044922848779	0.17842834839583943	0.20062615561712943	0.2145219556508626	0.23598301942411964	0.2327904644826434	0.2077957608382652	0.19325189943820673	0.24309122935791933	0.28178390377683665	0.24075820843914822	0.20185406136385106	0.26919786987293987	0.24036254992076014	0.19035949923481799	0.13976296077129371	0.10957694449772017	0.2250751233740758	0.2253684564135704	0.1509437247650535	0.23768162237375123	0.1428463685352836	0.1542249617882374	0.24234766421129345	0.2518502903512003	0.08950750723741432	0.19553034676823466	0.14135923824203184	0.039061046142933806	0.10697787733382604	0.13195893758101843	0.04828398264053187	0.012238127275658968	-0.019462306085537923	0.008308828886149734	0.15244449845549105	-0.04067096701085773	0.22555264227557864	0.09995152778314113	-0.022688969519978664	-0.25215044508928786	0.0005798443803963279	-0.12065538301258648	-0.13729350588066463	-0.038003682861034616	-0.29891318894360347	-0.26318113171400387	-0.1331322697389969	-0.23534177975638723	-0.2559910613970894	-0.0640148195957546	-0.0417829038815001	-0.042396856754860913	-0.11590748079192949	-0.13533567838450292	-0.23809092428932513	-0.0383925196808298	-0.11324701834069928	-0.12278375297357065	-0.18833345475272728	-0.32124743013675144	-0.20902366658498683	-0.08677882780025514	-0.23974177534880642	-0.14264853927608956	-0.047554060891091786	-0.11607120155815905	-0.07184612958040147	-0.1882925245611699	-0.11070934646414124	-0.19784290259122705	-0.2627308996068726	-0.1020594326483466	-0.2172028831978715	-0.42535337236296744	0.18375609499689274	0.03817422532585707	0.012374561247516926
Residence.time	-0.09632361798460728	-0.005512174516921286	0.1148063129471582	0.1423197179363552	-0.11402903107232862	-0.01653059010133768	-0.01902857230975949	0.0681516001091043	0.06278776182783752	0.06659110291001895	-0.03853182057361339	0.11703728993140192	0.10975101403605278	0.10165185556931698	0.12449563586011025	0.1241870964899489	0.09910640576548574	0.09546920126723735	0.128209975200899	0.20696464943458706	0.15281005652184157	0.11796884149131218	0.1610753515725104	0.12116103728259706	0.11071816629252014	0.14577298550239198	0.07382397776053246	0.07917594914294687	0.17991405350063214	0.10536619491010571	0.08202993831693949	0.12392009126577079	0.09237194066677135	0.11658041432558605	0.12404469370372058	0.07542600910560107	0.023039584121857217	0.14176790713972046	0.1297823392988367	0.054012190126517194	0.026789524159203024	0.036211841847976975	-0.022926848582759795	0.11094363737071497	0.09479278803265283	0.09086484451252161	-0.0628530297715255	0.10317675207184526	-0.051757479344568764	-0.14060495105218915	-0.1667655295722171	0.041136604871706436	0.05623723366133472	-0.1864467813188564	-0.18173562247446942	-0.12512458149928535	-0.1479208941946692	-0.059298893565243635	-0.14831843530622324	-0.09647195422026178	-0.01758674409919773	-0.05866994792606855	0.12048462404801254	0.02153842141703366	-0.09651348836624504	-0.15358733839667116	0.07343830354783075	-0.050867461930641754	-0.16419041252125494	-0.06749298722279831	-0.26059116534840254	-0.02246997297694393	-0.07435205475946248	-0.12362341879446179	-0.0019343045129347034	-0.053596848666684585	-0.14409975276420922	-0.1825722388435608	-0.2190451524662897	-0.11312121331012306	-0.2233647036485488	-0.16677146302164328	-0.08026770383736401	-0.10543739630321987	-0.2688327266013667	0.08680636510501445	-0.076873770765589	0.008484832679437502
Depth.Min.O2	-0.051927968287059485	0.16376708389381547	0.037304574918864575	0.1545901584637748	0.011204937775629868	0.0009902668978462232	0.1898124598371682	0.16951198843132062	0.17684403306537383	0.1070166514672446	0.06847763425106486	0.22759182025500013	0.21471835058299923	0.16453352334214852	0.19348865612917268	0.21108285019090625	0.18293485275212662	0.167307627186115	0.18037101105770284	0.10217383937777745	0.17801743151282173	0.14225930079059373	0.192294909731769	0.2116390274896966	0.16330586369481861	0.08463390651592585	0.08771322960922849	0.08214467397133979	0.20517516205375516	0.07474480283743411	0.14037372409469476	0.16745684548579046	0.195082578875706	0.19904364646709086	0.18971072008738948	0.06536439790783598	-0.01838776411000761	0.19186760278269838	0.0899854173542866	0.07144843494460353	0.11534574564912926	0.09941330083378147	0.1388001492981172	-0.07221487439293657	0.1518567505197198	0.008451181881619137	-0.1918540374827279	-0.08146640897281499	-0.03838301626651902	-0.22891443700212352	-0.2519279684020703	-0.1781530845125267	-0.02261335505081718	-0.1266999017244346	-0.04130633841016096	-0.19960660641586647	-0.13268219901142342	-0.12613694177565898	-0.12663885787456736	-0.25011021820602386	-0.17691864221521156	-0.17590124471742433	-0.19062637783539796	-0.05406450303241264	0.012961644121809127	-0.02551632924450337	0.0606572388180738	-0.06274629501353021	-0.008783531730896296	-0.1275884288725021	-0.14972699842435191	-0.09323430669722044	-0.06819954560166969	-0.188713670539558	-0.2000067827649961	-0.24283243477185262	-0.08742835830984806	-0.06583240075681811	-0.24389052816955134	-0.14863499177672695	-0.17653881381603767	-0.19380065802849408	-0.23458473238979094	-0.3195849020049202	-0.13095262326518514	0.00780004748303532	-0.18324685465144802	-0.06343812531202551
