	FixJ	GlcC	FruR	BioQ	NifA	CueR	MerR	NmlR	RbsR	AcnR	FadP	PaaR	FabR	HrcA	LiuR	PurR	GntR	NnrR	NtrC	PdxR	CsoR	PhnR	HypR	ZntR	HexR	NikR	HisR	PsrA	SoxR	NagQ	PhsR	TrpR	QorR	SdaR	LexA	PrpR	NarP	TyrR	HcpR	AmtR	CadR-PbrR	AgaR	GulR	IscR	KdgR	NagC	MetR	FUR	SahR_SamR	AraR	RbkR	ArgR	NrtR	Phr	NsrR	Zur	MntR	ThiR	BirA	XylR	CzrA	NadQ	LldR	Irr	SiaR	CblR	NagR	Rex	CcpA	LiuQ	PhrR	ModE	NiaR	HutC	PhnF	ExuR_UxuR	TtrR	NrdR	PdhR	LtbR	MetJ	FadR	NorR	RutR	DasR	FnrN_FixK	GguR	VanR
Oxygen	0.0816221284575715	0.1714017815283638	0.26994842944210035	0.40609470229723393	0.3405532114392874	0.3350445382090952	0.376769807782466	0.4349507735583685	0.4337318330989217	0.4438584153774027	0.48190342240975154	0.45192217533989687	0.7454524144397562	0.6358180965775903	0.63441162681669	0.660196905766526	0.6687060478199719	0.5977730895452414	0.6122362869198312	0.25829817158931084	0.3374355368026254	0.13687294889826535	0.07402719174871074	0.25103141115799343	0.15002344116268168	0.21078293483356775	0.25093764650726674	0.31828410689170183	0.170042194092827	0.4186122831692452	0.2645100796999531	0.4254102203469292	0.5887013595874355	0.5261603375527426	0.18666197843413032	-0.06207219878105954	0.16465072667604314	0.14739803094233475	-0.09153774027191748	0.10218002812939522	0.16275199249882794	-0.7289967182372246	-0.7101031411157993	-0.5522503516174402	-0.6360759493670886	-0.5582512892639475	-0.7071261134552274	-0.6508907641819034	-0.6147913736521331	-0.45750117205813406	-0.4388888888888889	-0.3751992498827942	-0.4146741678387248	-0.353398968588842	-0.46225972808251287	-0.48462259728082513	-0.5085794655414908	-0.4641819034224097	-0.27400375058602905	-0.40208626347866855	-0.29664791373652133	-0.34643694327238633	-0.35646976090014065	-0.5721518987341773	-0.6389826535396156	-0.4473980309423347	-0.5357946554149086	-0.008040318799812471	-0.3062587904360056	-0.16849507735583685	-0.17925457102672293	-0.18626347866854195	-0.1596812001875293	-0.16207219878105955	-0.1780825128926395	-0.2943741209563994	-0.17182372245663385	-0.19706985466479138	-0.11251758087201125	-0.16364275668073136	-0.05002344116268167	-0.05405532114392874	0.018846694796061884	-0.3052977027660572	-0.12030004688232536	-0.0857712142522269	-0.37449601500234414	-0.41373652133145805
Fluorescence	0.14406124672398418	0.15678040884180808	0.3938680250074458	0.47008562613836746	0.3444641216234772	0.3946469976156187	0.3789458309821328	0.45759772151359496	0.45541903250011123	0.4834133606063265	0.5444409958778758	0.4829386741732211	0.744137926851212	0.6379907375406454	0.7018543199638243	0.6962189400015731	0.7034974653091891	0.5714981225648829	0.6103250385035032	0.4066237014662778	0.3238335189538969	0.26292759815237465	0.03249776349721509	0.2615035388530585	0.15678040884180808	0.2053323109355875	0.12790973655139826	0.2693662936168042	0.2128420937362548	0.2939526165622628	0.10259312678577752	0.2460092868186185	0.5090464279940174	0.47008562613836746	0.141371356936387	-0.045922869541195704	0.06337672454307078	0.10231318350471537	-0.018926600089202047	-0.021677347111812763	0.08872984864969963	-0.7067594131059133	-0.6581953395651312	-0.6058094316655006	-0.6628448323201636	-0.5946847291050308	-0.695817282250484	-0.661968488135969	-0.6638915767623959	-0.49388080502865045	-0.5332554360823923	-0.4554068610531085	-0.48582330711286154	-0.4254164156384501	-0.5755755573107881	-0.53657824111413	-0.5423961927814217	-0.5436011660346892	-0.33498256440837215	-0.39939386194667265	-0.3620031767543712	-0.43567694546172814	-0.4526439425834951	-0.49775132517550974	-0.6091322366972384	-0.28487271709824685	-0.5229218775770981	-0.1323158003663765	-0.2861385475865279	-0.03687948441818791	-0.1834845635657369	-0.2867349484896603	-0.18583365283725842	-0.2673945192023664	-0.35213213323517967	-0.2848970599922523	-0.19502309532429865	-0.34554738040671773	-0.15674389450079998	-0.04572812638915247	-0.12256647131721196	0.18902257195196642	0.13703832180342498	-0.23257200932763517	-0.007850583316742972	0.09078682319315631	-0.3782277156089734	-0.31884322568278894
ChlorophyllA	0.10864363376852357	0.07558456823810923	0.34402418034507365	0.3786784769740985	0.24327274253809664	0.3316401494479661	0.3441920994080853	0.3757608832542714	0.39165022459174675	0.47057218420721214	0.4733008689811511	0.4371562906678981	0.6276604676545905	0.47449729230510895	0.671004575794467	0.6804920028546241	0.5440157843919231	0.46112673691280803	0.49626380084799127	0.24386045925863734	0.22965030855127827	0.239494563620335	0.050228789723353345	0.1058309894630788	0.18076487133201796	0.08962679988245666	0.2401242601066286	0.29740565047647033	0.22578817010201083	0.17308257419923598	0.20368582343310523	0.13901599429075187	0.35495990932370597	0.25653834851601526	0.1271567104655556	-0.03116997607153352	0.026342303009949206	0.03897821250157424	-0.05369212039796818	-0.009655346123168632	0.018156248688132322	-0.6247848537005164	-0.5452541874816339	-0.5422736241131775	-0.5537970698123504	-0.4964736996767558	-0.6187187775492212	-0.5636623147642836	-0.5588556315855757	-0.43423869694807105	-0.4450904663951975	-0.37322110742622056	-0.4058813651819823	-0.36788967717560134	-0.49250661181310607	-0.4433273162335754	-0.45424205532933126	-0.4417320851349649	-0.23838209982788297	-0.3317241089794719	-0.3076277234373032	-0.3290583938541623	-0.453906217203308	-0.4178455984215608	-0.5005457369547878	-0.2748835061500357	-0.41885311279963056	-0.11672473867595819	-0.3282397884219806	-0.07883800008395953	-0.09560891650224591	-0.2662776541706897	-0.17312455396498888	-0.3386087905629487	-0.390411821502036	-0.17161328239788423	-0.12428109651148146	-0.2651651903782377	-0.1797993367197011	-0.07413626631963394	-0.07300281264430544	0.12046093782796692	0.11668275891020528	-0.22975525796566054	0.021598589479870704	-0.01236304101423114	-0.38134419209940806	-0.22906259183073757
Carbon.total	0.2732893372346307	0.13037860399642984	0.31263633281411596	0.424369573792301	0.36454324506162894	0.3889128178887536	0.40002778839143305	0.5131504006824531	0.4605765902047793	0.546161863075411	0.4944216753854382	0.581563044126445	0.6136019466004184	0.47324765657783385	0.6997985428486976	0.6812643295354796	0.5970128531251694	0.48925321410169226	0.5324626619308586	0.24908648896504626	0.3003265029823985	0.21526919121064406	0.06052101438708955	0.2714553671016886	0.15310871867440928	0.15613754813638944	0.07441472751543884	0.13610281380530975	0.24355679113996323	0.1626953807329703	0.2106009035995187	0.309496353647109	0.404918375412612	0.28143105312784344	0.36412643366777847	0.12843348415846093	0.020701632561240458	0.1825911779327665	-0.016783605459045954	0.2361931231819381	0.13621396351033654	-0.6817367157818435	-0.5947342841721202	-0.4959777712558133	-0.6330531449801075	-0.5717818700840871	-0.6700382093277734	-0.6423341453498448	-0.5999861077346361	-0.47774921963141903	-0.4847516510481071	-0.40527961195394907	-0.44090309241503667	-0.40116707286795766	-0.4952830855993958	-0.5046196608216466	-0.5282667605660971	-0.5317401888481844	-0.34725946592996243	-0.4245362983498412	-0.367210837982272	-0.3814657876519584	-0.40753039348074166	-0.5055088584618609	-0.5207641554767884	-0.4364015293614515	-0.46782910845777764	-0.1664744707038813	-0.30863494343315134	-0.14457797881360282	-0.22713442222225436	-0.29774227234052547	-0.23730462023220605	-0.3118860723051851	-0.29852032027571307	-0.29682528727405444	-0.19384508556672944	-0.227717958173645	-0.07916637740533432	-0.0772212575673654	0.01950677323220242	0.039763806973335696	0.19945814567058254	-0.14666203578285522	-0.05902049336922783	-0.045210142519648625	-0.21510246665310387	-0.2636193128972996
Latitude	0.1548213760967214	0.1578858989966836	0.29228411905461565	0.43106922463372654	0.31033541832836575	0.3690441207338063	0.3037865748709122	0.18985349061752235	0.23861298853952395	0.37204567398513916	0.38380000839595313	0.4190630116283951	0.2568112169934092	0.37299021871457955	0.44639183913353764	0.44555224381847947	0.3261408001343353	0.3442340791738382	0.4149699844674867	0.2152302590151547	0.32677049662062885	0.28275471222870574	-0.16418286385961967	0.07472398304017464	0.007304479241005835	0.035283993115318414	0.020863943579194827	0.1803450736744889	0.13920490323663995	0.1880693505730238	0.12167835103480122	0.16103438142815163	0.40798035346962763	0.14472524243314722	0.2551320263632929	0.25844842785777256	0.038264556483774824	0.0031484824314680325	0.0996809537802779	0.19772469669619244	0.1522816002686705	-0.45835607237311615	-0.4587338902648923	-0.33590109567188614	-0.45592124595944755	-0.4355190798035347	-0.452101087275933	-0.47777171403383567	-0.4583350824902397	-0.47617648293522524	-0.308866126527014	-0.3918601234205113	-0.365790688887956	-0.38552117879182235	-0.4038873263087192	-0.41005835187439654	-0.4248981990680492	-0.43933923848704926	-0.31367280970572187	-0.2982452457915285	-0.3516015280634734	-0.3331514210150707	-0.3771252256412409	-0.320620460937828	-0.42420553293312624	-0.08656227698249444	-0.3911884471684648	-0.1678351034801226	-0.31379874900298055	0.01649804794089249	-0.273834012006213	-0.21430670416859074	-0.08133579614625751	-0.1856345241593552	-0.1501616220981487	0.04959909323705974	-0.004722723647202049	-0.18045002308887118	-0.002518785945174426	-0.06674782754712229	-0.13972965030855128	0.012635909491625037	0.03287015658452626	0.03855841484404517	0.1224129969354771	-0.09825364174467907	-0.14077914445237397	-0.20118802737080727
Gradient.Surface.temp(SST)	0.03455912508544087	0.06094326725905673	0.22354066985645932	0.31901572112098425	0.2010116199589884	0.3609022556390977	0.15876965140123034	0.2581818181818182	0.37826384142173614	0.19797676008202325	0.39324675324675323	0.38657552973342446	0.4331373889268626	0.37872863978127136	0.4443198906356801	0.30944634313055364	0.4377306903622693	0.3680382775119617	0.35406698564593303	0.2541626794258373	0.2679152426520848	-0.10236500341763499	0.051756664388243334	0.05829118250170882	-0.11650034176349966	0.36308954203691046	-0.012385509227614491	0.08325358851674641	0.11136021872863978	-0.03163362952836637	0.05356117566643882	0.1762406015037594	0.32656185919343816	0.1321667805878332	0.003827751196172249	-0.0955023923444976	-0.001695146958304853	0.090580997949419	0.023485987696514013	0.17161995898838003	0.18734107997265892	-0.36954203691045795	-0.38813397129186605	-0.33621326042378674	-0.4251811346548189	-0.43915242652084757	-0.4090498974709501	-0.44494873547505126	-0.3989336978810663	-0.28995215311004785	-0.298838004101162	-0.30452494873547503	-0.36374572795625426	-0.33692412850307585	-0.39365686944634315	-0.38810663021189334	-0.32235133287764867	-0.36781954887218044	-0.2845933014354067	-0.22570061517429937	-0.26220095693779905	-0.27059466848940533	-0.24205058099794943	-0.22173615857826384	-0.25927546138072455	-0.14693096377306902	-0.3363773069036227	0.01263157894736842	-0.22734107997265893	-0.14373205741626793	-0.24571428571428572	-0.18045112781954886	-0.20188653451811348	-0.09238550922761449	-0.2473274094326726	-0.24451127819548873	-0.18179084073820917	-0.16776486671223514	0.07327409432672591	0.05071770334928229	-0.06241968557758031	0.17260423786739576	0.008749145591250854	0.15830485304169514	0.02304853041695147	-0.030211893369788106	-0.2182365003417635	-0.2161038961038961
PAR.PC	0.162406015037594	0.47518796992481205	0.15338345864661654	0.3518796992481203	0.4631578947368421	0.14736842105263157	0.18947368421052632	0.29172932330827067	0.33533834586466166	0.2857142857142857	0.362406015037594	0.3894736842105263	0.11428571428571428	0.013533834586466165	0.29473684210526313	0.2631578947368421	0.3067669172932331	0.3849624060150376	0.38345864661654133	-0.08421052631578947	-0.2887218045112782	-0.4195488721804511	-0.6345864661654136	-0.38646616541353385	-0.11879699248120301	-0.20150375939849624	-0.02706766917293233	0.11127819548872181	0.3037593984962406	-0.06917293233082707	0.33533834586466166	-0.3218045112781955	0.05263157894736842	-0.05413533834586466	0.5233082706766917	-0.2992481203007519	-0.2631578947368421	-0.12030075187969924	0.09774436090225563	0.031578947368421054	-0.1924812030075188	-0.1593984962406015	-0.23759398496240602	-0.18796992481203006	-0.05112781954887218	-0.07368421052631578	-0.11127819548872181	-0.22255639097744362	-0.20902255639097744	-0.3804511278195489	-0.22406015037593985	-0.3037593984962406	-0.16390977443609023	-0.15639097744360902	-0.19548872180451127	-0.26917293233082706	-0.19699248120300752	-0.11729323308270677	-0.10977443609022557	-0.32781954887218046	-0.23308270676691728	-0.18345864661654135	0.09774436090225563	-0.1548872180451128	-0.20451127819548873	-0.20300751879699247	-0.17894736842105263	-0.05112781954887218	-0.19548872180451127	-0.039097744360902256	-0.28721804511278193	-0.36390977443609024	-0.22105263157894736	-0.7233082706766917	-0.24511278195488723	-0.281203007518797	-0.39398496240601505	-0.08571428571428572	-0.14586466165413534	0.10827067669172932	0.45714285714285713	-0.23308270676691728	-0.22706766917293233	-0.05413533834586466	-0.042105263157894736	-0.019548872180451128	-0.061654135338345864	-0.06917293233082707
Mean Flux at 150m	0.20316742081447964	0.20823529411764705	0.55710407239819	0.37402714932126696	0.0416289592760181	0.2541176470588235	0.2702262443438914	0.20995475113122172	0.006968325791855204	0.32416289592760184	0.3195475113122172	0.1884162895927602	0.14895927601809955	0.10733031674208145	0.272579185520362	0.396289592760181	0.26733031674208146	0.23457013574660635	0.3172850678733032	0.4982805429864253	0.10778280542986425	0.29800904977375564	0.04389140271493212	0.07203619909502262	-0.030497737556561086	-0.07809954751131222	-0.10597285067873304	-0.0734841628959276	-0.05855203619909502	-0.0730316742081448	0.1232579185520362	-0.26760180995475114	0.02072398190045249	-0.1411764705882353	-0.33647058823529413	-0.007873303167420815	-0.25610859728506785	-0.2504977375565611	-0.10678733031674208	-0.09592760180995476	0.12615384615384614	-0.3211764705882353	-0.33918552036199096	-0.46452488687782806	-0.4314027149321267	-0.40479638009049773	-0.41429864253393667	-0.41203619909502265	-0.44054298642533934	-0.31085972850678734	-0.3630769230769231	-0.42380090497737555	-0.44588235294117645	-0.37176470588235294	-0.40144796380090497	-0.41936651583710405	-0.4713122171945701	-0.4660633484162896	-0.2973755656108597	-0.34135746606334844	-0.22787330316742083	-0.16597285067873302	-0.1204524886877828	0.12199095022624434	-0.06253393665158372	0.07746606334841628	-0.04986425339366516	-0.2644343891402715	-0.25547511312217197	-0.23375565610859728	-0.2065158371040724	-0.22705882352941176	-0.2065158371040724	-0.386606334841629	-0.3860633484162896	0.008687782805429865	0.061447963800904976	-0.0820814479638009	-0.09909502262443438	0.2546606334841629	0.2323076923076923	0.39040723981900455	0.4006334841628959	0.19457013574660634	0.463710407239819	0.2697737556561086	0.03239819004524887	0.4643438914027149
NPP 8d VGPM (mgC/m2/day)	0.18860794665184774	0.17499305362600723	0.47090858571825506	0.23828841344818005	0.14648513475965547	0.29158099472075577	0.2863573214781884	0.3188107807724368	0.1954987496526813	0.2980272297860517	0.4638510697415949	0.13437065851625452	0.3674909697138094	0.3054181717143651	0.3952764656849125	0.44634620727979996	0.38605168102250625	0.3305918310641845	0.3822728535704362	0.22422895248680189	-0.07707696582383995	0.12848013337038067	0.0657404834676299	0.15732147818838566	-0.04367879966657405	0.16510141706029452	-0.25156988052236734	-0.12420116699083078	-0.0955265351486524	0.09469297026951931	0.0739094192831342	-0.02172825784940261	0.09886079466518477	-0.04823562100583496	-0.3718255070853015	-0.10780772436787997	-0.3611558766323979	-0.28085579327591	-0.14159488746874133	-0.05812725757154765	0.1972770213948319	-0.4774103917754932	-0.42650736315643234	-0.4727979994442901	-0.564156710197277	-0.5357599333148096	-0.544762434009447	-0.45823839955543205	-0.44995832175604333	-0.25684912475687693	-0.44012225618227285	-0.3493748263406502	-0.45812725757154765	-0.39877743817727146	-0.41022506251736596	-0.4196165601555988	-0.5036954709641567	-0.47729924979160876	-0.3358710752986941	-0.2973603778827452	-0.11147540983606558	-0.23639899972214504	-0.304306751875521	0.020505696026674076	-0.15181994998610726	-0.09480411225340372	-0.07874409558210614	-0.2657404834676299	-0.4549597110308419	-0.34465129202556266	-0.0945818282856349	-0.1403723256460128	-0.11847735482078355	-0.11603223117532648	-0.04984717977215893	-0.27174215059738815	0.06629619338705196	-0.013448180050013893	-0.026118366212836898	0.35009724923589886	0.2617949430397333	0.4123367602111698	0.301083634342873	-0.02289524868018894	0.2615170880800222	0.13559322033898305	0.05451514309530425	0.18266185051403167
HCO3	-0.18181818181818182	-0.412987012987013	0.06623376623376623	-0.13766233766233765	-0.12727272727272726	-0.22077922077922077	-0.13636363636363635	-0.2064935064935065	0.14935064935064934	-0.04285714285714286	0.0	0.05844155844155844	0.21168831168831168	-0.03636363636363636	0.09220779220779221	0.11038961038961038	0.2584415584415584	0.14155844155844155	0.03766233766233766	-0.2506493506493506	0.14415584415584415	0.053246753246753244	0.4012987012987013	-0.02987012987012987	0.00909090909090909	0.07272727272727272	0.005194805194805195	0.09220779220779221	0.048051948051948054	0.16753246753246753	0.22597402597402597	0.2701298701298701	0.24285714285714285	0.1961038961038961	0.1038961038961039	-0.2727272727272727	-0.048051948051948054	0.03506493506493506	0.412987012987013	0.06753246753246753	0.11688311688311688	0.07922077922077922	-0.02987012987012987	0.17142857142857143	0.04025974025974026	0.01818181818181818	-0.03766233766233766	-0.016883116883116882	-0.02077922077922078	0.05714285714285714	-0.16623376623376623	0.03116883116883117	0.025974025974025976	-0.0025974025974025974	0.016883116883116882	0.045454545454545456	-0.01948051948051948	-0.04935064935064935	-0.08441558441558442	-0.08311688311688312	-0.09610389610389611	-0.005194805194805195	-0.2051948051948052	0.1025974025974026	-0.13376623376623376	-0.12987012987012986	-0.13636363636363635	0.41688311688311686	0.20909090909090908	0.08701298701298701	0.08571428571428572	-0.05974025974025974	-0.03506493506493506	0.16623376623376623	-0.05974025974025974	-0.2831168831168831	0.003896103896103896	-0.3246753246753247	-0.1987012987012987	0.06363636363636363	-0.02727272727272727	-0.0987012987012987	-0.09480519480519481	-0.12857142857142856	-0.2519480519480519	-0.12207792207792208	-0.11558441558441558	-0.17012987012987013
Alkalinity.total	0.1862612726623985	0.03876813205555067	-0.04477937050910796	0.10855076975554187	0.1673563633229502	0.03894237085130595	0.03345384878501451	0.24558958261707267	0.24088513513168	0.23304438932269222	0.28749401299621846	0.28540314744715506	0.33819750256100606	0.15036808073681002	0.262055148815947	0.15855730413730837	0.2759071330784921	0.19959054053767772	0.12066036606053411	0.1466219466280714	0.19244674991171107	-0.01568149161797555	0.11247114266003576	0.037635579883141326	0.076403711938692	0.12754279849286781	0.12005053027539062	0.005140044474780875	-0.08415733834980213	0.05854423537377539	0.00400749230237153	0.2062116147763785	0.17179945261470994	0.14461820047688564	0.2282528224394219	0.04338546014306569	-0.172757765991364	0.19174979472868994	0.08354750256465864	0.22790434484791136	-0.014548939445566206	-0.3057890865505233	-0.20150716729098583	-0.19802239137588015	-0.2251165241158268	-0.1918369141265676	-0.21832121108137073	-0.24349871706800927	-0.2284270612351772	-0.2136167635959781	-0.191488436535057	-0.10585006842133497	-0.0990547553868789	-0.07500980157264972	-0.17894324324067656	-0.1478416181983584	-0.1455765138535397	-0.17136385562532172	-0.048438385219968925	-0.16578821416115264	-0.08511565172645619	-0.23417694149510157	-0.16056105028849413	-0.09931611358051183	-0.18896197399660541	-0.16901163188262538	-0.23931698596988246	-0.017946595962794243	-0.32626214505176915	-0.2207605542219447	-0.07945289086440946	-0.11177418747701463	-0.059851026341940027	-0.022041207663043415	-0.09992594936565533	-0.17101537803381117	-0.1320730071825052	-0.28496755045776684	-0.263274820386234	-0.03632878891497669	-0.22006359903892359	-0.18242801915578225	-0.17423879575528392	-0.1622163188481693	-0.33854598015251663	-0.08485429353282327	0.05314283270536159	-0.24863876154279013
Density	-0.021560496729465285	0.09337077306516037	0.030463316681359584	0.06792481579434269	0.1210587607884111	0.10995744495597566	0.11165529325975991	0.17630413251923685	0.13673120666949642	-0.02780770779595346	0.1981367203230265	0.20462337153492016	0.3423449897149574	0.25975990683601613	0.26670367105277476	0.2914966097452139	0.2818754693571032	0.2884274224268347	0.2621107737181789	-0.07591340973650701	0.0692743875229917	-0.19837616046843198	-0.04067217379001099	0.08272657023758992	0.07336663728083063	0.05312306135109544	0.1484420065084185	0.10939149552138092	0.02552214277162852	0.34325921572468737	0.2280667384987103	0.423406362577682	0.2355546848641177	0.23792731903222647	-0.015400354806760918	-0.04276183324082237	0.11413676385759841	0.01923139713324844	-0.06646640763596391	0.16095819592734079	0.20771432613924531	-0.30588478575548805	-0.28126598535061653	-0.18927743494302413	-0.2594551648327728	-0.2131561476257333	-0.2950229100684581	-0.2622631447198006	-0.20490634625221754	-0.09330547120732252	-0.1443715240365255	-0.0734319391386685	-0.09265245262894396	-0.10597403162786648	-0.11701004560246406	-0.1591079766219349	-0.16176358550734102	-0.16602997355274757	-0.07782893089975076	-0.20116237306951382	-0.060567473144610966	-0.08845136644137526	-0.14765838421436422	-0.19112765424843003	-0.1717983043284248	-0.317660887452248	-0.32253675950414123	0.08429381482569846	-0.224126859742493	-0.3935198789738901	0.03359780585757665	-0.011199268619192217	-0.07687117031812889	0.07408495771704705	0.043458386391092826	-0.11896910133759972	-0.09519922508462032	0.017446479685680392	0.005387403271623078	0.12301781652354676	0.07025391539055953	0.06918731837920788	-0.03860428162514557	-0.200639958206811	-0.27747847759602096	-0.215093436074923	-0.06150346644028689	-0.27954636976088637
Si	0.07268912748364803	0.04998148833765272	0.026471677156608663	-0.041589534740219675	0.11862890287547821	0.07904479822288041	0.13791188448722697	0.15845982969270642	0.0930519560656547	0.15580649142292977	0.07944588424040479	-0.01770949031223004	0.12075774404541528	0.012711341478464765	0.15198074787115884	0.11764161421695668	-0.008731334073799828	0.0426693817104776	0.03153153153153153	0.11551277304701962	0.18851042823645564	0.17888436381587067	-0.08015549796371714	0.1449463161791929	0.009194125632481797	0.12304084906824633	0.01706158213007528	0.04479822288041466	0.0427310872516352	-0.04911761076144638	0.02684191040355424	-0.12591015673207454	-0.07083796124892015	-0.0016043440700974948	-0.04479822288041466	0.08256201406886339	-0.15731827718129088	-0.006047143033444403	-0.0273972602739726	-0.2147969887695915	-0.007096137233123534	-0.08058743675182031	-0.03909046032333704	-0.13831297050475133	-0.0960446748117981	-0.09641490805874367	-0.09413180303591262	-0.09579785264716771	-0.06374182401579662	-0.08965815130198691	-0.10233864000987289	-0.04146612365790448	-0.10869431074910527	-0.10310995927434284	-0.11023694927804517	-0.09622979143527088	-0.07811921510551648	-0.036005183265457236	-0.07870541774651364	-0.08142046155744787	-0.05803406145871899	-0.029094162655806492	0.09690855238800444	-0.0684931506849315	-0.021689497716894976	0.00033938047636677775	0.13945452301616684	-0.1783907194866099	-0.13454893249413796	0.08968900407256572	-0.046464272491669754	-0.04698876959150932	-0.18159940762680488	-0.16398247562631124	-0.09660002468221646	-0.015889176848080958	0.06997408367271381	0.04485992842157226	0.07898309268172282	0.1465506602492904	0.06343329631000864	0.029803776379118845	0.17280636801184746	0.05056769097864988	0.12569418733802296	0.12226952980377638	-0.12976675305442428	0.037239294088609154
NO3	-0.08492632331961204	0.07276619684200436	0.057784921021591704	0.1589896003192279	0.012808666556413424	0.008625583048116382	0.06683205512093182	0.11878011543327183	0.13794447476198154	0.09277365827316153	0.14926149913714176	0.23178822416517256	0.21216988678129883	0.1748788322499686	0.2778669967643206	0.17757027357701244	0.20156625649282492	0.11621838212198915	0.09520568356868307	0.1252006622134487	-0.017543009131695347	-0.07892732759065893	0.0737065799562727	-0.09222239920617666	0.20458196785927163	-0.06676720111305125	0.23707382580743935	0.0994211940809204	0.2253676773849957	0.049321472993176754	0.12260650189822571	0.0378423135983151	-0.034956310247629546	0.040371619905657505	-0.21635297028959585	-0.10464194171530664	0.02707654829013977	-0.13599885452556432	-0.21353182094679088	0.11874768842933155	-0.05626085183639821	-0.1516935244326633	-0.17089031076531327	-0.16638295721761337	-0.09131444309584862	-0.05645541386003993	-0.12980529677296945	-0.10386369362073974	-0.1433273574160692	-0.08670980853632784	-0.1561684509764229	-0.023574431864588758	-0.059698114254068645	-0.06835612430612531	-0.13385867226550535	-0.08745562962695444	-0.044100725358790525	-0.024093263927633352	0.03297826300727203	-0.064594591849052	-0.03187574487330227	0.08255915203197109	0.08006227272856897	0.016245928974083862	-0.017996987186859367	-0.17153885084411902	-0.1635293808708681	0.20114470544160118	-0.20013946831945228	-0.032945836003331744	0.13917670091171244	-0.12672473139864218	-0.26058340366414756	-0.20026917633521343	-0.3250482874974384	-0.02308802680548445	-0.20169596450858607	-0.10441495268772462	-0.0946544245016982	-0.019975034427216886	0.12056360064998763	0.11774245130718264	0.13603128152950458	-0.07237707279472091	-0.13768505873045925	-0.23386355241735093	-0.2668742424285632	-0.00943625814662356
PO4	-0.06290928444347048	-0.0470045585334121	-0.001295826359306405	0.022831226330636663	0.011739569755144933	0.06562434919630294	0.11588390013225852	0.19514527910983365	0.19790662337549847	0.22929955958012388	0.11605359167931055	0.07904540791769071	0.31409905359330614	0.20682314284786874	0.32539125472440483	0.23752188636000857	0.2394964789075231	0.09866792135861628	0.14348191628462945	0.14804816155075678	0.07670057926751722	0.06446736137549365	0.2680972178379288	0.021612532492717544	0.13849915540301078	0.24326054595122265	0.20980045817341797	0.16316613574266486	0.25231590396209	0.05966971854520447	0.0845680964490204	0.013081675627283709	0.09154087638243105	0.18255725161942857	-0.03327496972647519	-0.10198461977826957	-0.00041651561549134453	0.10044196935052385	-0.23571698535954608	-0.16589662699977478	-0.09117064027977208	-0.2280654392379273	-0.15563800165526573	-0.2139347613197765	-0.1731316575059022	-0.14255632602798202	-0.24782679121735	-0.127608043383126	-0.17189753716370562	-0.05252724706474178	-0.16143836726358965	-0.03369148534196653	-0.09009078498035007	-0.07460257468578305	-0.15653273890335825	-0.11426411718312551	-0.09010621148462754	-0.0678766188208117	0.01550363679884449	-0.05643015264693845	-0.01053630242150327	-0.06301726997341268	-0.08168334014913589	-0.11699460844023545	-0.1568412689889074	-0.23937306687330345	-0.12106720556948414	0.0467885874735277	-0.04467515638751606	0.038828511266359785	0.041080780890868536	-0.0322259674356081	-0.06832398744485796	-0.12651276157942654	-0.17223692025780968	-0.17931768572116255	-0.10804723595931026	-0.16045107098983238	-0.04450546484046403	-0.11890749497064013	0.04734394162751616	0.013498191242775053	0.1454873618406989	-0.17305452498451493	-0.078582612789367	-0.024157905698497982	-0.2894166467493746	-0.15465070538150846
