	FadR	ZntR	FabR	HisR	PsrA	NorR	CblR	LexA	PhsR	IscR	NikR	NmlR	Phr	NagR	GguR	LldR	GulR	Irr	Rex	RbkR	ThiR	AmtR	SiaR	PaaR	HutC	TyrR	BirA	AgaR	PhnF	AraR	ModE	NagC	XylR	KdgR	NsrR	MntR	NadQ	MetR	ArgR	NrtR	CzrA	SahR_SamR	FUR	Zur	DasR	TtrR	FadP	NiaR	LiuR	PhnR	FixJ	GlcC	VanR	NrdR	PdhR	HypR	NifA	FruR	LiuQ	PdxR	HrcA	QorR	TrpR	MerR	PurR	GntR	LtbR	CsoR	PrpR	HcpR	HexR	RutR	NtrC	RbsR	CadR-PbrR	NagQ	FnrN_FixK	NnrR	SoxR	SdaR	BioQ	CcpA	MetJ	AcnR	CueR	NarP	ExuR_UxuR	PhrR
Okubo.Weiss	0.5956043956043956	0.389010989010989	0.015384615384615385	-0.06373626373626373	0.2043956043956044	0.26593406593406593	0.3626373626373626	0.18681318681318682	0.2835164835164835	0.1912087912087912	0.1956043956043956	0.22197802197802197	0.08571428571428572	0.1076923076923077	0.0989010989010989	0.0989010989010989	0.01098901098901099	-0.18681318681318682	-0.046153846153846156	-0.16483516483516483	-0.024175824175824177	0.17362637362637362	0.2	-0.16923076923076924	-0.2175824175824176	0.22197802197802197	0.35384615384615387	0.14725274725274726	0.2835164835164835	0.01978021978021978	-0.23956043956043957	0.046153846153846156	0.4021978021978022	0.24395604395604395	0.05934065934065934	0.07692307692307693	0.0945054945054945	0.5428571428571428	0.05934065934065934	0.12967032967032968	0.3274725274725275	0.26153846153846155	0.37142857142857144	0.3274725274725275	-0.16923076923076924	-0.054945054945054944	0.2043956043956044	0.578021978021978	0.14725274725274726	0.015384615384615385	0.1956043956043956	0.21318681318681318	-0.6307692307692307	0.05054945054945055	0.10329670329670329	-0.25274725274725274	-0.3010989010989011	-0.34065934065934067	-0.06373626373626373	-0.23516483516483516	-0.27912087912087913	-0.03296703296703297	-0.2175824175824176	-0.2175824175824176	-0.1956043956043956	-0.24835164835164836	-0.5736263736263736	-0.4945054945054945	-0.3010989010989011	-0.2571428571428571	-0.4901098901098901	-0.2043956043956044	-0.041758241758241756	-0.23956043956043957	-0.2175824175824176	-0.3054945054945055	-0.024175824175824177	0.3274725274725275	-0.1076923076923077	-0.1956043956043956	-0.25274725274725274	-0.22197802197802197	-0.002197802197802198	-0.054945054945054944	-0.3142857142857143	-0.1824175824175824	-0.389010989010989	-0.43736263736263736
PAR.PC	0.23759398496240602	0.2932330827067669	0.24060150375939848	0.3308270676691729	0.23458646616541354	0.45263157894736844	0.27518796992481204	0.26015037593984963	0.44360902255639095	0.3082706766917293	0.24210526315789474	0.16090225563909774	0.3819548872180451	-0.2	-0.3037593984962406	0.03458646616541353	-0.18796992481203006	-0.1037593984962406	-0.34135338345864663	-0.06917293233082707	-0.1849624060150376	0.06315789473684211	-0.11127819548872181	-0.31278195488721805	-0.14135338345864662	-0.24060150375939848	-0.15789473684210525	-0.39398496240601505	-0.19849624060150375	0.0481203007518797	-0.21954887218045113	0.03759398496240601	0.05413533834586466	-0.03759398496240601	-0.27669172932330827	0.03759398496240601	-0.09022556390977443	-0.14586466165413534	-0.13233082706766916	-0.23308270676691728	-0.22255639097744362	-0.20150375939849624	-0.055639097744360905	0.05263157894736842	0.24812030075187969	0.33383458646616543	0.6511278195488722	0.5533834586466165	0.5172932330827068	-0.12631578947368421	-0.26165413533834586	-0.3774436090225564	-0.4255639097744361	-0.36390977443609024	-0.24210526315789474	-0.10977443609022557	-0.055639097744360905	-0.18947368421052632	-0.10676691729323308	-0.18045112781954886	-0.18947368421052632	-0.19398496240601504	-0.09022556390977443	0.015037593984962405	0.016541353383458645	-0.06616541353383458	0.06917293233082707	-0.06766917293233082	-0.10075187969924812	-0.24962406015037594	-0.08421052631578947	-0.10225563909774436	0.1293233082706767	0.15639097744360902	-0.17593984962406015	0.09924812030075188	0.5398496240601504	0.32781954887218046	0.4706766917293233	0.2781954887218045	0.07969924812030076	-0.12180451127819548	0.2631578947368421	-0.05714285714285714	0.22857142857142856	-0.2721804511278195	0.07518796992481203	-0.0406015037593985
Salinity	0.13721061547148503	0.043478260869565216	0.47600225861095424	0.2546583850931677	0.20045172219085264	0.43195934500282324	0.32241671372106157	0.365330321852061	0.44776962168266515	0.39808018068887635	0.28176171654432525	0.5053642010163749	0.5347261434217956	0.08865047995482778	-0.032185206098249576	0.042348955392433656	0.2422360248447205	0.04686617730095991	0.12027103331451157	0.28289102202145683	0.38226990400903443	0.2885375494071146	0.1259175607001694	-0.08977978543195934	-0.07396950875211744	-0.15189158667419536	-0.0942970073404856	0.018633540372670808	0.045736871823828344	0.2885375494071146	0.19932241671372106	0.5302089215132694	0.38226990400903443	0.30886504799548276	0.21287408243929984	0.42970073404856013	0.4500282326369283	0.15753811405985318	0.21287408243929984	0.31225296442687744	0.13946922642574816	0.14511575381140598	0.4138904573687182	0.40146809712027104	-0.07848673066064371	-0.10220214568040654	0.1293054771315641	0.33483907396950874	0.5471485036702428	0.1767363071710898	-0.13721061547148503	-0.6205533596837944	-0.5686053077357425	-0.453416149068323	-0.24336533032185206	-0.4364765669113495	-0.19141727837380013	-0.28402032749858835	-0.39808018068887635	-0.37888198757763975	-0.33032185206098247	-0.20609824957651043	-0.21964991530208922	-0.26595143986448333	-0.07848673066064371	-0.26595143986448333	-0.0502540937323546	0.09881422924901186	0.028797289666854884	0.11236589497459062	0.04686617730095991	0.17334839073969507	-0.1281761716544325	-0.0660643704121965	-0.018633540372670808	0.06832298136645963	0.28176171654432525	-0.028797289666854884	0.2670807453416149	0.07735742518351214	0.18351214003387917	-0.06041784302653868	0.057029926595143984	-0.32128740824393	-0.025409373235460192	-0.2422360248447205	0.057029926595143984	0.11801242236024845
Density	0.19593450028232637	-0.11349520045172219	0.37775268210050816	0.19028797289666854	0.1293054771315641	0.45115753811405984	0.3867871259175607	0.35403726708074534	0.4161490683229814	0.2478825522303783	0.2761151891586674	0.46922642574816487	0.391304347826087	-0.032185206098249576	-0.15189158667419536	0.011857707509881422	0.33483907396950874	0.03557312252964427	0.045736871823828344	0.2264257481648786	0.35177865612648224	0.38114059853190285	0.10897797854319594	-0.09994353472614342	-0.23094297007340486	-0.2761151891586674	-0.17334839073969507	-0.09090909090909091	-0.10107284020327499	0.09881422924901186	0.032185206098249576	0.4342179559570864	0.21739130434782608	0.16770186335403728	0.08300395256916997	0.26030491247882553	0.32806324110671936	0.06154714850367024	0.05251270468661773	0.1541501976284585	-0.028797289666854884	-0.0378317334839074	0.3178994918125353	0.30547713156408807	0.032185206098249576	0.014116318464144552	0.19028797289666854	0.3201581027667984	0.6171654432523997	0.3404856013551666	-0.13608130999435347	-0.6521739130434783	-0.4647092038396386	-0.29983060417843027	-0.14398644833427443	-0.4127611518915867	-0.007340485601355167	-0.06154714850367024	-0.20722755505364202	-0.23771880293619424	-0.30773574251835123	-0.06493506493506493	-0.11236589497459062	-0.11349520045172219	0.12140033879164314	-0.19706380575945792	-0.06154714850367024	0.22190852625635235	0.07058159232072275	0.3427442123094297	0.11575381140598531	0.19254658385093168	-0.08300395256916997	0.020892151326933936	0.20045172219085264	0.14398644833427443	0.45115753811405984	0.032185206098249576	0.41727837380011296	0.08865047995482778	0.35629587803500845	0.0502540937323546	-0.053642010163749296	-0.2490118577075099	0.0378317334839074	-0.21513269339356295	0.020892151326933936	0.2738565782044043
Nitracline	-0.08823529411764706	-0.125	0.35784313725490197	-0.031862745098039214	0.18627450980392157	0.0024509803921568627	-0.08823529411764706	-0.07352941176470588	0.2107843137254902	0.007352941176470588	0.07107843137254902	0.18872549019607843	0.27205882352941174	0.029411764705882353	0.4730392156862745	0.39215686274509803	-0.11764705882352941	-0.10784313725490197	-0.22549019607843138	0.16176470588235295	-0.004901960784313725	-0.24509803921568626	-0.18872549019607843	-0.0392156862745098	-0.11274509803921569	-0.3431372549019608	-0.24509803921568626	0.16176470588235295	0.13970588235294118	0.049019607843137254	0.004901960784313725	0.27450980392156865	0.18627450980392157	-0.06372549019607843	0.08088235294117647	0.2916666666666667	0.2034313725490196	0.08333333333333333	-0.03676470588235294	0.0661764705882353	0.09068627450980392	-0.04656862745098039	0.12009803921568628	0.15931372549019607	0.0857843137254902	-0.2034313725490196	0.02696078431372549	0.2769607843137255	0.0661764705882353	0.1053921568627451	0.1568627450980392	-0.3333333333333333	-0.3872549019607843	-0.7450980392156863	-0.6151960784313726	-0.5661764705882353	-0.5049019607843137	-0.36764705882352944	-0.678921568627451	-0.46078431372549017	-0.20098039215686275	-0.3284313725490196	-0.19117647058823528	-0.49019607843137253	-0.39215686274509803	-0.06372549019607843	-0.13725490196078433	-0.03676470588235294	0.07352941176470588	-0.19607843137254902	-0.12745098039215685	-0.03431372549019608	0.14705882352941177	-0.13725490196078433	-0.1715686274509804	0.11764705882352941	-0.07352941176470588	-0.125	-0.14950980392156862	-0.24509803921568626	-0.29411764705882354	-0.3284313725490196	0.42401960784313725	-0.12990196078431374	0.007352941176470588	-0.27450980392156865	0.012254901960784314	-0.20098039215686275
ChlorophyllA	-0.057029926595143984	-0.16431394692264256	0.044607566346696784	0.017504234895539244	-0.057029926595143984	0.01637492941840768	0.21626199887069453	-0.0016939582156973462	0.22529644268774704	0.17221908526256352	0.3020892151326934	-0.1541501976284585	0.1281761716544325	-0.24675324675324675	0.20835686053077357	0.2015810276679842	-0.05251270468661773	0.10107284020327499	-0.13608130999435347	0.0378317334839074	0.045736871823828344	-0.17447769621682666	-0.25917560700169395	-0.16996047430830039	-0.3438735177865613	-0.4568040654997177	0.11349520045172219	-0.05251270468661773	-0.08526256352343309	-0.1857707509881423	-0.25578769057029926	0.09316770186335403	-0.11462450592885376	0.17221908526256352	0.042348955392433656	0.15640880858272163	0.08526256352343309	0.04121964991530209	-0.269339356295878	0.0016939582156973462	-0.018633540372670808	-0.07171089779785432	-0.03670242800677583	-0.13608130999435347	0.20835686053077357	0.18690005646527386	0.26595143986448333	0.383399209486166	0.2885375494071146	0.21739130434782608	0.2015810276679842	-0.2354601919819311	-0.11349520045172219	-0.251270468661773	-0.31225296442687744	-0.3856578204404291	-0.3935629587803501	-0.0502540937323546	-0.47261434217955955	-0.49745906267645396	-0.08752117447769622	-0.3404856013551666	-0.043478260869565216	-0.35177865612648224	-0.2456239412761152	-0.14624505928853754	-0.020892151326933936	-0.29079616036137773	-0.010728402032749858	-0.26595143986448333	-0.09203839638622248	-0.10107284020327499	-0.09203839638622248	0.024280067758328628	-0.2738565782044043	-0.23094297007340486	0.00846979107848673	0.07735742518351214	-0.02766798418972332	0.006211180124223602	0.11236589497459062	-0.025409373235460192	0.13269339356295878	-0.19932241671372106	-0.018633540372670808	-0.28176171654432525	0.17786561264822134	-0.011857707509881422
Carbon.total	-0.31682146542827655	-0.23839009287925697	-0.27966976264189886	-0.1475748194014448	-0.42208462332301344	0.05056759545923633	0.017543859649122806	-0.04643962848297214	-0.005159958720330237	0.08978328173374613	0.08771929824561403	-0.021671826625386997	0.0608875128998968	-0.36429308565531476	-0.034055727554179564	-0.017543859649122806	-0.025799793601651185	0.27966976264189886	0.07327141382868937	0.1001031991744066	0.15995872033023736	-0.12693498452012383	-0.17234262125902994	-0.17440660474716202	-0.3333333333333333	-0.28586171310629516	-0.17234262125902994	-0.40350877192982454	-0.30030959752321984	-0.34365325077399383	-0.24458204334365324	-0.07120743034055728	-0.20536635706914344	0.02786377708978328	-0.04643962848297214	-0.058823529411764705	0.09391124871001032	-0.2776057791537668	-0.3023735810113519	-0.08978328173374613	-0.24871001031991744	-0.14138286893704852	-0.22807017543859648	-0.44891640866873067	0.47368421052631576	0.3560371517027864	0.30856553147574817	0.2899896800825593	0.2982456140350877	0.023735810113519093	0.03199174406604747	-0.15583075335397317	0.12487100103199174	-0.011351909184726523	0.13519091847265222	-0.08565531475748193	-0.05675954592363261	-0.015479876160990712	-0.28586171310629516	-0.5294117647058824	-0.19504643962848298	-0.16615067079463364	-0.3457172342621259	-0.21775025799793601	-0.3415892672858617	-0.3684210526315789	-0.034055727554179564	-0.26109391124871	0.017543859649122806	-0.13725490196078433	-0.3126934984520124	-0.16821465428276575	-0.2714138286893705	-0.015479876160990712	-0.17440660474716202	-0.2672858617131063	-0.07739938080495357	-0.28792569659442724	0.10835913312693499	-0.015479876160990712	0.32920536635706915	0.2714138286893705	-0.0196078431372549	-0.41589267285861714	0.13312693498452013	-0.05675954592363261	0.17440660474716202	-0.015479876160990712
PO4	-0.015789473684210527	0.21403508771929824	0.0912280701754386	0.156140350877193	0.1824561403508772	0.24912280701754386	0.06140350877192982	-0.06140350877192982	0.11228070175438597	0.47017543859649125	0.35964912280701755	0.15789473684210525	-0.007017543859649123	0.08596491228070176	0.0017543859649122807	-0.04912280701754386	-0.0035087719298245615	0.39649122807017545	0.2754385964912281	-0.07017543859649122	-0.09298245614035087	0.007017543859649123	0.12456140350877193	0.48947368421052634	0.4824561403508772	0.5666666666666667	0.3894736842105263	0.3684210526315789	0.4824561403508772	0.5087719298245614	0.41228070175438597	0.14385964912280702	0.25087719298245614	0.2771929824561403	0.11052631578947368	0.1736842105263158	0.38596491228070173	0.3017543859649123	0.3105263157894737	0.3649122807017544	0.35789473684210527	0.44035087719298244	-0.01929824561403509	0.15964912280701754	-0.47192982456140353	-0.23157894736842105	-0.2754385964912281	-0.4368421052631579	-0.3263157894736842	-0.2614035087719298	0.13859649122807016	0.0035087719298245615	-0.16140350877192983	0.23333333333333334	0.21403508771929824	0.2543859649122807	-0.13157894736842105	0.1912280701754386	-0.13859649122807016	0.11403508771929824	0.3508771929824561	0.13333333333333333	0.05087719298245614	0.2789473684210526	0.3894736842105263	0.12280701754385964	0.2596491228070175	-0.031578947368421054	-0.22982456140350876	-0.20350877192982456	0.11228070175438597	-0.01929824561403509	-0.15087719298245614	0.0824561403508772	0.07017543859649122	-0.04035087719298246	-0.12105263157894737	-0.031578947368421054	-0.01929824561403509	0.3087719298245614	0.256140350877193	0.23859649122807017	-0.41578947368421054	-0.03333333333333333	-0.4473684210526316	-0.156140350877193	-0.09824561403508772	0.02456140350877193
Si	0.0406015037593985	0.34887218045112783	0.3699248120300752	0.45413533834586467	0.2586466165413534	0.11278195488721804	0.04661654135338346	0.13984962406015036	0.40601503759398494	0.42255639097744363	0.45413533834586467	-0.12030075187969924	-0.13984962406015036	-0.04962406015037594	0.13233082706766916	0.1849624060150376	-0.29473684210526313	0.03759398496240601	-0.10977443609022557	-0.12180451127819548	-0.2962406015037594	-0.26766917293233083	0.022556390977443608	0.3308270676691729	0.46766917293233085	0.3699248120300752	0.5368421052631579	0.3593984962406015	0.42105263157894735	0.4616541353383459	0.3744360902255639	0.09323308270676692	0.14285714285714285	0.1518796992481203	0.031578947368421054	0.2887218045112782	0.18045112781954886	0.2631578947368421	0.3082706766917293	0.24210526315789474	0.3157894736842105	0.30526315789473685	-0.06015037593984962	0.18646616541353384	-0.5082706766917293	-0.44661654135338347	-0.24962406015037594	-0.34285714285714286	-0.43157894736842106	-0.29022556390977444	-0.12631578947368421	-0.13082706766917293	-0.13233082706766916	0.2	0.14736842105263157	0.17894736842105263	0.12330827067669173	0.09473684210526316	-0.18045112781954886	0.03458646616541353	0.37293233082706767	0.12180451127819548	0.16090225563909774	0.518796992481203	0.3699248120300752	0.2736842105263158	0.4496240601503759	0.04360902255639098	-0.11428571428571428	-0.15037593984962405	0.24060150375939848	-0.0887218045112782	0.19097744360902255	0.32781954887218046	0.07518796992481203	-0.03458646616541353	0.13383458646616542	0.07969924812030076	-0.03759398496240601	0.3684210526315789	0.15789473684210525	0.07669172932330827	-0.19097744360902255	0.08421052631578947	-0.42105263157894735	-0.23759398496240602	-0.11578947368421053	-0.1518796992481203
Residence.time	0.026201295556399065	-0.06812336844663758	0.39236440095707603	0.33865174506645795	0.1794788745613336	0.140176931226735	-0.16637822678313408	0.054367688279528065	0.3248960648993484	0.22664120656285192	-0.00589529150018979	-0.09628976116976656	-0.059607947390807874	-0.366163105400677	-0.13821183406000506	-0.07663878950246727	-0.07925891905810718	0.07598375711355729	0.00982548583364965	0.03733684616786867	-0.03406168422331879	-0.23057140089631178	0.028166392723128996	0.32424103251043845	0.07663878950246727	-0.13559170450436517	0.08056898383592713	0.09039446966957677	0.24039688672996143	0.23253649806304172	0.14279706078237492	0.11659576522597584	0.17358358306114383	-0.11594073283706587	0.0648482065020877	0.17292855067223384	0.016375809722749417	-0.04912742916824825	-0.11004544133687608	-0.09956492311431646	0.11004544133687608	0.04519723483478839	-0.09628976116976656	-0.02358116600075916	-0.13624673689327516	-0.07794885428028722	-0.13297157494872527	-0.09432466400303664	0.059607947390807874	-0.06222807694644778	-0.20371507295100275	-0.38843420662361616	-0.07598375711355729	0.2692183118420004	0.14279706078237492	-0.0006550323889099767	0.13624673689327516	0.11659576522597584	0.048472396779338275	0.13624673689327516	0.22402107700721202	0.1486923522825647	0.19716474906190298	0.19978487861754288	0.3877791742347062	0.5934593443524389	0.5469520447398305	0.30721019039877906	0.24105191911887142	0.17620371261678372	0.13624673689327516	0.15000241706038467	0.24629217823015123	0.17882384217242364	0.5024098422939521	0.23908682195214148	0.3622329110672171	0.17227351828332385	0.23908682195214148	0.17423861545005379	0.35699265195593727	0.2220559798404821	0.11201053850360601	-0.195854684284083	0.005240259111279813	-0.048472396779338275	0.07598375711355729	0.00589529150018979
Depth.Max.O2	0.14082611153306146	0.20265220927928357	-0.15227538889347297	-0.006297102548226326	0.09502900209141546	0.29997106684278135	-0.030913048873111054	0.04522464557362543	0.02461594632488473	0.12250726775640307	0.27249280117779373	0.11163045426401214	0.04064493462946083	-0.17059423267013138	-0.35893484524890057	-0.13452900898483514	0.0028623193401028754	0.21868119758385968	0.13968118379702033	-0.08071740539090108	-0.010876813492390926	0.3469131040204685	0.20551452861938646	0.32802179637578954	0.33374643505599527	0.28852178948236984	0.16257973851784333	-0.1975000344670984	0.10705074331984754	0.18318843776658403	0.22612322786812716	0.1425435031371232	0.3566449897768183	0.10247103237568295	0.06068117001018096	0.04465218170560486	0.05495653132997521	0.04636957330966658	0.07671015831475705	-0.04579710944164601	0.11621016520817674	0.18719568484272806	-0.12365219549244422	0.16200727464982276	-0.1356739367208763	0.1837609016346046	0.33374643505599527	0.10189856850766237	-0.05037682038581061	-0.1866232209747075	-0.18490582937064576	-0.05667392293403693	-0.2072319202234482	0.3022609223148636	0.3423333930763039	0.27077540957373203	0.18089858229450173	-0.04751450104570773	0.08014494152288051	0.11964494841630019	0.1127753820000533	0.08357972473100396	0.03148551274113163	0.2484493187209296	0.25589134900519706	0.14884060568534951	0.10705074331984754	0.2581812044772794	0.2072319202234482	-0.04923189264976946	0.16143481078180216	-0.06297102548226326	0.21639134211177738	0.24157975230468268	0.14197103926910262	0.20150728154324243	0.20093481767522187	0.1997898899391807	0.21352902277167451	0.07384783897465419	0.07098551963455131	0.058391314538098656	-0.34863049562453025	0.10819567105588869	-0.09102175501527143	-0.21753626984781854	-0.12594205096452651	-0.02461594632488473
CO3	-0.19411764705882353	0.06764705882352941	0.2411764705882353	-0.09705882352941177	-0.10882352941176471	-0.19705882352941176	0.09411764705882353	0.23529411764705882	0.052941176470588235	0.21176470588235294	0.2	0.3382352941176471	0.3588235294117647	0.611764705882353	0.47352941176470587	0.4588235294117647	0.047058823529411764	-0.07058823529411765	0.4323529411764706	0.5088235294117647	0.5029411764705882	0.061764705882352944	0.12352941176470589	-0.22058823529411764	0.1264705882352941	0.25588235294117645	0.3029411764705882	0.4294117647058823	0.16470588235294117	0.25588235294117645	0.4441176470588235	0.5176470588235295	0.3911764705882353	0.5441176470588235	0.5823529411764706	0.5352941176470588	0.5205882352941177	0.3411764705882353	0.6588235294117647	0.7382352941176471	0.49117647058823527	0.5235294117647059	0.6205882352941177	0.3941176470588235	-0.40588235294117647	-0.6676470588235294	-0.1676470588235294	0.09411764705882353	-0.026470588235294117	0.06470588235294118	-0.01764705882352941	-0.19705882352941176	-0.14411764705882352	-0.34705882352941175	-0.26176470588235295	-0.4323529411764706	-0.2647058823529412	-0.5323529411764706	-0.6617647058823529	-0.7294117647058823	-0.1264705882352941	-0.3941176470588235	-0.4088235294117647	-0.5823529411764706	-0.6558823529411765	-0.5470588235294118	-0.29411764705882354	-0.04411764705882353	0.11176470588235295	-0.1264705882352941	-0.1264705882352941	-0.014705882352941176	-0.4235294117647059	-0.2323529411764706	-0.5411764705882353	-0.5205882352941177	-0.5294117647058824	-0.4970588235294118	-0.5705882352941176	-0.40588235294117647	-0.2323529411764706	-0.2235294117647059	-0.15	-0.17058823529411765	-0.27941176470588236	0.11764705882352941	-0.0058823529411764705	-0.19705882352941176
Temperature	0.11575381140598531	0.3608130999435347	0.4161490683229814	0.25917560700169395	0.08526256352343309	-0.189158667419537	-0.2490118577075099	0.13946922642574816	0.053642010163749296	0.33258046301524563	0.2490118577075099	0.32806324110671936	0.13495200451722192	0.3687182382834557	0.38114059853190285	0.30547713156408807	-0.14850367024280067	-0.1857707509881423	0.020892151326933936	0.08074534161490683	0.18690005646527386	-0.03896103896103896	0.09203839638622248	0.01637492941840768	0.3145115753811406	0.3879164313946923	0.30095990965556185	0.20835686053077357	0.4409937888198758	0.5561829474872954	0.4409937888198758	0.4364765669113495	0.4138904573687182	0.4330886504799548	0.37323546019198195	0.5618294748729531	0.40372670807453415	0.42970073404856013	0.5087521174477696	0.49745906267645396	0.5302089215132694	0.5098814229249012	0.3856578204404291	0.6905702992659515	-0.4850367024280068	-0.6939582156973462	0.011857707509881422	0.16205533596837945	-0.30886504799548276	-0.2365894974590627	0.033314511575381144	-0.04686617730095991	-0.5166572557876906	-0.30773574251835123	-0.17447769621682666	-0.35290796160361376	-0.3551665725578769	-0.551665725578769	-0.6363636363636364	-0.3800112930547713	-0.13721061547148503	-0.18351214003387917	-0.365330321852061	-0.25352907961603616	-0.3438735177865613	-0.1857707509881423	-0.15640880858272163	-0.21287408243929984	0.08074534161490683	-0.15753811405985318	-0.14737436476566912	-0.012987012987012988	0.043478260869565216	-0.1259175607001694	-0.435347261434218	-0.20948616600790515	-0.277244494635799	-0.30660643704121965	-0.5629587803500847	-0.295313382269904	-0.4082439299830604	-0.35742518351214003	0.22077922077922077	0.033314511575381144	-0.3404856013551666	-0.30434782608695654	-0.25014116318464147	-0.43873517786561267
