	FadR	ZntR	FabR	HisR	PsrA	NorR	CblR	LexA	PhsR	IscR	NikR	NmlR	Phr	NagR	GguR	LldR	GulR	Irr	Rex	RbkR	ThiR	AmtR	SiaR	PaaR	HutC	TyrR	BirA	AgaR	PhnF	AraR	ModE	NagC	XylR	KdgR	NsrR	MntR	NadQ	MetR	ArgR	NrtR	CzrA	SahR_SamR	FUR	Zur	DasR	TtrR	FadP	NiaR	LiuR	PhnR	FixJ	GlcC	VanR	NrdR	PdhR	HypR	NifA	FruR	LiuQ	PdxR	HrcA	QorR	TrpR	MerR	PurR	GntR	LtbR	CsoR	PrpR	HcpR	HexR	RutR	NtrC	RbsR	CadR-PbrR	NagQ	FnrN_FixK	NnrR	SoxR	SdaR	BioQ	CcpA	MetJ	AcnR	CueR	NarP	ExuR_UxuR	PhrR
NO2	-0.10526315789473684	0.35964912280701755	0.15087719298245614	0.008771929824561403	0.3	0.1543859649122807	0.0824561403508772	0.007017543859649123	0.07894736842105263	0.19649122807017544	0.3087719298245614	0.27017543859649124	0.38070175438596493	0.387719298245614	0.34210526315789475	0.2543859649122807	-0.05789473684210526	0.14210526315789473	0.3684210526315789	0.3350877192982456	0.12280701754385964	0.11578947368421053	0.3263157894736842	0.2912280701754386	0.4824561403508772	0.5175438596491229	0.35789473684210527	0.5666666666666667	0.45789473684210524	0.5491228070175439	0.6350877192982456	0.4982456140350877	0.6859649122807018	0.4789473684210526	0.39473684210526316	0.5649122807017544	0.5473684210526316	0.6052631578947368	0.5807017543859649	0.6385964912280702	0.6140350877192983	0.6701754385964912	0.34210526315789475	0.2824561403508772	-0.5894736842105263	-0.5210526315789473	-0.2614035087719298	-0.07719298245614035	-0.3649122807017544	-0.35964912280701755	0.07894736842105263	-0.05087719298245614	-0.34912280701754383	-0.10350877192982456	-0.11929824561403508	-0.08771929824561403	-0.25263157894736843	-0.5684210526315789	-0.4964912280701754	-0.3456140350877193	-0.17017543859649123	-0.3017543859649123	-0.30350877192982456	-0.2771929824561403	-0.21228070175438596	-0.12456140350877193	0.02280701754385965	0.0	-0.07017543859649122	-0.29473684210526313	0.07192982456140351	0.09824561403508772	-0.010526315789473684	0.05087719298245614	-0.24912280701754386	-0.05964912280701754	-0.4087719298245614	-0.2543859649122807	-0.2929824561403509	-0.14912280701754385	-0.21052631578947367	-0.34385964912280703	-0.3649122807017544	-0.11929824561403508	-0.4807017543859649	-0.17192982456140352	-0.2771929824561403	-0.3333333333333333
Ammonium.5m	0.08413325804630152	0.06719367588932806	-0.028797289666854884	-0.0502540937323546	-0.06154714850367024	0.08752117447769622	-0.05815923207227555	0.000564652738565782	-0.025409373235460192	0.06154714850367024	0.35968379446640314	0.26595143986448333	0.11123658949745906	0.07058159232072275	0.21852060982495766	0.19706380575945792	0.11688311688311688	0.07509881422924901	0.3901750423489554	0.2636928289102202	0.3935629587803501	0.22981366459627328	0.3235460191981931	0.1756070016939582	0.17447769621682666	0.19254658385093168	0.30321852060982496	0.31225296442687744	0.2456239412761152	0.2795031055900621	0.3958215697346132	0.44212309429700736	0.5392433653303218	0.36645962732919257	0.4127611518915867	0.5742518351214003	0.5031055900621118	0.47261434217955955	0.37323546019198195	0.5347261434217956	0.49858836815358554	0.6070016939582157	0.35629587803500845	0.313382269904009	-0.33483907396950874	-0.5437605872388481	0.018633540372670808	0.17786561264822134	-0.2704686617730096	-0.1541501976284585	0.07171089779785432	-0.1293054771315641	-0.2456239412761152	0.16544325239977414	0.19254658385093168	-0.12027103331451157	0.025409373235460192	-0.3901750423489554	-0.42631281761716544	-0.4579333709768492	-0.3167701863354037	-0.15527950310559005	-0.4138904573687182	-0.12365894974590627	-0.18351214003387917	-0.2648221343873518	-0.1293054771315641	0.04912478825522304	0.2987012987012987	0.12478825522303783	0.032185206098249576	0.11349520045172219	0.0942970073404856	0.15640880858272163	0.034443817052512704	-0.04799548277809147	-0.233201581027668	-0.35290796160361376	-0.27837380011293056	-0.3461321287408244	-0.04912478825522304	-0.28740824392998304	-0.47261434217955955	-0.2941840767927724	-0.49858836815358554	-0.37210615471485037	-0.4579333709768492	-0.49407114624505927
Alkalinity.total	0.06764705882352941	-0.0058823529411764705	-0.06764705882352941	-0.3941176470588235	-0.25588235294117645	-0.08529411764705883	-0.01764705882352941	-0.03823529411764706	0.07058823529411765	-0.22058823529411764	0.12352941176470589	-0.18235294117647058	0.19705882352941176	-0.052941176470588235	0.08823529411764706	-0.16470588235294117	0.5470588235294118	0.3411764705882353	0.20294117647058824	0.3911764705882353	0.7235294117647059	0.43529411764705883	0.35294117647058826	-0.24705882352941178	-0.008823529411764706	-0.24411764705882352	0.16176470588235295	0.2529411764705882	0.08823529411764706	-0.15294117647058825	0.27058823529411763	0.36176470588235293	0.12941176470588237	0.18235294117647058	0.5058823529411764	0.4147058823529412	0.36176470588235293	0.2735294117647059	0.3264705882352941	0.37941176470588234	0.2647058823529412	0.23529411764705882	0.36176470588235293	0.052941176470588235	0.2647058823529412	-0.21470588235294116	-0.36764705882352944	0.014705882352941176	0.12941176470588237	0.5411764705882353	-0.34705882352941175	-0.25588235294117645	0.3205882352941177	-0.03529411764705882	0.3176470588235294	0.2647058823529412	0.48823529411764705	-0.10294117647058823	-0.17941176470588235	-0.4264705882352941	-0.2529411764705882	-0.14705882352941177	-0.15294117647058825	-0.08823529411764706	-0.7705882352941177	-0.4764705882352941	-0.10588235294117647	0.1676470588235294	0.24411764705882352	0.22941176470588234	-0.0058823529411764705	-0.008823529411764706	-0.27058823529411763	-0.06470588235294118	-0.19411764705882353	-0.15294117647058825	-0.45588235294117646	-0.3764705882352941	-0.0029411764705882353	0.01764705882352941	-0.09705882352941177	-0.13823529411764707	-0.3235294117647059	-0.5	-0.43823529411764706	0.014705882352941176	-0.1588235294117647	-0.15
Brunt.Väisälä	-0.11512210340693967	-0.27317109283002633	0.1639026556980158	-0.2042279122586387	-0.13983758323441822	-0.052032589110481205	-0.052032589110481205	0.07479684684631673	-0.1125204739514156	0.02211385037195451	-0.056585440657648305	0.390244418328609	0.10991884449589154	0.2692686486467402	0.05398381120212425	-0.013658554641501315	0.4123582687005635	0.303740238932434	0.5905698864039617	0.4247160086143028	0.5684560360320071	0.42211437915877875	0.47804941245254606	0.3323581629431987	0.06699195847974455	0.1944718018004235	0.0819513278490079	0.30634186838795807	0.20032546807535262	0.31414675675453024	0.4468298589862573	0.5157730395576449	0.40455338033399135	0.4026021582423483	0.5671552213042451	0.37008179004829755	0.5047161143716676	0.2725206854661453	0.3291061261237936	0.5469925930239337	0.3720330121399406	0.43382171170863704	0.3720330121399406	0.38829319623696595	-0.3973988993313002	-0.40910623188115847	-0.40000052878682424	-0.27317109283002633	0.00520325891104812	0.21723605953625902	0.08325214257676992	-0.13723595377889417	-0.14829287896487142	0.0904066235794611	0.0904066235794611	-0.258211723460763	-0.09691069721827124	-0.16130102624249174	-0.21528483744461596	-0.16585387778965882	-0.08715458676005601	-0.0604878848409344	-0.10666680767648647	-0.37593545632322667	-0.025365887191359585	-0.2328458362694034	-0.09691069721827124	0.26211416764404905	0.24520357618314267	0.40975663924503947	0.2523580571858338	0.39154523305637107	-0.25561009400523893	-0.2295937994499983	0.14048799059829925	-0.04617892283555207	-0.3330085703070797	-0.3427646807652949	-0.17365876615623102	-0.23154502154164136	0.12227658440963082	0.13203269486784605	-0.2855288327437656	-0.18536609870608928	-0.16780509988130188	0.08910580885169905	0.0390244418328609	0.15089450842039548
Depth.Min.O2	0.06832298136645963	-0.2761151891586674	-0.045736871823828344	-0.15753811405985318	0.2727272727272727	0.2761151891586674	-0.05251270468661773	0.10559006211180125	0.054771315640880856	-0.04121964991530209	-0.045736871823828344	0.383399209486166	0.2964426877470356	0.17108977978543197	0.026538678712591756	-0.3709768492377188	0.5245623941276115	0.4127611518915867	0.4748729531338227	0.1880293619424054	0.2490118577075099	0.05928853754940711	0.1259175607001694	0.22416713721061546	0.295313382269904	-0.07396950875211744	-0.13721061547148503	0.2546583850931677	0.30434782608695654	0.0942970073404856	0.1259175607001694	0.16996047430830039	0.23997741389045738	0.1101072840203275	0.189158667419537	0.2478825522303783	0.5302089215132694	0.22755505364201017	0.23433088650479955	0.3370976849237719	0.269339356295878	0.37775268210050816	0.1541501976284585	0.25804630152456237	0.12478825522303783	-0.031055900621118012	-0.23771880293619424	-0.1789949181253529	0.3156408808582722	0.37775268210050816	-0.20496894409937888	-0.35290796160361376	-0.0660643704121965	0.02766798418972332	0.07284020327498589	0.11688311688311688	-0.0660643704121965	0.06493506493506493	-0.011857707509881422	-0.08639186900056466	0.20496894409937888	0.15979672501411632	0.023150762281197064	0.05251270468661773	0.026538678712591756	-0.4138904573687182	-0.1767363071710898	-0.10107284020327499	-0.012987012987012988	0.10446075663466968	0.15189158667419536	0.23771880293619424	-0.37549407114624506	-0.029926595143986448	0.19254658385093168	-0.04799548277809147	0.04686617730095991	0.15640880858272163	0.16883116883116883	0.011857707509881422	0.014116318464144552	0.23997741389045738	-0.24449463579898362	-0.5505364201016375	-0.5042348955392434	0.07284020327498589	-0.20496894409937888	0.06041784302653868
NO2NO3	0.05263157894736842	0.2556390977443609	0.324812030075188	0.34887218045112783	0.21654135338345865	0.2586466165413534	0.33383458646616543	0.13533834586466165	0.3293233082706767	0.3699248120300752	0.35789473684210527	0.15789473684210525	0.19398496240601504	-0.0406015037593985	0.03007518796992481	-0.21804511278195488	0.3037593984962406	0.3142857142857143	0.05112781954887218	0.15037593984962405	0.16691729323308271	0.21503759398496242	0.4330827067669173	0.29172932330827067	0.12330827067669173	0.05112781954887218	0.2661654135338346	0.3669172932330827	0.25413533834586466	0.44661654135338347	0.3593984962406015	0.3157894736842105	0.18045112781954886	0.3293233082706767	0.15037593984962405	0.5203007518796993	0.5804511278195489	0.47368421052631576	0.2887218045112782	0.5037593984962406	0.2661654135338346	0.4075187969924812	0.17443609022556392	0.14887218045112782	-0.23157894736842105	-0.48270676691729325	-0.39398496240601505	-0.3067669172932331	-0.05112781954887218	-0.015037593984962405	0.061654135338345864	-0.3443609022556391	-0.3593984962406015	0.07067669172932331	0.07218045112781955	-0.012030075187969926	0.1037593984962406	-0.1368421052631579	-0.2661654135338346	-0.03458646616541353	-0.2962406015037594	-0.1293233082706767	-0.09323308270676692	0.18646616541353384	0.1293233082706767	-0.09022556390977443	0.3548872180451128	-0.05112781954887218	-0.20601503759398496	0.15789473684210525	0.4195488721804511	0.3924812030075188	-0.05263157894736842	0.24360902255639097	0.04661654135338346	0.061654135338345864	-0.021052631578947368	-0.15037593984962405	0.17443609022556392	0.48270676691729325	0.4270676691729323	-0.02706766917293233	-0.2887218045112782	-0.45413533834586467	-0.5729323308270676	-0.3804511278195489	-0.20601503759398496	-0.07969924812030076
NO3	0.14315545257398318	-0.09647432673464085	0.12552036059023164	-0.012448300223824624	0.15871582785376395	0.4439893746497449	0.23859242095663863	0.015560375279780781	0.4170180574981249	0.35270183967503105	0.4377652245378326	0.3807105151786364	0.38485994858657796	-0.05497999265522543	-0.12240828553427548	-0.14523016927795396	0.6286391613031436	0.4989693673049704	0.312244863947601	0.29460977196384946	0.41079390738621263	0.29460977196384946	0.3195063724114987	0.1275950772942024	0.06742829287905006	-0.23962977930862403	0.09439961003067007	0.39419617375444643	0.3112075055956156	0.31639429735554253	0.3205437307634841	0.5197165343446781	0.5674350185360058	0.18983657841332552	0.30913278889164486	0.5321648345685027	0.6410874615269682	0.339216181099221	0.18983657841332552	0.40145768221834416	0.29253505525987866	0.4045697572743003	0.20954638710104784	0.20435959534112091	0.04149433407941541	-0.21784525391693094	-0.1493796026858955	0.13589394411008549	0.4066444739782711	0.31017014724363023	-0.010373583519853853	-0.7686825388211705	-0.20228487863715014	0.007261508463897698	0.03838225902345926	-0.16805205302163242	0.06120414276713774	-0.15041696103788088	-0.2769746799800979	-0.41390598244216875	-0.12448300223824625	-0.12448300223824625	-0.0705403679350062	-0.03838225902345926	0.02697131715162002	-0.15767846950177858	0.12448300223824625	0.31846901405951333	0.2842361884439956	0.1421180942219978	0.2271814790847994	0.09336225167868469	-0.051867917599269266	0.17220148642957397	0.2914976969078933	0.29460977196384946	0.15041696103788088	-0.0352701839675031	0.3620380648428995	0.1483422443339101	0.4004203238663588	0.11514677707037778	-0.37863579847466566	-0.6369380281190267	-0.5228286094006342	-0.3412908978031918	-0.17220148642957397	-0.039419617375444645
Lyapunov	0.21428571428571427	0.19047619047619047	-0.5	-0.23809523809523808	-0.2857142857142857	-0.14285714285714285	0.0	-0.40476190476190477	-0.11904761904761904	-0.2857142857142857	-0.09523809523809523	-0.14285714285714285	-0.3333333333333333	-0.19047619047619047	0.14285714285714285	-0.023809523809523808	0.09523809523809523	-0.047619047619047616	-0.40476190476190477	-0.35714285714285715	-0.23809523809523808	-0.19047619047619047	0.09523809523809523	-0.40476190476190477	-0.47619047619047616	-0.5714285714285714	-0.19047619047619047	0.23809523809523808	-0.2619047619047619	-0.5238095238095238	-0.6190476190476191	-0.7857142857142857	-0.4523809523809524	-0.35714285714285715	-0.40476190476190477	-0.11904761904761904	0.09523809523809523	0.047619047619047616	-0.14285714285714285	0.0	-0.2619047619047619	-0.09523809523809523	0.047619047619047616	-0.30952380952380953	0.5476190476190477	-0.07142857142857142	-0.047619047619047616	-0.3333333333333333	-0.23809523809523808	0.047619047619047616	0.5	0.5952380952380952	-0.16666666666666666	-0.2619047619047619	0.07142857142857142	0.23809523809523808	-0.09523809523809523	0.16666666666666666	0.16666666666666666	0.07142857142857142	-0.30952380952380953	-0.2857142857142857	-0.30952380952380953	0.0	-0.21428571428571427	-0.7619047619047619	-0.47619047619047616	-0.5714285714285714	-0.40476190476190477	-0.14285714285714285	-0.14285714285714285	-0.023809523809523808	0.09523809523809523	0.16666666666666666	-0.16666666666666666	0.023809523809523808	-0.3333333333333333	-0.2857142857142857	-0.023809523809523808	0.07142857142857142	-0.16666666666666666	-0.2857142857142857	0.0	-0.5952380952380952	-0.40476190476190477	-0.47619047619047616	-0.6428571428571429	-0.7380952380952381
HCO3	-0.325	-0.37142857142857144	-0.21428571428571427	-0.18571428571428572	0.3357142857142857	0.24642857142857144	0.3464285714285714	-0.12142857142857143	-0.007142857142857143	-0.08928571428571429	-0.3	-0.20357142857142857	0.19285714285714287	-0.25357142857142856	-0.32142857142857145	-0.6928571428571428	0.3107142857142857	0.4035714285714286	0.2892857142857143	0.05357142857142857	0.25357142857142856	0.29285714285714287	0.03571428571428571	0.2785714285714286	-0.19285714285714287	-0.2642857142857143	-0.4107142857142857	-0.12857142857142856	0.04285714285714286	-0.10714285714285714	0.03571428571428571	0.12142857142857143	0.13214285714285715	-0.02857142857142857	0.15	-0.18571428571428572	-0.03571428571428571	-0.325	-0.37857142857142856	-0.23214285714285715	-0.1392857142857143	-0.2	-0.1	-0.4642857142857143	0.29285714285714287	0.6321428571428571	-0.2892857142857143	0.11785714285714285	0.475	0.2785714285714286	0.1392857142857143	-0.13214285714285715	-0.03214285714285714	0.025	-0.10357142857142858	0.15	-0.10714285714285714	0.19285714285714287	0.22142857142857142	0.29285714285714287	-0.21785714285714286	0.075	0.32857142857142857	-0.32142857142857145	-0.125	0.15714285714285714	0.1	0.20714285714285716	0.29642857142857143	-0.11428571428571428	0.18928571428571428	0.175	-0.25357142857142856	-0.14642857142857144	0.14642857142857144	0.22142857142857142	-0.2	0.2785714285714286	0.40714285714285714	0.3107142857142857	0.2857142857142857	0.31785714285714284	0.06428571428571428	-0.24642857142857144	0.4142857142857143	0.24285714285714285	0.3392857142857143	0.375
Gradient.Surface.temp(SST)	-0.4588235294117647	-0.36470588235294116	-0.7617647058823529	-0.6294117647058823	-0.49411764705882355	-0.3941176470588235	-0.45	-0.6294117647058823	-0.6647058823529411	-0.5970588235294118	-0.2647058823529412	-0.23529411764705882	-0.47941176470588237	-0.22941176470588234	-0.13529411764705881	-0.1	0.06470588235294118	0.3911764705882353	0.020588235294117647	-0.023529411764705882	-0.15	0.026470588235294117	0.11764705882352941	0.01764705882352941	-0.014705882352941176	-0.21470588235294116	-0.2911764705882353	-0.2323529411764706	-0.4117647058823529	-0.35	-0.1588235294117647	-0.38529411764705884	-0.3058823529411765	-0.4588235294117647	-0.16470588235294117	-0.4117647058823529	-0.2411764705882353	-0.4264705882352941	-0.35294117647058826	-0.36470588235294116	-0.37941176470588234	-0.21764705882352942	-0.6411764705882353	-0.5294117647058824	0.34705882352941175	0.16176470588235295	-0.03529411764705882	-0.39705882352941174	-0.36764705882352944	-0.15	0.25882352941176473	0.36470588235294116	0.5970588235294118	0.2735294117647059	0.15294117647058825	0.19411764705882353	0.23823529411764705	0.05	0.22647058823529412	0.18529411764705883	0.05	-0.13529411764705881	0.08529411764705883	-0.03235294117647059	0.047058823529411764	-0.0058823529411764705	0.05	0.25588235294117645	0.2235294117647059	0.09411764705882353	0.21470588235294116	0.011764705882352941	0.3088235294117647	0.21764705882352942	0.008823529411764706	0.4588235294117647	-0.3264705882352941	-0.4117647058823529	-0.041176470588235294	-0.17058823529411765	-0.07352941176470588	0.09117647058823529	-0.23529411764705882	0.023529411764705882	0.08823529411764706	0.09705882352941177	0.020588235294117647	0.023529411764705882
Fluorescence	-0.13946922642574816	-0.12140033879164314	-0.37549407114624506	-0.12027103331451157	-0.11462450592885376	-0.5539243365330322	-0.2478825522303783	-0.33258046301524563	-0.44776962168266515	-0.3370976849237719	-0.25691699604743085	-0.47374364765669114	-0.5200451722190853	-0.11236589497459062	0.017504234895539244	-0.23207227555053642	-0.06945228684359118	-0.020892151326933936	-0.15189158667419536	-0.29079616036137773	-0.16431394692264256	-0.24675324675324675	-0.21287408243929984	0.07961603613777526	-0.045736871823828344	0.03557312252964427	0.06493506493506493	-0.03896103896103896	0.10333145115753811	-0.19932241671372106	-0.16883116883116883	-0.36307171089779783	-0.44664031620553357	-0.19028797289666854	-0.0942970073404856	-0.27498588368153587	-0.29757199322416716	-0.1101072840203275	-0.295313382269904	-0.25014116318464147	-0.05815923207227555	-0.12365894974590627	-0.3642010163749294	-0.30547713156408807	0.13269339356295878	0.06945228684359118	-0.2230378317334839	-0.19028797289666854	-0.35177865612648224	0.13156408808582723	0.25578769057029926	0.4308300395256917	0.4184076792772445	0.4522868435911914	0.15640880858272163	0.28740824392998304	0.12365894974590627	0.38226990400903443	0.27498588368153587	0.4082439299830604	0.21964991530208922	0.3416149068322981	0.2885375494071146	0.2140033879164314	-0.006211180124223602	0.32580463015245625	0.08300395256916997	-0.13382269904009034	0.1259175607001694	0.003952569169960474	-0.017504234895539244	-0.07848673066064371	-0.05251270468661773	0.042348955392433656	-0.06154714850367024	-0.2388481084133258	-0.35629587803500845	0.033314511575381144	-0.3167701863354037	-0.06154714850367024	-0.02766798418972332	0.15527950310559005	0.09542631281761717	0.25804630152456237	-0.08865047995482778	0.18690005646527386	-0.1293054771315641	-0.0220214568040655
Longitude	-0.006211180124223602	0.21964991530208922	0.35403726708074534	0.4556747600225861	0.09203839638622248	-0.4342179559570864	-0.010728402032749858	-0.010728402032749858	-0.025409373235460192	0.08413325804630152	-0.16092603049124787	-0.055900621118012424	-0.05138339920948617	-0.10897797854319594	-0.3879164313946923	-0.09994353472614342	-0.14285714285714285	-0.1756070016939582	-0.6792772444946358	-0.1259175607001694	-0.2987012987012987	-0.17786561264822134	-0.10446075663466968	-0.3370976849237719	-0.2670807453416149	-0.33145115753811405	-0.14963297571993225	-0.295313382269904	-0.17108977978543197	0.189158667419537	-0.2422360248447205	-0.20496894409937888	-0.5731225296442688	-0.17786561264822134	-0.30773574251835123	-0.07284020327498589	-0.25352907961603616	-0.19367588932806323	-0.3167701863354037	-0.21739130434782608	-0.33483907396950874	-0.30321852060982496	-0.3370976849237719	-0.07848673066064371	0.17334839073969507	0.03896103896103896	0.20045172219085264	-0.044607566346696784	0.25917560700169395	0.08977978543195934	0.020892151326933936	-0.10897797854319594	-0.14737436476566912	-0.03896103896103896	-0.3427442123094297	-0.09090909090909091	0.05815923207227555	0.024280067758328628	0.10784867306606437	0.3404856013551666	-0.014116318464144552	-0.07509881422924901	0.1225296442687747	0.05138339920948617	0.10784867306606437	0.39695087521174477	0.40146809712027104	-0.014116318464144552	-0.07284020327498589	0.0942970073404856	0.13721061547148503	0.23094297007340486	0.01637492941840768	0.24336533032185206	-0.2795031055900621	-0.19028797289666854	0.2682100508187465	0.06154714850367024	0.057029926595143984	0.2987012987012987	0.28514963297571994	0.1383399209486166	0.6171654432523997	0.17334839073969507	0.15979672501411632	0.023150762281197064	0.13495200451722192	0.1067193675889328
Oxygen	-0.03896103896103896	-0.28514963297571994	-0.2761151891586674	-0.1541501976284585	-0.0502540937323546	0.18351214003387917	0.1259175607001694	-0.08074534161490683	0.12704686617730096	-0.29757199322416716	-0.18012422360248448	-0.35177865612648224	-0.20496894409937888	-0.5934500282326369	-0.3190287972896669	-0.22981366459627328	-0.023150762281197064	0.1259175607001694	-0.339356295878035	-0.18690005646527386	-0.35064935064935066	-0.12478825522303783	-0.22190852625635235	-0.06945228684359118	-0.38226990400903443	-0.5324675324675324	-0.3800112930547713	-0.391304347826087	-0.47374364765669114	-0.6499153020892151	-0.5957086391869001	-0.4872953133822699	-0.5697346132128741	-0.577639751552795	-0.5211744776962168	-0.629587803500847	-0.49181253529079616	-0.4839073969508752	-0.5968379446640316	-0.6973461321287409	-0.6713721061547149	-0.7131564088085828	-0.525691699604743	-0.7142857142857143	0.6589497459062676	0.7289666854884246	0.1293054771315641	-0.09203839638622248	0.3167701863354037	0.23771880293619424	-0.15189158667419536	-0.032185206098249576	0.39469226425748166	0.17786561264822134	0.23997741389045738	0.30095990965556185	0.34726143421795597	0.5765104460756635	0.5482778091473743	0.35968379446640314	0.17221908526256352	0.24675324675324675	0.30660643704121965	0.39808018068887635	0.3167701863354037	0.22981366459627328	0.14850367024280067	0.04686617730095991	-0.1789949181253529	0.09203839638622248	-0.018633540372670808	-0.1225296442687747	0.06041784302653868	0.1756070016939582	0.4184076792772445	0.2490118577075099	0.4342179559570864	0.30773574251835123	0.6442687747035574	0.36645962732919257	0.3958215697346132	0.39469226425748166	-0.009599096555618294	-0.04009034443817053	0.38114059853190285	0.21964991530208922	0.15979672501411632	0.365330321852061
Latitude	-0.1293054771315641	-0.30660643704121965	-0.24449463579898362	-0.1417278373800113	-0.13382269904009034	-0.10333145115753811	-0.026538678712591756	-0.033314511575381144	-0.08865047995482778	-0.35403726708074534	-0.2930547713156409	-0.24675324675324675	-0.2388481084133258	-0.2964426877470356	-0.14624505928853754	-0.10333145115753811	-0.1417278373800113	-0.2015810276679842	-0.47148503670242803	-0.28176171654432525	-0.3269339356295878	-0.189158667419537	-0.4624505928853755	-0.3642010163749294	-0.43873517786561267	-0.46357989836250707	-0.5053642010163749	-0.655561829474873	-0.5042348955392434	-0.655561829474873	-0.6431394692264257	-0.4522868435911914	-0.6047430830039525	-0.5211744776962168	-0.5335968379446641	-0.6239412761151891	-0.5911914172783738	-0.5911914172783738	-0.6137775268210051	-0.7199322416713722	-0.6600790513833992	-0.7549407114624506	-0.4556747600225861	-0.5019762845849802	0.6702428006775832	0.6770186335403726	0.39695087521174477	0.25917560700169395	0.3235460191981931	0.22416713721061546	-0.07961603613777526	0.044607566346696784	0.2648221343873518	-0.07284020327498589	-0.09655561829474874	-0.045736871823828344	0.13946922642574816	0.32806324110671936	0.30434782608695654	0.15866741953698477	0.00846979107848673	0.17334839073969507	0.20383963862224733	0.11349520045172219	0.020892151326933936	0.05138339920948617	-0.11349520045172219	-0.09090909090909091	-0.06154714850367024	0.023150762281197064	-0.23433088650479955	-0.22755505364201017	0.06154714850367024	-0.026538678712591756	0.06493506493506493	0.023150762281197064	0.33145115753811405	0.20609824957651043	0.269339356295878	0.005081874647092038	0.08752117447769622	0.17334839073969507	0.38226990400903443	0.19593450028232637	0.5505364201016375	0.2365894974590627	0.21626199887069453	0.2930547713156409
Iron.5m	0.06267645398080181	-0.13156408808582723	-0.12140033879164314	0.053642010163749296	0.009599096555618294	-0.2862789384528515	0.1101072840203275	-0.08526256352343309	-0.04121964991530209	-0.2941840767927724	-0.40711462450592883	-0.44551101072840205	-0.39808018068887635	-0.3111236589497459	-0.2490118577075099	-0.13269339356295878	-0.19028797289666854	-0.2862789384528515	-0.6182947487295314	-0.36307171089779783	-0.4748729531338227	-0.3178994918125353	-0.28740824392998304	-0.33145115753811405	-0.4376058723884811	-0.5064935064935064	-0.32806324110671936	-0.3178994918125353	-0.39469226425748166	-0.41727837380011296	-0.6510446075663467	-0.6487859966120836	-0.6465273856578204	-0.551665725578769	-0.5403726708074534	-0.5731225296442688	-0.6679841897233202	-0.4839073969508752	-0.5945793337097685	-0.6770186335403726	-0.629587803500847	-0.6950875211744777	-0.49858836815358554	-0.435347261434218	0.44664031620553357	0.4376058723884811	0.09316770186335403	0.015245623941276116	0.19028797289666854	0.22077922077922077	0.12365894974590627	0.1880293619424054	0.2230378317334839	0.045736871823828344	-0.21513269339356295	0.032185206098249576	0.12027103331451157	0.3924336533032185	0.47374364765669114	0.4805194805194805	0.13495200451722192	0.18012422360248448	0.4308300395256917	0.2140033879164314	0.24675324675324675	0.3461321287408244	0.06267645398080181	-0.06719367588932806	-0.012987012987012988	0.02766798418972332	0.09316770186335403	-0.07284020327498589	0.21287408243929984	0.20835686053077357	0.055900621118012424	0.09316770186335403	0.30886504799548276	0.37775268210050816	0.21626199887069453	0.27498588368153587	0.06267645398080181	0.14850367024280067	0.4771315640880858	0.2727272727272727	0.35742518351214003	0.1383399209486166	0.15866741953698477	0.2015810276679842
