	NtrC	LiuR	PhrR	NagQ	TyrR	MetJ	GguR	AmtR	DasR	SdaR	HcpR	HisR	QorR	NorR	VanR	CsoR	NifA	HypR	LiuQ	GlcC	PdxR	SahR_SamR	PdhR	PsrA	IscR	KdgR	NagC	SiaR	Phr	AraR	NsrR	Zur	FnrN_FixK	PhnR	CcpA	PaaR	HutC	CadR-PbrR	NrtR	ArgR	CzrA	XylR	NiaR	PrpR	CueR	FruR	TrpR	PurR	LexA	NadQ	LldR	MerR	SoxR	NrdR	Rex	ZntR	GntR	LtbR	NagR	RbkR	RutR	FabR	NikR	BirA	HrcA	ModE	MntR	RbsR	PhsR	HexR	ThiR	FixJ	NmlR	AgaR	GulR	FUR	MetR	TtrR	CblR	FadP	Irr	NnrR	AcnR	FadR	BioQ	ExuR_UxuR	NarP	PhnF
Depth.Min.O2	-0.20827424279658774	-0.23436930356721078	-0.13606710258967736	-0.05713359578661259	-0.04262733529611095	-0.28696462791545413	0.01337169263090933	-0.09198103718837629	-0.09457433515315872	0.16127071718490646	0.26321974342541515	0.22375299002388277	0.22756189640965696	0.06377892182136753	0.01839620743767526	0.0932776861707675	0.18169293865756797	-0.11183597473124167	0.11515863774861913	0.09238623999537354	-0.1011386206265142	-0.09846428210033234	-0.09805907929333509	-0.27748288223171846	-0.16580898862327567	-0.18128773585057073	-0.07463835704889389	-0.09335872673216696	-0.1188054630115944	-0.09465537571455816	-0.05486446006742798	0.0019449734735868115	0.07804206062767081	0.05032618862905875	0.07617812771548345	0.12771992476553395	0.17115766567563942	0.18931075142911633	-0.004619311999768678	0.21394708209454927	-0.020746383718259324	0.18712265627133115	0.17764091058759546	-0.034280157471967554	-0.022772397753245584	0.11588800280121418	0.0064832449119560384	-0.3513108336666178	-0.1327444395722999	-0.24506665767193825	0.005672839297961534	0.03687345543674997	0.044977511576695016	-0.17504761262281304	0.09084646932878399	0.08801004967980322	-0.06637221978614995	-0.14327971255422844	-0.10081445838091639	-0.13120466890571034	-0.18728473739413007	-0.009481745683735707	0.04335670034870601	-0.03711657712094832	0.06588597641775323	0.04570687662929007	-0.10494752701228838	-0.09044126652178673	0.08160784532924663	0.002836419648980767	0.023420722244441187	0.3197050147208321	-0.1806394113593751	0.19895457823565094	0.16783500265826196	0.0847684272238252	0.2936099539502091	0.23898861556697948	0.3243243267206008	-0.0027553790875813164	0.11475343494162188	0.26273350005701845	0.2040601336038163	0.14214514469463616	0.13331172350209605	0.13817415718606307	-0.07893350680306477	0.28777503352944866
Temperature	-0.3809253707155012	-0.5651892067093428	-0.6411960132890365	0.01158739162142452	-0.33441374280852443	-0.03427599060043757	-0.31091483672311804	-0.2566242605947654	-0.33360343570213113	-0.37022931691110933	-0.20363017583664209	-0.22016044080706587	-0.012883882991653836	0.5026334980957783	0.25743456770115875	-0.09051130378413419	0.26229641033951867	-0.10153148043108338	-0.2961672473867596	0.11660319260999918	-0.06263673932420387	0.048699457094238716	0.11822380682278584	0.11627906976744186	-0.1610080220403533	-0.05420954541771331	0.079004942873349	0.13896766874645491	-0.10023498906085407	0.019366339842800423	-0.022445506847095047	0.033951867757880234	-0.13426788752937363	0.010452961672473868	0.2187018880155579	0.06652621343489182	0.15468762661048538	0.06863301191151447	0.11984442103557248	0.1642492504659266	0.11303784134186856	0.051130378413418685	0.03751721902601086	0.07317073170731707	-0.2929260189611863	-0.17462118142776112	-0.17526942711287577	-0.266510007292764	-0.019528401264079086	-0.20735758852605138	-0.1820760068065797	-0.23085649461145774	-0.3519163763066202	-0.1619803905680253	-0.18628960375982498	-0.008832347459687221	-0.22842557329227778	-0.22502228344542582	-0.3697431326472733	-0.2182157037517219	-0.2447937768414229	-0.25062798800745484	-0.17137995300218783	-0.16943521594684385	-0.22453609918158982	-0.290170974799449	-0.36893282554087997	-0.27039948140345194	-0.13767117737622558	-0.13605056316343894	0.037355157604732195	0.0918077951543635	0.13475407179320964	0.3830321691921238	0.14107446722307754	0.3277692245360992	0.3180455392593793	0.2305323717689004	0.04173081597925614	0.20022688598979013	0.059881695162466574	0.18920670934284092	0.30589093266347944	0.06344704643059719	-0.024552305323717688	0.10412446317154202	-0.10704156875455798	-0.013208005834211166
Ammonium.5m	-0.3726272433058727	-0.5948406157018634	-0.5622266048573259	-0.4204124482497349	-0.3441508308520601	-0.2997730598770302	-0.19852359337458536	-0.20176876858299705	-0.2341393912869037	-0.3376604804352367	-0.22854146405239353	-0.03877984374051974	-0.06904110255895879	0.18943710279103262	0.062063975860873644	-0.10522480613274916	-0.24630879831844754	-0.10814546382031968	-0.134593641768875	-0.07739742872061889	-0.09987026703886988	-0.1315107253208839	-0.10238527782538893	-0.17491494373339028	-0.09062151769489654	-0.16801894641551543	-0.03261401084453752	0.0636054340848692	-0.14376126173263803	-0.05103038015227388	-0.14895354206609673	-0.008031808640818941	-0.10116833712223455	-0.2171022214427423	0.10960579266410496	-0.12242423473733115	-0.05606040172531201	0.020850250714045133	0.15917584397259357	0.28549428896001877	-0.019957827531731916	0.08640278992396135	0.0741522535122072	0.10684739373695501	-0.09451572794499058	-0.15820229141007006	-0.25133881989148565	-0.23551859075047868	-0.06725625619433236	-0.06628270363180884	0.07796533438209094	-0.009086490583552742	-0.023284132120353903	0.0008924231823132158	0.07983131012692767	-0.22708113520860826	-0.08056147454882029	-0.15601179814439217	-0.24014296542246533	-0.14692530756083944	-0.17678091947822702	-0.08534810798122754	-0.2516633374123268	-0.16136633723827146	-0.2151551163176953	-0.25150107865190624	-0.2795718442046674	-0.23349035624522135	-0.23462616756816546	-0.31762152352329454	-0.18254110547315777	-0.009816655005445374	0.12777877383121045	0.43193282023959645	0.22910936971386558	0.1315918547010942	0.20290457990594116	0.3156744183982475	0.3444753483729013	0.3482072998625747	0.2456597632767652	0.06855432627769703	0.3576994373471789	0.28338492507455115	0.31202359628878434	0.23430165004732428	-0.1356483237116088	0.0529774852773209
Brunt.Väisälä	-0.37138759958509077	-0.2780176185626419	-0.28281252888592356	-0.22396590219110285	-0.2798484025042585	-0.23015569551752102	-0.24471478686275816	-0.23704293034550744	-0.34479764233780136	-0.17967836684151925	-0.08683146694524657	0.12623691178385243	0.11638555057420097	0.3715619599604828	0.0318207685090512	0.15579099541280686	0.0009589820646563376	-0.11690863170037716	-0.1013905582904837	-0.02519507424415287	-0.029641263816650436	-0.2323352002099218	-0.17026290657034793	-0.1735757537027971	-0.041933670281790764	-0.17305267257662094	0.0007846216892642762	-0.06407743795658256	-0.023277110114840193	0.01891810073003866	-0.07759036704946731	-0.09729308946877026	-0.1414934446306578	-0.22300692012644652	0.0417593099063987	-0.07645702460941892	0.1300728400424778	0.23189929927144165	0.16459619437010595	0.36964399583117014	0.012902667779012542	-0.030861786444394863	0.09136483670544017	0.01900528091773469	-0.11490348738336845	0.02632841668420127	0.0010461622523523684	-0.04716448154355261	-0.034261813764540065	0.0550978786238914	0.1348677503657595	0.15204224734187752	0.11891377601738587	0.08665710656985451	0.13111900229483017	-0.05335427486997078	0.16145770761304884	-0.18857074598651438	-0.2583148961433389	-0.03487207507841228	-0.1210061005220906	-0.08587248488059022	-0.3220436133491374	-0.05187221167913826	-0.21202221647674666	0.0329541109490996	-0.01264112721592445	-0.17313985276431695	-0.12998565985478175	-0.12562665046998023	0.028420741188906005	0.0641646181442786	-0.17209369051196458	0.33869502919907923	0.2583148961433389	0.08177501605887678	0.24846353493368747	0.2291967134528647	0.3996339803986047	0.1298112994793897	0.12335996558988342	0.3308488123064365	0.30870504463164467	0.2994639447358654	0.25535076976167387	0.026764317622681423	-0.10932395537082248	0.0616363927010937
NO3	-0.6099774196972829	-0.25945801331799906	-0.19283589118860317	-0.5811859498323179	-0.2889190522495912	-0.3264149199807085	-0.24037529491912688	-0.1432877802581982	-0.18346192425582386	0.2728493946505409	0.4027457935761973	0.44459386024039066	0.24506227838551653	-0.17944450985606128	-0.12186157012613118	-0.0013391381332541886	-0.13391381332541888	-0.2648145658510158	-0.06394384586288751	-0.382993506110698	-0.4097762687757817	-0.3454976383795807	-0.32608013544739495	-0.44894605917346675	-0.09775708372755577	-0.09608316106098803	-0.11951807839293634	0.03448280693129536	-0.03883500586437147	0.08670919412820871	-0.045865481063955965	0.29126254398278606	0.1235354927926989	0.00234349173319483	0.3803152298441896	0.09106139306128483	-0.11114846506009766	-0.060261215996438494	0.1760966645229258	0.17944450985606128	-0.06427863039620106	0.09909622186080996	0.09440923839442031	-0.005691337066330302	0.07700044266211585	-0.12085721652619053	-0.17074011198990907	-0.19216632212197607	-0.3521933290458516	-0.23367960425285592	0.03883500586437147	0.11181803412672475	0.22698391358658498	0.2149316703872973	0.2939408202492944	-0.04151328213087985	-0.017074011198990907	0.003347845333135472	-0.03783065226443083	-0.02711754719839732	-0.07700044266211585	0.07465695092892102	-0.07298302826235328	-0.03213931519810053	-0.0013391381332541886	0.012052243199287698	0.04954811093040498	0.1426182111915711	-0.05055246453034562	-0.09206574666122547	-0.14027471945837627	-0.04653505013058306	-0.16136614505712973	0.528624778102091	0.4693679157055931	0.2299969743864069	0.3558759589123006	0.45965916423950026	0.7512564927555998	0.47572882183855053	0.30398435624870085	0.2320056815862882	0.2845668533165151	0.6678951439605266	0.45162433543997516	0.33043233438047104	0.23267525065291528	0.5912294858317243
Nitracline	-0.29196958403935375	-0.3701846758140633	-0.5212668189002544	-0.20556530530532635	-0.41413888337121846	0.020222278001580885	-0.009359070810649005	-0.03459513674650614	-0.31637001865283154	-0.046795354053245024	0.3145316297435969	0.07905072309708891	0.23715216929126673	0.37653547386414654	0.21776552261206522	-0.22628896210033486	0.232806886414894	-0.3126932408343623	-0.26456087666531025	-0.21007771444617498	-0.28144062937737363	-0.1602740876323642	0.0529790258388524	0.0035096515539933767	-0.263558119078455	0.0008356313223793755	0.055485919805990526	0.14506559756505957	-0.17531545143519295	-0.23029999244775587	-0.1756497039641447	0.1738113150549101	0.16177822401264708	-0.037937662036023646	0.1878499212708836	0.04545834393743802	0.06935739975748816	-0.18935405765116647	0.029079970018802265	0.0992730010986698	-0.0469624803177209	-0.016545500183111635	0.001671262644758751	-0.10579092541322893	-0.3634996252350283	-0.5643853951350302	-0.2406618208452601	-0.2165956387607341	-0.2246176994555761	-0.2065680628921816	-0.3061753165198032	-0.11565137501730556	-0.005013787934276252	-0.03058410639908514	0.1373777893991693	0.0476309853756244	0.05615442486389403	-0.05063925813619015	-0.35581181706913806	-0.1704687897653926	-0.1393833045728798	-0.22645608836481074	0.03526364180440964	-0.2754240838562421	-0.20088576990000184	-0.24500710372163287	-0.2294643611253765	-0.15108214308619108	-0.06517924314559129	-0.12183504680291293	-0.0696916522864399	0.1831703858655591	0.3048383064039962	0.3972591306591551	0.3788752415668088	0.17999498684051746	0.3942508578985893	0.5015459196921012	0.24233308349001886	0.3875658073195543	0.17397844131938597	0.25252778562304723	-0.048967995491431396	0.13269825399384483	-0.07437118769176441	0.44154759074526195	0.01604412138968401	-0.021893540646339634
Salinity	-0.6001944737055344	-0.3712016854387813	-0.48723766307430516	-0.39259379304756503	-0.35953326310671746	0.10768981443967264	-0.35580585041730817	-0.04821327283040272	-0.15987359209140264	-0.011425330200145856	0.1700834616319585	0.11887205250790049	0.21724333522404993	0.19957864030467548	-0.10898630580990196	-0.033465683494044246	0.15857710072117331	-0.3353861113361964	-0.4143100234989061	-0.33619641844258974	-0.42419577019690463	-0.38692164330281176	-0.10931042865245928	-0.22129487075601653	-0.24609026821165222	-0.11076898144396727	-0.13378170326553765	-0.06312292358803986	-0.23863544283283364	-0.11271371849931124	-0.2551657078032574	0.10120735758852605	0.04092050887286282	-0.0652297220646625	0.33554817275747506	0.2347459687221457	-0.09569726926505145	-0.2217810550198525	-0.15565999513815737	0.03233125354509359	-0.033951867757880234	0.010777084515031198	-0.05712665100072928	0.0025119520298193016	-0.3789806336601572	-0.2533830321691921	-0.34802690219593224	-0.23912162709666965	-0.3976176971072036	-0.33668260270642575	-0.3647192285876347	-0.27023741998217327	-0.08840450530751155	-0.06863301191151447	-0.011101207357588527	0.021311076898144397	-0.27655781541204116	-0.18418280528320233	-0.23166680171785106	-0.18969289360667693	-0.26732031439915727	-0.14885341544445344	-0.07479134592010372	-0.1128757799205899	-0.13086459768252168	-0.2438214083137509	-0.13702293169111093	-0.09910055911190341	-0.0036463819787699537	-0.1870999108662183	-0.1678146017340572	-0.03297949923020825	-0.04254112308564946	0.41123085649461144	0.29162952759095695	0.22016044080706587	0.3387894011830484	0.40977230370310347	0.395997082894417	0.5220808686492181	0.1971477189854955	0.24446965399886558	0.2199983793857872	0.3358722956000324	0.08111174134997164	0.30880803824649544	-0.06458147637954785	0.07819463576695568
Density	-0.49226156713394376	-0.10217972611619804	-0.23588039867109634	-0.40669313669880885	-0.291143343327121	0.07333279312859574	-0.2575966291224374	0.011263268778867191	-0.1033141560651487	0.0927801636820355	0.27104772708856656	0.2880641763228263	0.2528968479053561	0.11903411392917916	-0.19844421035572482	0.09488696215865813	0.005915241876671258	-0.4567701158739162	-0.32063852199983794	-0.47167976663155337	-0.396483267158253	-0.5251600356535127	-0.1725143829511385	-0.3117251438295114	-0.09650757637144478	-0.05129243983469735	-0.18045539259379303	-0.13426788752937363	-0.159225346406288	-0.015314804310833806	-0.2503038651648975	0.1796450854873997	0.019690462685357752	-0.03605866623450288	0.27023741998217327	0.22972206466250708	-0.29130540474839967	-0.17364881290008913	-0.11303784134186856	0.09407665505226481	-0.028603840855684303	0.07754639008184101	0.09537314642249413	0.07414310023498906	-0.20508872862815006	-0.12729924641439105	-0.22016044080706587	-0.0318450692812576	-0.3436512438214083	-0.16927315452556518	-0.2016854387812981	-0.09391459363098614	0.20589903573454338	0.13216108905275098	0.11822380682278584	0.010128838829916538	-0.17332469005753182	-0.05226480836236934	-0.032493314966372255	-0.09440077789482214	-0.1545255651892067	-0.08257029414147962	-0.08921481241390487	-0.11449639413337655	-0.1251924479377684	-0.07511546876266105	0.07106393323069443	0.14058828295924156	0.04286524592820679	-0.07090187180941576	-0.18094157685762904	-0.14026416011668422	-0.04075844745158415	0.3387894011830484	0.1880722793938903	0.11984442103557248	0.27720606109715584	0.3183696621019366	0.522567052913054	0.5198120087513167	0.28709180779515436	0.28838829916538367	0.15841503929989467	0.39064905599222105	0.07868082003079167	0.24317316262863625	-0.04902357993679605	0.14366744996353617
NO2NO3	-0.29879032258064514	-0.28266129032258064	-0.1	-0.4112903225806452	-0.26733870967741935	-0.1939516129032258	-0.1870967741935484	-0.38266129032258067	-0.018548387096774192	0.2915322580645161	0.13629032258064516	0.07258064516129033	-0.052016129032258066	-0.2717741935483871	-0.16733870967741934	-0.06370967741935483	-0.05725806451612903	0.02258064516129032	0.10967741935483871	-0.23024193548387098	-0.08911290322580645	-0.10362903225806451	-0.03185483870967742	-0.15241935483870966	-0.05604838709677419	-0.028225806451612902	0.027016129032258064	0.0967741935483871	-0.03508064516129032	0.18467741935483872	0.11733870967741936	0.2782258064516129	0.2899193548387097	0.18346774193548387	0.3092741935483871	0.14677419354838708	0.23709677419354838	0.0939516129032258	0.19879032258064516	0.08588709677419355	0.10201612903225807	0.21895161290322582	-0.034274193548387094	-0.10846774193548388	0.22903225806451613	-0.017338709677419354	-0.33225806451612905	-0.13185483870967743	-0.20040322580645162	-0.21895161290322582	-0.12620967741935485	-0.04596774193548387	0.13548387096774195	0.07338709677419354	0.375	-0.1157258064516129	0.016129032258064516	0.1495967741935484	0.01653225806451613	0.036290322580645164	0.1592741935483871	0.18024193548387096	0.1842741935483871	0.1717741935483871	0.10120967741935484	0.15443548387096775	-0.04395161290322581	-0.06411290322580646	0.03064516129032258	-0.3088709677419355	-0.020161290322580645	0.004435483870967742	0.2713709677419355	0.3024193548387097	0.4846774193548387	0.40080645161290324	0.23911290322580644	0.34233870967741936	0.4346774193548387	0.3185483870967742	0.1778225806451613	0.3665322580645161	0.4403225806451613	0.5258064516129032	0.5798387096774194	0.30685483870967745	0.37540322580645163	0.5048387096774194
PO4	-0.24627363737486097	-0.17508342602892102	-0.09232480533926585	-0.28587319243604004	-0.13459399332591768	-0.3503893214682981	-0.13058954393770855	-0.3753058954393771	-0.071412680756396	0.16129032258064516	0.07452725250278086	-0.08164627363737487	-0.06918798665183537	-0.339265850945495	0.0135706340378198	-0.010011123470522803	-0.21957730812013349	0.23604004449388208	0.2765294771968854	0.03092324805339266	0.022024471635150165	0.22491657397107898	-0.10923248053392659	-0.08743047830923248	0.14794215795328142	-0.03314794215795328	0.01935483870967742	0.18264738598442715	0.07808676307007786	0.13948832035595105	0.2978865406006674	0.19866518353726362	0.20222469410456062	0.24048943270300333	0.011790878754171301	-0.019799777530589546	0.2925472747497219	0.23292547274749723	0.35127919911012234	0.04961067853170189	0.12302558398220245	0.067853170189099	0.0011123470522803114	0.021134593993325918	0.40734149054505003	0.13147942157953282	-0.20489432703003338	-0.07586206896551724	-0.17063403781979977	-0.2743047830923248	-0.012235817575083427	-0.012235817575083427	-0.029588431590656286	-0.011790878754171301	0.18843159065628476	-0.01268075639599555	0.07719688542825362	0.20266963292547274	0.10522803114571747	0.05717463848720801	0.10122358175750834	0.07007786429365963	0.09232480533926585	0.27030033370411566	0.16885428253615128	0.15194660734149054	-0.11590656284760846	-0.013125695216907676	-0.1817575083426029	-0.08520578420467186	-0.012235817575083427	-0.019799777530589546	0.21201334816462736	0.22758620689655173	0.3975528364849833	0.42202447163515017	0.07808676307007786	0.06206896551724138	0.08120133481646273	-0.10923248053392659	-0.0442714126807564	-0.021579532814238044	0.5274749721913237	0.5394883203559511	0.6769744160177975	0.28809788654060065	0.5145717463848721	0.47363737486095664
Si	-0.07540322580645162	0.03064516129032258	-0.06733870967741935	-0.1310483870967742	-0.05967741935483871	-0.18266129032258063	-0.2306451612903226	-0.42379032258064514	-0.06129032258064516	0.18830645161290321	0.16491935483870968	-0.12620967741935485	-0.18024193548387096	-0.2709677419354839	0.16491935483870968	-0.03467741935483871	-0.1786290322580645	-0.016129032258064516	0.2560483870967742	0.03588709677419355	0.01975806451612903	0.2213709677419355	0.07016129032258064	0.07056451612903226	0.1967741935483871	0.21088709677419354	0.08991935483870968	0.26411290322580644	0.08306451612903226	0.19032258064516128	0.40080645161290324	0.3471774193548387	0.3258064516129032	0.4661290322580645	0.1032258064516129	-0.020967741935483872	0.05967741935483871	0.2725806451612903	0.4205645161290323	0.004032258064516129	0.08669354838709678	0.15685483870967742	0.020967741935483872	-0.06088709677419355	0.527016129032258	0.06895161290322581	-0.018951612903225806	0.06935483870967742	0.0036290322580645163	-0.12379032258064517	0.06532258064516129	-0.027822580645161292	-0.06733870967741935	0.10483870967741936	0.1939516129032258	0.02338709677419355	0.24475806451612903	0.43185483870967745	0.1681451612903226	0.05846774193548387	0.31411290322580643	-0.0020161290322580645	0.1407258064516129	0.23790322580645162	0.14153225806451614	0.13306451612903225	-0.08588709677419355	0.10040322580645161	-0.01532258064516129	0.12096774193548387	0.1693548387096774	-0.18306451612903227	0.29838709677419356	0.22862903225806452	0.2564516129032258	0.37661290322580643	0.0375	-0.05443548387096774	-0.07258064516129033	-0.11008064516129032	-0.12137096774193548	0.008064516129032258	0.5459677419354839	0.5536290322580645	0.4504032258064516	0.2403225806451613	0.5435483870967742	0.4173387096774194
Residence.time	-0.15815862841338102	0.28633144031537344	0.07718746458452089	0.05656630370287192	0.08049820142331773	0.1420779066249392	-0.2850071455798547	-0.114929864546805	-0.012107837581885628	0.22295447797269083	0.16383417727988991	0.1331862134007419	0.038026177405609554	0.023931897720445815	0.1036733592948957	0.020148198476106553	-0.14037524196498652	-0.34299233649935384	-0.05164749468523089	-0.14690212316147172	-0.06697147662480489	-0.08418730818654852	-0.16478010209097474	-0.06375533226711651	0.12722688709090757	0.10641654124704165	0.06962006609584237	0.05817437588171611	0.020431975919431997	-0.027715596964785073	-0.0048242165365325555	0.16042884795998458	0.17140157576856843	0.09260603900520337	0.11682171416897462	0.15040204496248555	0.08144412623440254	0.31953340118445045	0.15919914570557434	0.11757845401784248	-0.05930948565501788	-0.037080252594524736	0.09402492622183059	-0.09714647809841047	0.20384679678877757	-0.06914710369029996	0.20148198476106555	0.30468238165041883	0.18606341034038307	0.22144099827495514	0.13034843896748746	-0.03149929620912433	0.2093331606930695	0.29125024933301447	0.19845502536559415	0.03887750973558589	0.37742399962284107	0.2611698403405174	0.18256348853936924	0.2129276749751918	0.347154405668127	0.07075517586914415	0.09175470667522703	0.040107211989996144	0.12278104047880896	0.11776763898005943	0.2606968779349749	0.26523731702818204	0.24650800576870271	0.3687214913608608	0.3242630252398745	-0.43985503715443885	-0.03386410823683637	0.18398237575599646	0.14973989759472617	-0.01986442103278111	0.007094436083136111	-0.13176732618411469	0.16478010209097474	-0.0975248480228444	-0.11057861041581485	-0.01286457743075348	0.3506543274691408	0.3941668687790423	0.14292923895491552	0.24726474561757059	0.14519945850151905	0.038026177405609554
Depth.Max.O2	-0.16369768551346467	0.18932421731487006	-0.1832461296440239	-0.1456276951406788	-0.03203316475175676	0.2372096918027526	-0.24665536858852702	-0.10045271920871414	-0.04328584057480977	0.05437424375811019	0.06176651254697713	0.0396718425002526	-0.10267039984537422	-0.023162442205116426	0.16353341287371206	0.09848144753168295	-0.08714663538875364	-0.0018069990372785864	-0.07811164020236071	-0.2102689788833264	-0.12632565996974846	-0.0779473675626081	0.05807037815254366	-0.1454634225009262	0.10956985071498337	-0.06932305397559667	-0.06234146678611123	0.1963879408242318	-0.24534118747050623	-0.15876950632088668	-0.19039198947326197	0.046571293369861745	0.2372096918027526	-0.011334812142929314	-0.0073101324689906445	0.06357351158425571	-0.04377865849406757	0.28682002900803744	-0.049281791925779625	0.07351200628928795	0.05002101880466632	-0.11564793838582953	0.20755848032740853	0.22661410653870998	0.044107203773572766	0.02505157756227131	0.08098641139803119	0.19129548899190124	-0.1339643377182443	0.006735178229856549	-0.009692085745403327	-0.13511424619651247	-0.18965276259437527	-0.06028805878920374	-0.01043131262429002	0.13922106219032745	0.12041184493865488	0.13905678955057485	0.20180893793606758	-0.11096616815288046	0.01963058045043555	-0.13626415467478067	0.10727003375844699	0.020287671009445948	0.07811164020236071	-0.016755809254765074	-0.008049359347877339	0.0653805106215343	-0.02488730492251871	0.2105975241628316	-0.04369652217419127	-0.30144029394601873	-0.1462026493798129	0.08271127411543347	0.023244578524992725	0.022258942686477132	-0.15975514215940229	-0.0392611609008711	-0.08796799858751664	-0.2101047062435738	-0.15252714601028794	-0.34842226891526196	0.45495307579482225	0.3566359009028919	0.17700376933342515	0.2239857443026684	0.040739614658644493	0.06644828277992619
