	FixJ	NorR	FadP	TtrR	AcnR	FadR	BioQ	GulR	CueR	LiuQ	FruR	PhnF	NarP	GntR	LtbR	SdaR	NagR	RutR	MetJ	NagQ	HexR	ZntR	RbsR	TyrR	RbkR	LiuR	PhrR	GguR	NtrC	ExuR_UxuR	HutC	HypR	NifA	PsrA	TrpR	NmlR	VanR	GlcC	SahR_SamR	Irr	SoxR	AgaR	ArgR	CblR	MetR	NnrR	CsoR	LexA	XylR	LldR	NrdR	NiaR	Rex	CadR-PbrR	NrtR	PrpR	CzrA	IscR	FUR	PdxR	DasR	HisR	AmtR	QorR	PhsR	HcpR	NikR	FabR	FnrN_FixK	CcpA	PaaR	BirA	HrcA	SiaR	PdhR	MerR	ModE	NsrR	Phr	NadQ	MntR	PurR	ThiR	PhnR	Zur	AraR	KdgR	NagC
Depth.Min.O2	0.32128740824393	-0.11575381140598531	-0.20383963862224733	0.435347261434218	0.05928853754940711	0.07396950875211744	0.47939017504234893	0.18238283455674761	0.06041784302653868	0.32806324110671936	0.19367588932806323	0.2682100508187465	-0.1067193675889328	-0.09881422924901186	-0.06380575945793338	0.19932241671372106	0.0502540937323546	0.0016939582156973462	-0.3619424054206663	-0.19367588932806323	-0.16883116883116883	-0.033314511575381144	-0.20835686053077357	0.10446075663466968	-0.05138339920948617	-0.1507622811970638	0.053642010163749296	-0.10897797854319594	-0.045736871823828344	0.26030491247882553	0.14285714285714285	0.03670242800677583	-0.21513269339356295	-0.37210615471485037	-0.032185206098249576	-0.15302089215132694	-0.10220214568040654	0.09542631281761717	0.042348955392433656	0.17108977978543197	0.1857707509881423	0.16431394692264256	0.43195934500282324	0.5031055900621118	0.5042348955392434	0.17786561264822134	0.11801242236024845	0.0818746470920384	0.2727272727272727	0.16770186335403728	0.10107284020327499	0.15753811405985318	0.36645962732919257	0.2885375494071146	0.07848673066064371	-0.20609824957651043	0.09655561829474874	-0.05251270468661773	0.19141727837380013	0.053642010163749296	-0.10220214568040654	0.44551101072840205	0.20496894409937888	0.4059853190287973	0.2761151891586674	0.22981366459627328	0.07284020327498589	0.25691699604743085	0.2354601919819311	0.15866741953698477	0.3800112930547713	0.21964991530208922	0.2478825522303783	-0.045736871823828344	0.1789949181253529	0.22755505364201017	0.3370976849237719	-0.017504234895539244	-0.04912478825522304	-0.13382269904009034	0.10446075663466968	-0.05815923207227555	0.2230378317334839	0.017504234895539244	0.04686617730095991	-0.13721061547148503	-0.0016939582156973462	0.2523997741389046
Residence.time	-0.41922072890238504	0.09170453444739673	0.020306004056209276	-0.29148941306493964	0.34651213373337764	0.29017934828711966	0.13886686644891505	0.03471671661222876	0.14148699600455497	0.15917287050512433	0.03471671661222876	0.28821425112038973	0.07074349800227749	0.13493667211545518	0.4401817653475043	0.35568258717811735	0.30983031995441895	0.49258435646030246	0.13362660733763523	0.24039688672996143	0.4231509232358449	-0.09432466400303664	0.2135405587846524	0.06550323889099767	0.309175287565509	0.2272962389517619	0.12249105672616564	-0.4513173159589739	-0.16441312961640414	0.00786038866691972	-0.11856086239270577	-0.56136275729585	-0.3759885912343266	0.11659576522597584	0.15065744944929463	0.10742531178123617	0.13428163972654522	-0.2279512713406719	-0.06681330366881762	-0.048472396779338275	0.13362660733763523	0.22926133611849184	0.3746785264565067	0.2502223725636111	0.13362660733763523	0.037991878556778644	-0.048472396779338275	0.391709368568166	-0.03471671661222876	0.07925891905810718	0.46965822284845327	0.20568017011773268	0.09170453444739673	0.2980397369540394	0.36092284628939714	0.13821183406000506	0.16506816200531413	0.28297399200910994	0.22336604461830203	-0.06681330366881762	0.15262254661602456	0.3248960648993484	0.06288310933535776	0.05567775305734802	0.3602678139004872	0.16637822678313408	-0.0393019433345986	0.18864932800607329	0.026201295556399065	0.2980397369540394	0.3163806438435187	0.032751619445498835	0.20633520250664264	0.2665981822863605	0.007205356278009743	-0.03537174900113874	0.12838634822635542	0.26594314989745055	0.22009088267375215	0.1938895871173531	0.3222759353437085	0.30721019039877906	0.6026297977971785	0.26135792317508066	0.2908343806760296	0.21681572072920227	0.24563714584124124	0.22402107700721202
Depth.Max.O2	-0.39614499667023795	-0.1866232209747075	-0.24386960777676497	-0.18433336550262516	0.5094928425383118	0.38698557478190876	0.16028988304576103	-0.10132610463964178	0.24157975230468268	0.07213044737059246	0.3056957055229871	0.3669493394011886	0.19063046805085151	0.052666675857892906	0.24043482456864154	0.044079717837584284	0.45396384734031603	0.23299279428437406	0.20322467314730416	-0.1860507571066869	0.35321020656869484	0.10705074331984754	0.3022609223148636	0.17746379908637827	0.14655075021326722	0.156282635969617	-0.054384067461954635	-0.266768162497588	-0.07842754991881878	0.16715944946200792	0.03892754302539911	0.4064493462946083	-0.2507391741930119	-0.0641159532183044	0.14597828634524665	-0.23642757749249751	0.14998553342139068	-0.11621016520817674	0.14655075021326722	-0.1036159601117241	-0.17345655201023424	0.04579710944164601	0.2158188782437568	0.06755073642642787	-0.08529711633506569	-0.3142826635432957	0.18318843776658403	0.04923189264976946	0.04007247076144026	0.31371019967527514	0.14368843087316435	0.2833696146701847	0.16143481078180216	0.4511015280002132	0.2255507640001066	0.495753709705818	0.33889860986818043	0.2799348314620612	0.23986236070062095	0.06697827255840728	0.12994929804067054	0.2410072884366621	0.02003623538072013	-0.026333337928946453	-0.023471018588843578	0.06926812803048958	0.14884060568534951	0.14139857540108206	0.27020294570571146	0.20780438409146876	0.26333337928946454	0.293673964294555	0.4848768962134271	0.40759427403064946	0.14197103926910262	0.12078987615234134	0.2089493118275099	0.09388407435537431	-0.006869566416246901	0.17173916040617251	0.1837609016346046	0.23070293881229176	0.10132610463964178	0.17975365455846057	0.312565271939234	0.18261597389856346	-0.03950000689341968	0.09903624916755949
PO4	-0.08421052631578947	-0.4789473684210526	-0.39473684210526316	-0.08596491228070176	0.6701754385964912	0.4807017543859649	0.743859649122807	0.3157894736842105	0.4982456140350877	0.48771929824561405	0.47017543859649125	0.3824561403508772	0.41578947368421054	-0.04912280701754386	0.11403508771929824	0.17543859649122806	0.2649122807017544	0.07017543859649122	-0.30526315789473685	-0.07192982456140351	-0.010526315789473684	-0.007017543859649123	-0.09298245614035087	-0.11052631578947368	-0.08947368421052632	-0.20350877192982456	-0.017543859649122806	-0.156140350877193	-0.09473684210526316	0.10526315789473684	0.42280701754385963	0.35789473684210527	-0.34035087719298246	-0.017543859649122806	-0.17719298245614035	0.07719298245614035	0.28421052631578947	0.19473684210526315	0.28596491228070176	-0.1631578947368421	-0.18421052631578946	0.256140350877193	0.02456140350877193	0.02280701754385965	0.005263157894736842	-0.1280701754385965	0.13333333333333333	-0.04035087719298246	-0.05964912280701754	0.017543859649122806	0.008771929824561403	0.14912280701754385	0.1912280701754386	0.4807017543859649	0.4421052631578947	0.17719298245614035	0.23684210526315788	0.28596491228070176	0.5561403508771929	0.3280701754385965	0.02631578947368421	-0.13333333333333333	-0.23333333333333334	-0.09298245614035087	-0.3543859649122807	0.042105263157894736	-0.07192982456140351	0.02631578947368421	0.09298245614035087	-0.043859649122807015	0.07192982456140351	0.3140350877192982	0.19649122807017544	0.37719298245614036	-0.08771929824561403	0.021052631578947368	0.1543859649122807	0.2736842105263158	0.1736842105263158	-0.23508771929824562	-0.03684210526315789	0.028070175438596492	-0.015789473684210527	0.1	0.08947368421052632	0.23157894736842105	0.031578947368421054	0.17543859649122806
Si	-0.28270676691729324	-0.3218045112781955	-0.18796992481203006	-0.1293233082706767	0.5939849624060151	0.4421052631578947	0.3233082706766917	0.20150375939849624	0.6135338345864662	0.38345864661654133	0.2571428571428571	0.29774436090225564	0.42857142857142855	0.15639097744360902	0.3007518796992481	0.12030075187969924	0.34887218045112783	0.37142857142857144	-0.18045112781954886	0.16090225563909774	0.22406015037593985	-0.01804511278195489	0.06315789473684211	-0.045112781954887216	0.015037593984962405	0.02857142857142857	-0.045112781954887216	-0.3609022556390977	0.061654135338345864	0.03308270676691729	0.05714285714285714	-0.0481203007518797	-0.15338345864661654	0.20300751879699247	0.02556390977443609	0.21804511278195488	0.43609022556390975	0.17142857142857143	0.26766917293233083	-0.21503759398496242	-0.19849624060150375	0.23007518796992482	-0.0015037593984962407	-0.09774436090225563	0.09774436090225563	0.06766917293233082	0.09022556390977443	0.23759398496240602	0.10676691729323308	0.18796992481203006	0.17593984962406015	0.17293233082706766	0.22706766917293233	0.4345864661654135	0.5353383458646617	0.1849624060150376	0.2736842105263158	0.4030075187969925	0.643609022556391	0.3744360902255639	0.03458646616541353	-0.18195488721804512	-0.3082706766917293	-0.2736842105263158	-0.13383458646616542	0.21052631578947367	0.07819548872180451	-0.042105263157894736	0.2962406015037594	0.14586466165413534	0.06766917293233082	0.2721804511278195	0.2511278195488722	0.5278195488721804	0.18947368421052632	0.021052631578947368	0.1593984962406015	0.5578947368421052	0.26917293233082706	0.019548872180451128	-0.0015037593984962407	0.18646616541353384	0.1699248120300752	0.4917293233082707	0.35789473684210527	0.40902255639097745	0.33533834586466166	0.3097744360902256
Longitude	-0.27498588368153587	0.04799548277809147	0.003952569169960474	-0.12704686617730096	-0.21287408243929984	-0.031055900621118012	-0.20609824957651043	-0.21852060982495766	-0.11688311688311688	-0.03670242800677583	-0.2636928289102202	0.003952569169960474	0.20045172219085264	0.1541501976284585	0.17221908526256352	0.22868435911914173	0.12140033879164314	0.39808018068887635	0.4409937888198758	0.47600225861095424	0.2670807453416149	0.40146809712027104	0.26143421795595706	0.30321852060982496	0.20496894409937888	0.5189158667419537	0.22077922077922077	-0.07284020327498589	0.1857707509881423	-0.23433088650479955	0.13156408808582723	-0.2727272727272727	0.44664031620553357	0.11801242236024845	0.23433088650479955	0.1857707509881423	0.23433088650479955	-0.07961603613777526	0.23997741389045738	-0.4048560135516657	-0.1259175607001694	-0.12478825522303783	-0.20496894409937888	-0.18238283455674761	0.014116318464144552	0.233201581027668	0.024280067758328628	0.12704686617730096	-0.27498588368153587	-0.1507622811970638	0.017504234895539244	0.10220214568040654	0.034443817052512704	0.033314511575381144	0.1259175607001694	-0.3642010163749294	-0.09655561829474874	-0.055900621118012424	0.0942970073404856	-0.07284020327498589	0.22981366459627328	-0.05138339920948617	0.017504234895539244	0.13495200451722192	0.20948616600790515	0.339356295878035	0.36645962732919257	0.07622811970638058	0.1857707509881423	0.41727837380011296	0.21739130434782608	0.12140033879164314	0.08977978543195934	0.2648221343873518	0.3190287972896669	-0.024280067758328628	0.05138339920948617	0.16770186335403728	0.19706380575945792	0.295313382269904	0.30773574251835123	0.36645962732919257	0.35629587803500845	0.30999435347261434	0.3800112930547713	0.28176171654432525	0.11914172783738002	0.19932241671372106
Oxygen	-0.2230378317334839	-0.4590626764539808	-0.14285714285714285	-0.35403726708074534	-0.41953698475437606	-0.295313382269904	-0.42970073404856013	-0.3269339356295878	0.20948616600790515	0.2106154714850367	0.2704686617730096	0.14285714285714285	0.2648221343873518	0.46357989836250707	0.26143421795595706	0.49407114624505927	0.4522868435911914	0.4782608695652174	0.20609824957651043	0.47939017504234893	0.47035573122529645	0.37775268210050816	0.4647092038396386	0.5290796160361377	0.6341050254093732	0.7154150197628458	0.7470355731225297	0.37662337662337664	0.46696781479390176	-0.427442123094297	0.10784867306606437	-0.10220214568040654	-0.16996047430830039	0.11236589497459062	0.13043478260869565	-0.2795031055900621	-0.26030491247882553	-0.034443817052512704	-0.1225296442687747	0.0942970073404856	0.37549407114624506	-0.3167701863354037	-0.20045172219085264	-0.2636928289102202	-0.30547713156408807	-0.24336533032185206	-0.09090909090909091	-0.11236589497459062	0.09655561829474874	0.042348955392433656	0.07171089779785432	0.11349520045172219	0.15640880858272163	-0.057029926595143984	-0.15302089215132694	-0.14624505928853754	-0.09994353472614342	-0.009599096555618294	-0.28063241106719367	-0.1281761716544325	0.17786561264822134	0.23997741389045738	0.295313382269904	0.11688311688311688	0.16431394692264256	0.37549407114624506	0.4827780914737436	0.37775268210050816	0.27837380011293056	0.11801242236024845	0.14511575381140598	0.35177865612648224	0.1665725578769057	0.057029926595143984	0.06832298136645963	0.30999435347261434	0.2354601919819311	0.19932241671372106	0.2106154714850367	0.25691699604743085	0.4059853190287973	0.3269339356295878	0.06380575945793338	0.24675324675324675	0.25691699604743085	0.22416713721061546	0.07961603613777526	0.06719367588932806
Latitude	-0.1293054771315641	-0.029926595143986448	-0.031055900621118012	-0.24675324675324675	-0.6792772444946358	-0.5719932241671372	-0.7346132128740824	-0.46357989836250707	-0.18238283455674761	-0.20496894409937888	-0.06832298136645963	-0.14398644833427443	-0.031055900621118012	0.28176171654432525	0.07848673066064371	0.09994353472614342	0.1281761716544325	0.16770186335403728	0.4025974025974026	0.49632975719932243	0.3879164313946923	0.49520045172219085	0.5200451722190853	0.5223037831733484	0.39920948616600793	0.5866741953698476	0.4647092038396386	0.4590626764539808	0.42405420666290233	-0.2761151891586674	0.005081874647092038	-0.13946922642574816	0.21964991530208922	0.18238283455674761	0.20722755505364202	-0.09090909090909091	-0.08752117447769622	0.033314511575381144	-0.00846979107848673	0.06154714850367024	0.2015810276679842	-0.40711462450592883	-0.2106154714850367	-0.3201581027667984	-0.23433088650479955	-0.1880293619424054	-0.023150762281197064	-0.1417278373800113	0.012987012987012988	0.024280067758328628	-0.011857707509881422	-0.010728402032749858	-0.06041784302653868	-0.15753811405985318	-0.23997741389045738	-0.13043478260869565	-0.18012422360248448	-0.06380575945793338	-0.35064935064935066	-0.12478825522303783	0.09994353472614342	0.16883116883116883	0.42405420666290233	0.25917560700169395	0.22868435911914173	0.2715979672501412	0.40146809712027104	0.09316770186335403	0.06493506493506493	0.04121964991530209	0.0660643704121965	0.14850367024280067	0.003952569169960474	-0.16883116883116883	0.13946922642574816	0.12478825522303783	0.13495200451722192	0.04009034443817053	0.04121964991530209	0.22077922077922077	0.28740824392998304	0.2795031055900621	0.13156408808582723	0.18238283455674761	0.13721061547148503	0.006211180124223602	0.07961603613777526	-0.017504234895539244
Iron.5m	-0.08413325804630152	-0.10446075663466968	-0.0502540937323546	-0.37549407114624506	-0.4827780914737436	-0.13156408808582723	-0.5787690570299266	-0.41727837380011296	0.0942970073404856	0.019762845849802372	-0.10220214568040654	0.007340485601355167	0.2715979672501412	0.4805194805194805	0.2354601919819311	0.20835686053077357	0.21287408243929984	0.3890457368718238	0.35064935064935066	0.6092603049124788	0.29757199322416716	0.36645962732919257	0.3608130999435347	0.2930547713156409	0.4127611518915867	0.6261998870694523	0.4827780914737436	0.295313382269904	0.4330886504799548	-0.15640880858272163	-0.10333145115753811	-0.3235460191981931	0.1225296442687747	0.12027103331451157	0.10559006211180125	0.031055900621118012	-0.04686617730095991	-0.13721061547148503	-0.11575381140598531	-0.3201581027667984	0.09316770186335403	-0.42518351214003386	-0.41953698475437606	-0.48955392433653305	-0.2422360248447205	0.005081874647092038	-0.06267645398080181	-0.11688311688311688	-0.16770186335403728	-0.25014116318464147	-0.06719367588932806	-0.14624505928853754	-0.14398644833427443	-0.2478825522303783	-0.23207227555053642	-0.4432523997741389	-0.3642010163749294	-0.2885375494071146	-0.35629587803500845	-0.295313382269904	0.2015810276679842	0.005081874647092038	0.1101072840203275	0.03896103896103896	0.17786561264822134	0.30886504799548276	0.277244494635799	0.1067193675889328	0.13156408808582723	0.06945228684359118	-0.014116318464144552	-0.00846979107848673	0.045736871823828344	0.06945228684359118	0.20948616600790515	0.0660643704121965	0.08074534161490683	0.029926595143986448	0.03557312252964427	0.14398644833427443	0.1665725578769057	0.21513269339356295	0.14511575381140598	0.2456239412761152	0.1067193675889328	0.08413325804630152	0.08977978543195934	-0.019762845849802372
Gradient.Surface.temp(SST)	0.19411764705882353	0.03235294117647059	-0.26176470588235295	0.03823529411764706	-0.08235294117647059	0.24705882352941178	0.023529411764705882	-0.023529411764705882	0.13529411764705881	0.13529411764705881	0.041176470588235294	0.15294117647058825	0.45294117647058824	0.47058823529411764	0.15588235294117647	0.19705882352941176	0.0029411764705882353	0.12941176470588237	-0.32941176470588235	0.1	-0.008823529411764706	0.18235294117647058	0.2852941176470588	0.11470588235294117	0.05588235294117647	-0.0058823529411764705	0.014705882352941176	0.26176470588235295	0.38235294117647056	0.23823529411764705	0.19411764705882353	0.4294117647058823	-0.12941176470588237	0.25588235294117645	0.43529411764705883	0.023529411764705882	0.22941176470588234	0.014705882352941176	-0.05	0.35294117647058826	0.55	-0.09117647058823529	-0.11176470588235295	0.029411764705882353	-0.3088235294117647	-0.23823529411764705	-0.2647058823529412	0.058823529411764705	-0.03529411764705882	-0.11764705882352941	-0.08823529411764706	0.12352941176470589	0.026470588235294117	0.011764705882352941	-0.020588235294117647	0.08823529411764706	-0.15294117647058825	-0.27647058823529413	-0.3	0.19705882352941176	-0.3058823529411765	0.07647058823529412	0.11176470588235295	0.06764705882352941	-0.4176470588235294	-0.10294117647058823	-0.25	0.08823529411764706	-0.12058823529411765	-0.27058823529411763	-0.2735294117647059	-0.1411764705882353	-0.2411764705882353	-0.011764705882352941	-0.13529411764705881	0.1676470588235294	0.14705882352941177	-0.11470588235294117	0.18235294117647058	-0.09117647058823529	-0.008823529411764706	0.04411764705882353	-0.25	-0.23529411764705882	-0.13823529411764707	-0.011764705882352941	-0.1411764705882353	-0.19117647058823528
Fluorescence	0.4376058723884811	-0.16996047430830039	-0.20948616600790515	-0.2896668548842462	-0.025409373235460192	-0.08074534161490683	-0.0660643704121965	-0.12478825522303783	0.21174477696216826	0.09994353472614342	-0.032185206098249576	0.07622811970638058	0.3585544889892716	0.313382269904009	0.25804630152456237	0.04912478825522304	-0.057029926595143984	-0.05815923207227555	-0.13382269904009034	0.28176171654432525	-0.21287408243929984	-0.0502540937323546	-0.06832298136645963	-0.14398644833427443	-0.15302089215132694	0.09881422924901186	0.16883116883116883	0.5031055900621118	0.10220214568040654	-0.22755505364201017	-0.010728402032749858	-0.251270468661773	-0.08300395256916997	0.10559006211180125	0.09881422924901186	0.3495200451722191	0.28514963297571994	-0.045736871823828344	0.09203839638622248	-0.07396950875211744	-0.003952569169960474	-0.2456239412761152	-0.3461321287408244	-0.3461321287408244	-0.4601919819311124	-0.21287408243929984	0.05815923207227555	-0.17221908526256352	-0.3438735177865613	-0.18238283455674761	-0.19706380575945792	-0.14624505928853754	-0.16996047430830039	-0.0502540937323546	0.020892151326933936	-0.163184641445511	-0.35629587803500845	-0.20948616600790515	-0.365330321852061	-0.23433088650479955	0.04121964991530209	-0.18464144551101072	-0.3269339356295878	-0.15979672501411632	-0.3235460191981931	-0.05815923207227555	-0.20722755505364202	-0.35629587803500845	-0.3687182382834557	-0.5381140598531903	-0.6137775268210051	-0.35742518351214003	-0.36984754376058726	-0.06493506493506493	-0.00846979107848673	-0.16092603049124787	-0.011857707509881422	0.03896103896103896	-0.14059853190287974	-0.35742518351214003	-0.3178994918125353	-0.14398644833427443	-0.09655561829474874	-0.057029926595143984	-0.2140033879164314	-0.3370976849237719	-0.22190852625635235	-0.26595143986448333
HCO3	0.11428571428571428	-0.23214285714285715	0.15714285714285714	-0.09642857142857143	-0.225	-0.2	0.08214285714285714	-0.0035714285714285713	-0.2642857142857143	0.03571428571428571	0.03571428571428571	0.29285714285714287	0.21071428571428572	0.17857142857142858	0.16071428571428573	0.42142857142857143	-0.19285714285714287	-0.16071428571428573	0.4607142857142857	-0.12857142857142856	-0.07857142857142857	0.007142857142857143	0.007142857142857143	-0.08214285714285714	0.29642857142857143	0.025	0.32142857142857145	0.4035714285714286	-0.26785714285714285	-0.07857142857142857	0.2	0.10357142857142858	-0.21785714285714286	-0.014285714285714285	-0.03214285714285714	-0.3357142857142857	-0.3392857142857143	-0.46785714285714286	-0.5357142857142857	0.17142857142857143	0.3678571428571429	0.15714285714285714	0.06428571428571428	0.3821428571428571	-0.16785714285714284	-0.22857142857142856	0.060714285714285714	-0.3892857142857143	-0.26785714285714285	-0.22857142857142856	0.11428571428571428	-0.05714285714285714	-0.10714285714285714	-0.04642857142857143	-0.34285714285714286	-0.16785714285714284	-0.014285714285714285	-0.2857142857142857	-0.45714285714285713	-0.45357142857142857	0.05714285714285714	0.6285714285714286	0.175	0.425	0.175	0.075	0.09642857142857143	0.19285714285714287	-0.24642857142857144	0.08571428571428572	0.11785714285714285	0.025	0.17142857142857143	-0.02857142857142857	-0.425	-0.05714285714285714	0.07857142857142857	-0.06428571428571428	0.02857142857142857	-0.11428571428571428	0.2571428571428571	-0.017857142857142856	0.09285714285714286	-0.33214285714285713	-0.275	-0.16071428571428573	-0.22142857142857142	-0.125
Nitracline	0.11029411764705882	0.5735294117647058	0.2696078431372549	0.4485294117647059	-0.35784313725490197	-0.17892156862745098	-0.17647058823529413	0.049019607843137254	-0.46568627450980393	-0.2916666666666667	-0.49019607843137253	-0.2549019607843137	-0.27941176470588236	-0.08333333333333333	-0.09803921568627451	-0.22549019607843138	-0.34068627450980393	-0.07107843137254902	-0.1053921568627451	0.004901960784313725	0.007352941176470588	0.049019607843137254	-0.041666666666666664	-0.11764705882352941	-0.09313725490196079	-0.40931372549019607	-0.4264705882352941	-0.1323529411764706	0.061274509803921566	0.4338235294117647	0.041666666666666664	-0.25980392156862747	0.20833333333333334	0.23774509803921567	-0.049019607843137254	0.3382352941176471	0.17647058823529413	0.04411764705882353	-0.041666666666666664	0.17892156862745098	0.08823529411764706	0.32598039215686275	0.14950980392156862	0.22303921568627452	0.4803921568627451	0.4485294117647059	-0.38480392156862747	0.00980392156862745	0.22303921568627452	-0.18627450980392157	0.12990196078431374	0.10294117647058823	0.07107843137254902	-0.14460784313725492	-0.02696078431372549	0.049019607843137254	0.061274509803921566	-0.19852941176470587	0.14950980392156862	0.2181372549019608	-0.27205882352941174	0.05392156862745098	0.4411764705882353	0.39705882352941174	0.31862745098039214	0.2107843137254902	-0.04411764705882353	-0.09313725490196079	0.2034313725490196	0.20833333333333334	0.13480392156862744	-0.1323529411764706	0.007352941176470588	0.09313725490196079	0.07107843137254902	-0.0024509803921568627	-0.19362745098039216	-0.15931372549019607	-0.13970588235294118	0.02696078431372549	0.0196078431372549	-0.23774509803921567	0.25980392156862747	-0.17401960784313725	-0.08088235294117647	-0.014705882352941176	0.23774509803921567	0.22058823529411764
ChlorophyllA	0.042348955392433656	0.005081874647092038	0.07848673066064371	0.06719367588932806	-0.3800112930547713	-0.28176171654432525	-0.09316770186335403	-0.14963297571993225	-0.3856578204404291	0.13495200451722192	-0.30321852060982496	-0.2388481084133258	-0.16431394692264256	-0.2636928289102202	-0.3427442123094297	-0.17108977978543197	-0.21287408243929984	-0.12365894974590627	0.06154714850367024	0.0378317334839074	-0.011857707509881422	0.1225296442687747	0.031055900621118012	0.09090909090909091	-0.21964991530208922	-0.08300395256916997	-0.057029926595143984	0.2670807453416149	-0.0378317334839074	0.03670242800677583	0.023150762281197064	-0.2140033879164314	0.1293054771315641	-0.023150762281197064	-0.1259175607001694	0.014116318464144552	0.22190852625635235	0.11801242236024845	0.024280067758328628	-0.07622811970638058	-0.1259175607001694	0.17334839073969507	-0.17786561264822134	-0.029926595143986448	0.1067193675889328	0.15979672501411632	-0.06154714850367024	-0.189158667419537	-0.14624505928853754	0.04799548277809147	-0.032185206098249576	0.10107284020327499	0.19367588932806323	-0.0502540937323546	-0.11236589497459062	-0.14398644833427443	-0.2230378317334839	-0.18690005646527386	-0.09768492377188029	0.005081874647092038	0.3020892151326934	0.010728402032749858	0.3382269904009034	0.5279503105590062	0.00846979107848673	0.3585544889892716	0.3145115753811406	-0.03896103896103896	0.1101072840203275	0.13495200451722192	-0.04009034443817053	0.06832298136645963	0.11801242236024845	-0.09542631281761717	-0.003952569169960474	0.0378317334839074	-0.007340485601355167	0.03670242800677583	-0.1507622811970638	-0.14398644833427443	-0.11462450592885376	-0.18125352907961603	0.05928853754940711	0.015245623941276116	-0.09881422924901186	-0.13721061547148503	-0.003952569169960474	0.044607566346696784
Carbon.total	-0.06707946336429309	-0.19504643962848298	0.16615067079463364	0.1042311661506708	-0.35190918472652216	-0.48813209494324045	-0.0196078431372549	-0.13725490196078433	-0.5314757481940144	-0.011351909184726523	-0.06501547987616099	-0.23426212590299278	-0.20949432404540763	-0.48813209494324045	-0.4695562435500516	-0.021671826625386997	-0.19091847265221878	-0.3023735810113519	0.058823529411764705	-0.15170278637770898	-0.0608875128998968	0.1393188854489164	0.1434468524251806	0.2837977296181631	-0.2260061919504644	-0.09803921568627451	-0.048503611971104234	0.34365325077399383	-0.07946336429308566	-0.1042311661506708	0.11042311661506708	0.054695562435500514	-0.07946336429308566	-0.04231166150670795	-0.03199174406604747	-0.20949432404540763	0.0608875128998968	0.20743034055727555	0.08771929824561403	0.24458204334365324	-0.03199174406604747	-0.06501547987616099	-0.22807017543859648	-0.011351909184726523	-0.39525283797729616	-0.4613003095975232	-0.11661506707946337	-0.2776057791537668	-0.2590299277605779	-0.011351909184726523	-0.17440660474716202	-0.09597523219814241	0.054695562435500514	-0.13519091847265222	-0.30030959752321984	-0.08771929824561403	-0.3498452012383901	-0.14551083591331268	-0.39525283797729616	-0.058823529411764705	0.3415892672858617	0.04437564499484004	0.3931888544891641	0.3457172342621259	-0.19504643962848298	0.011351909184726523	0.12899896800825594	0.04643962848297214	-0.22807017543859648	-0.021671826625386997	-0.12487100103199174	0.038183694530443756	-0.05675954592363261	-0.37874097007223945	-0.5190918472652218	-0.24045407636738905	-0.11455108359133127	-0.05056759545923633	-0.11455108359133127	-0.19917440660474717	-0.10629514963880289	-0.13725490196078433	-0.2590299277605779	-0.17234262125902994	-0.18885448916408668	-0.3498452012383901	-0.27966976264189886	-0.2776057791537668
