matrix_type	subsample	target_variable	shap_top_tfs	shap_top_tfs_correlated	top_tfs_correlated_50
M0	srf	Polar	AgaR, LiuR, KdgR, AraR, CsoR	AgaR, SahR_SamR, NtrC, FUR, NagC, NnrR, LiuR, SahR_SamR, AgaR, MetR, NagC, FUR, KdgR, NagC, FUR, ThiR, MetR, NrtR, AraR, CzrA, Zur, SahR_SamR, NsrR, ArgR, CsoR, AgaR, FUR, NnrR, CzrA, CueR	
M0	srf	Temperature	AgaR, HrcA, LexA, RbsR, PhnR	AgaR, SahR_SamR, NtrC, FUR, NagC, NnrR, HrcA, NtrC, KdgR, MetR, SahR_SamR, NnrR, LexA, LiuR, GguR, FabR, SoxR, NarP, RbsR, CzrA, Phr, NsrR, NrtR, IscR, PhnR, NadQ, MerR, PdhR, AcnR, NagC	AgaR, CsoR, FUR, FabR, GguR, GntR, GulR, HrcA, KdgR, LiuR, MetR, NagC, NnrR, NtrC, RbkR, SahR_SamR, ThiR
M0	srf	Province	AgaR, HypR, CadR-PbrR, GguR, NrdR	AgaR, SahR_SamR, NtrC, FUR, NagC, NnrR, HypR, FabR, PsrA, GlcC, TtrR, LtbR, CadR-PbrR, LiuQ, FixJ, HutC, GlcC, TrpR, GguR, LiuR, AgaR, FabR, NtrC, NnrR, NrdR, LldR, BioQ, NagR, NsrR, Zur	
M0	nonpolar	Layer	MetR, FnrN_FixK, QorR, ExuR_UxuR, FixJ	MetR, FUR, KdgR, ThiR, NagC, NrtR, FnrN_FixK, MntR, Phr, NnrR, NagC, ThiR, QorR, AgaR, NtrC, GntR, GulR, HrcA, ExuR_UxuR, NarP, LexA, HrcA, PdxR, Irr, FixJ, NsrR, SahR_SamR, ArgR, NrtR, NagC	
M0	nonpolar	Layer2	MetR, PaaR, NrtR, PdxR, GntR	MetR, FUR, KdgR, ThiR, NagC, NrtR, PaaR, BirA, SahR_SamR, CzrA, ArgR, KdgR, NrtR, NagC, MntR, ArgR, Phr, FUR, PdxR, NsrR, ArgR, SahR_SamR, NagC, GntR, GntR, MetR, NagC, KdgR, FUR, SahR_SamR	
M0	epi-nonpolar	NO3	FnrN_FixK, NagR, GguR, PsrA, FixJ	FnrN_FixK, NtrC, ThiR, Phr, NnrR, NagC, NagR, PhnF, NrdR, HutC, RbsR, LldR, GguR, FadR, PdxR, Irr, LiuR, PhnF, PsrA, MntR, BirA, FUR, MerR, NagC, FixJ, NsrR, SahR_SamR, NrtR, ArgR, NagC	
M0	epi-nonpolar	CarbonFlux	CblR, MntR, FadR, ThiR, FnrN_FixK	CblR, FruR, NnrR, HypR, ThiR, RbkR, MntR, NrtR, NagC, FUR, ThiR, ArgR, FadR, MetR, NrtR, NtrC, RbkR, NsrR, ThiR, NagC, MntR, FUR, NrtR, SahR_SamR, FnrN_FixK, NtrC, ThiR, Phr, NnrR, NagC	
M0	epi-nonpolar	NPP	NagC, NnrR, GlcC, FabR, PdhR	NagC, NrtR, ThiR, MntR, FUR, KdgR, NnrR, FUR, Zur, ThiR, IscR, NrtR, GlcC, Phr, MntR, XylR, BirA, NrtR, FabR, GntR, IscR, NtrC, FadR, LiuR, PdhR, LldR, MerR, HexR, NmlR, HcpR	
M1	srf	Polar	LexA, AgaR, CsoR, PrpR, PhnF	LexA, AgaR, GguR, LiuR, FabR, HexR, AgaR, SahR_SamR, NtrC, LiuR, NnrR, FUR, CsoR, PhnF, FabR, AgaR, NadQ, NagC, PrpR, MetR, KdgR, NagC, SahR_SamR, XylR, PhnF, SahR_SamR, MetR, LiuR, NagC, NnrR	
M1	srf	Temperature	HrcA, LexA, AgaR, LiuQ, TrpR	HrcA, NtrC, KdgR, AgaR, MetR, XylR, LexA, AgaR, GguR, LiuR, FabR, HexR, AgaR, SahR_SamR, NtrC, LiuR, NnrR, FUR, LiuQ, CcpA, TrpR, PdxR, SoxR, NarP, TrpR, AcnR, BirA, HutC, DasR, FadP	AgaR, CsoR, FUR, FabR, GguR, GulR, HrcA, Irr, KdgR, LiuR, MetR, NagC, NnrR, NtrC, PhnF, SahR_SamR, ThiR, XylR
M1	srf	Province	AgaR, LiuR, LexA, HypR, PhnF	AgaR, SahR_SamR, NtrC, LiuR, NnrR, FUR, LiuR, SahR_SamR, AgaR, MetR, KdgR, NagC, LexA, AgaR, GguR, LiuR, FabR, HexR, HypR, Rex, LtbR, VanR, DasR, FabR, PhnF, SahR_SamR, MetR, LiuR, NagC, NnrR	
M1	nonpolar	Layer	BirA, KdgR, FnrN_FixK, VanR, FadP	BirA, NsrR, NagC, SahR_SamR, Phr, NrtR, KdgR, FUR, NagC, NrtR, ThiR, ArgR, FnrN_FixK, HcpR, Irr, GguR, TrpR, Phr, VanR, HypR, PurR, NnrR, RbsR, PsrA, FadP, NrtR, ArgR, ThiR, MntR, SahR_SamR	
M1	nonpolar	Layer2	BirA, MerR, KdgR, GulR, IscR	BirA, NsrR, NagC, SahR_SamR, Phr, NrtR, MerR, BirA, SahR_SamR, Phr, NrtR, FUR, KdgR, FUR, NagC, NrtR, ThiR, ArgR, GulR, NtrC, NrtR, SahR_SamR, ArgR, KdgR, IscR, Zur, Phr, ArgR, NagC, NsrR	
M1	epi-nonpolar	NO3	GguR, FnrN_FixK, NagR, NrdR, BioQ	GguR, Irr, FadR, PdxR, FnrN_FixK, GlcC, FnrN_FixK, NtrC, HcpR, TrpR, Phr, Irr, NagR, TyrR, PsrA, HrcA, PhnF, ZntR, NrdR, CzrA, HexR, RutR, IscR, AcnR, BioQ, MerR, NrtR, NsrR, BirA, CzrA	PhnF
M1	epi-nonpolar	CarbonFlux	CsoR, NorR, ArgR, Irr, GlcC	CsoR, MerR, Irr, ZntR, CcpA, HisR, NorR, MetR, NagC, SahR_SamR, GntR, NrtR, ArgR, NrtR, NagC, MntR, ThiR, FUR, Irr, NagC, AgaR, KdgR, FUR, NtrC, GlcC, FadR, PhrR, Irr, NrtR, NnrR	
M1	epi-nonpolar	NPP	NagC, Zur, ThiR, FnrN_FixK, PurR	NagC, NrtR, MntR, KdgR, FUR, ArgR, Zur, ThiR, MntR, NrtR, NagC, FUR, ThiR, Zur, NagC, FUR, MntR, ArgR, FnrN_FixK, NtrC, HcpR, TrpR, Phr, Irr, PurR, RbsR, NiaR, HcpR, CzrA, IscR	
stress	srf	Polar	MetR, HypR, PurR, PhnF, GulR	MetR, FUR, SahR_SamR, NsrR, NrtR, NrdR, HypR, NtrC, FabR, PdxR, PhnR, Rex, PurR, NifA, FadP, MetR, GulR, ExuR_UxuR, PhnF, NsrR, FUR, MetR, NrtR, HutC, GulR, MetR, BioQ, PurR, AcnR, HutC	
stress	srf	Temperature	NrdR, MetJ, PurR, AcnR, LexA	NrdR, NrtR, KdgR, FUR, NagC, ArgR, MetJ, HisR, CblR, NrdR, NikR, TrpR, PurR, NifA, FadP, MetR, GulR, ExuR_UxuR, AcnR, GulR, PurR, HypR, AmtR, LiuR, LexA, ThiR, ArgR, PaaR, Phr, NrtR	MetR, NrdR, PurR
stress	srf	Province	PurR, NtrC, HutC, MetR, HcpR	PurR, NifA, FadP, MetR, GulR, ExuR_UxuR, NtrC, HypR, TyrR, NagQ, Rex, PdxR, HutC, MetR, SahR_SamR, FUR, NrtR, NsrR, MetR, FUR, SahR_SamR, NsrR, NrtR, NrdR, HcpR, KdgR, NrdR, RbkR, NsrR, Zur	
stress	nonpolar	Layer	BirA, MerR, CsoR, LiuQ, PdxR	BirA, NagC, NrtR, MetR, MntR, SahR_SamR, MerR, CueR, TyrR, NifA, GntR, FruR, CsoR, MetR, Phr, NagC, PurR, CzrA, LiuQ, BirA, SahR_SamR, PurR, MntR, MetR, PdxR, ModE, SdaR, RbsR, HexR, Zur	
stress	nonpolar	Layer2	CsoR, BirA, MerR, LiuQ, SiaR	CsoR, MetR, Phr, NagC, PurR, CzrA, BirA, NagC, NrtR, MetR, MntR, SahR_SamR, MerR, CueR, TyrR, NifA, GntR, FruR, LiuQ, BirA, SahR_SamR, PurR, MntR, MetR, SiaR, BirA, NadQ, CsoR, Phr, NagC	
stress	epi-nonpolar	NO3	HutC, FadR, CblR, MetR, GguR	HutC, MetR, IscR, NsrR, Zur, FUR, FadR, XylR, CadR-PbrR, RbsR, ModE, TtrR, CblR, NifA, MetJ, MetR, NikR, Phr, MetR, SahR_SamR, NrtR, NsrR, Phr, ArgR, GguR, AcnR, XylR, NagC, DasR, CadR-PbrR	CblR, HutC, MetR
stress	epi-nonpolar	CarbonFlux	BioQ, AmtR, CueR, LtbR, SahR_SamR	BioQ, GlcC, FabR, NiaR, LldR, PaaR, AmtR, NsrR, NrtR, FUR, ArgR, RbkR, CueR, RutR, LldR, NmlR, FruR, HexR, LtbR, PhnR, NnrR, AraR, CzrA, DasR, SahR_SamR, MetR, NrtR, Zur, ArgR, FUR	
stress	epi-nonpolar	NPP	AmtR, AgaR, LiuR, NikR, RutR	AmtR, NsrR, NrtR, FUR, ArgR, RbkR, AgaR, ArgR, Zur, MntR, CzrA, NrtR, LiuR, PhrR, ModE, HrcA, CsoR, Irr, NikR, TyrR, MetR, ThiR, HutC, PaaR, RutR, LldR, HexR, CueR, QorR, Zur	
guidi	srf	Polar	SahR_SamR, Zur, GguR, FUR, PhnF	SahR_SamR, FUR, ArgR, NrtR, MetR, NsrR, Zur, NagC, FUR, ArgR, NrtR, NsrR, GguR, AmtR, PhnF, AraR, GulR, KdgR, FUR, NagC, SahR_SamR, MetR, Zur, NsrR, PhnF, SahR_SamR, FUR, NagC, CzrA, MetR	
guidi	srf	Temperature	SahR_SamR, FUR, TyrR, PdxR, PhnF	SahR_SamR, FUR, ArgR, NrtR, MetR, NsrR, FUR, NagC, SahR_SamR, MetR, Zur, NsrR, TyrR, BirA, KdgR, CzrA, ModE, ArgR, PdxR, PhnF, QorR, CadR-PbrR, LexA, FixJ, PhnF, SahR_SamR, FUR, NagC, CzrA, MetR	AraR, FUR, KdgR, MetR, NagC, NmlR, NsrR, PhnF, PhsR, PurR, SahR_SamR
guidi	srf	Province	SahR_SamR, PhnF, KdgR, TyrR, AraR	SahR_SamR, FUR, ArgR, NrtR, MetR, NsrR, PhnF, SahR_SamR, FUR, NagC, CzrA, MetR, KdgR, NagC, FUR, Zur, SahR_SamR, MetR, TyrR, BirA, KdgR, CzrA, ModE, ArgR, AraR, SahR_SamR, PhnF, NagC, FUR, KdgR	
guidi	nonpolar	Layer	NagC, PhnF, ArgR, PdxR, NrtR	NagC, NrtR, FUR, MntR, KdgR, NsrR, PhnF, KdgR, CzrA, ArgR, IscR, NrtR, ArgR, MntR, SahR_SamR, CzrA, KdgR, NagC, PdxR, MerR, FnrN_FixK, NifA, Phr, XylR, NrtR, NagC, FUR, Phr, MntR, BirA	
guidi	nonpolar	Layer2	ArgR, NifA, FixJ, NrtR, Rex	ArgR, MntR, SahR_SamR, CzrA, KdgR, NagC, NifA, MerR, MntR, SahR_SamR, PdxR, Phr, FixJ, NagC, KdgR, MntR, NrtR, FUR, NrtR, NagC, FUR, Phr, MntR, BirA, Rex, NrtR, ArgR, NsrR, FUR, CzrA	
guidi	epi-nonpolar	NO3	NmlR, GguR, NadQ, HisR, LldR	NmlR, NagC, ThiR, HypR, ModE, RbkR, GguR, PhnF, SahR_SamR, KdgR, ArgR, NsrR, NadQ, Zur, IscR, FadP, BirA, SahR_SamR, HisR, NrdR, NnrR, PhsR, AcnR, CcpA, LldR, NagC, PdhR, IscR, KdgR, NikR	IscR
guidi	epi-nonpolar	CarbonFlux	SahR_SamR, NnrR, AmtR, TyrR, XylR	SahR_SamR, ArgR, FUR, NsrR, NagC, NrtR, NnrR, FUR, CcpA, GulR, MerR, ThiR, AmtR, SoxR, AgaR, IscR, FixJ, NadQ, TyrR, BirA, NarP, IscR, KdgR, PsrA, XylR, CzrA, FUR, ThiR, IscR, NorR	
guidi	epi-nonpolar	NPP	FabR, FadR, CueR, FixJ, MerR	FabR, AgaR, NagR, MerR, PdxR, FadP, FadR, IscR, FruR, RbsR, LtbR, SiaR, CueR, FUR, CzrA, Phr, MetR, NsrR, FixJ, NagC, ExuR_UxuR, MntR, NrtR, FUR, MerR, PdxR, CcpA, NnrR, NifA, FabR	
salazar	srf	Polar	Irr, BirA, MetR, LiuQ, PdhR	Irr, TyrR, Rex, BirA, MetR, XylR, BirA, ArgR, FUR, MetR, Zur, MntR, MetR, BirA, FUR, Zur, SahR_SamR, NagC, LiuQ, NifA, MetR, KdgR, NiaR, HcpR, PdhR, LldR, XylR, NrtR, CueR, RutR	
salazar	srf	Temperature	Irr, AgaR, NagQ, NmlR, CcpA	Irr, TyrR, Rex, BirA, MetR, XylR, AgaR, NagC, BirA, Zur, NrtR, SoxR, NagQ, Zur, SahR_SamR, FUR, MntR, NagC, NmlR, PaaR, Irr, CueR, SahR_SamR, MetR, CcpA, HutC, AgaR, NrdR, NadQ, SoxR	Irr
salazar	srf	Province	FadR, FabR, GulR, PsrA, CueR	FadR, NiaR, MetR, BirA, FUR, CzrA, FabR, ModE, PhnR, LldR, NrtR, ThiR, GulR, Phr, NorR, NsrR, NagQ, SahR_SamR, PsrA, LexA, Zur, IscR, ThiR, NagC, CueR, PdxR, XylR, MetR, Zur, HrcA	
salazar	nonpolar	Layer	LiuQ, KdgR, LtbR, NifA, NmlR	LiuQ, NtrC, BirA, KdgR, MetR, FUR, KdgR, NagC, NrtR, FUR, SahR_SamR, Zur, LtbR, FUR, NagR, Phr, Zur, ModE, NifA, NsrR, IscR, LexA, Zur, PsrA, NmlR, PaaR, CueR, TtrR, MntR, FUR	
salazar	nonpolar	Layer2	NifA, KdgR, AcnR, Irr, NmlR	NifA, NsrR, IscR, LexA, Zur, PsrA, KdgR, NagC, NrtR, FUR, SahR_SamR, Zur, AcnR, RbkR, KdgR, PdhR, BirA, SoxR, Irr, PhnF, BirA, LldR, MntR, KdgR, NmlR, PaaR, CueR, TtrR, MntR, FUR	
salazar	epi-nonpolar	NO3	GlcC, GntR, GulR, HcpR, HexR	GlcC, TrpR, NagR, KdgR, PsrA, CzrA, GntR, RbsR, PdxR, HisR, RutR, BirA, GulR, SahR_SamR, NagQ, NorR, NagC, RbkR, HcpR, Rex, NrtR, ThiR, ModE, MntR, HexR, SahR_SamR, Zur, MetR, NrdR, NsrR	
salazar	epi-nonpolar	CarbonFlux	CueR, PhnR, DasR, PurR, NifA	CueR, PdxR, MetR, Zur, SahR_SamR, MntR, PhnR, ModE, LexA, BirA, Phr, Zur, DasR, NagR, PhnR, IscR, HypR, CcpA, PurR, LldR, PaaR, NrdR, BirA, SoxR, NifA, LiuQ, NmlR, NsrR, ThiR, Phr	
salazar	epi-nonpolar	NPP	NadQ, LtbR, NmlR, PrpR, NnrR	NadQ, ArgR, MetR, NagC, LexA, SahR_SamR, LtbR, FUR, Zur, NrtR, ModE, KdgR, NmlR, HrcA, LiuR, FUR, PdxR, SahR_SamR, PrpR, PsrA, PhnR, Phr, PhnF, ArgR, NnrR, NagC, NrdR, AgaR, MetR, FnrN_FixK	
MX	srf	Polar	PurR, AgaR, VanR, FadR, HcpR	PurR, MetR, FUR, LiuR, SahR_SamR, GulR, AgaR, MetR, GulR, SahR_SamR, FUR, KdgR, VanR, LexA, QorR, RutR, DasR, FabR, FadR, FruR, Phr, DasR, NrtR, ThiR, HcpR, Rex, CzrA, BirA, PhnR, ArgR	
MX	srf	Temperature	AgaR, FabR, PurR, LiuQ, ExuR_UxuR	AgaR, MetR, GulR, SahR_SamR, FUR, KdgR, FabR, MetR, AgaR, PurR, GulR, FUR, PurR, MetR, FUR, LiuR, SahR_SamR, GulR, LiuQ, CcpA, LtbR, CblR, FadR, XylR, ExuR_UxuR, FadP, AcnR, RbsR, NnrR, CcpA	AgaR, FabR, FUR, GntR, GulR, HrcA, Irr, IscR, KdgR, LiuR, MetR, MntR, NagC, NagR, NnrR, NtrC, PurR, QorR, SahR_SamR, SdaR, SiaR
MX	srf	Province	AgaR, ExuR_UxuR, FabR, LldR, TrpR	AgaR, MetR, GulR, SahR_SamR, FUR, KdgR, ExuR_UxuR, FadP, AcnR, RbsR, NnrR, CcpA, FabR, MetR, AgaR, PurR, GulR, FUR, LldR, NadQ, LiuR, FadP, PaaR, KdgR, TrpR, NagQ, HexR, HisR, HutC, TyrR	
MX	nonpolar	Layer	GlcC, CadR-PbrR, FadR, PhnR, NrdR	GlcC, NrtR, ArgR, MntR, Phr, RbkR, CadR-PbrR, PsrA, NrdR, CcpA, GguR, BirA, FadR, NsrR, NagC, NrtR, Phr, KdgR, PhnR, ArgR, Phr, NrtR, NsrR, DasR, NrdR, HutC, PhnF, PurR, NnrR, BioQ	
MX	nonpolar	Layer2	GlcC, PaaR, GntR, TtrR, FadR	GlcC, NrtR, ArgR, MntR, Phr, RbkR, PaaR, SahR_SamR, CzrA, BirA, NrtR, ArgR, GntR, FUR, NagC, NsrR, MetR, KdgR, TtrR, BirA, PhnR, ArgR, CzrA, Phr, FadR, NsrR, NagC, NrtR, Phr, KdgR	
MX	epi-nonpolar	NO3	NagQ, GlcC, GntR, GulR, HcpR	NagQ, HutC, HexR, PhnF, TrpR, ModE, GlcC, ArgR, RbkR, MntR, NrtR, Zur, GntR, NtrC, MetR, FUR, NagC, KdgR, GulR, FUR, NagC, SahR_SamR, MetR, KdgR, HcpR, FixJ, Rex, BirA, CzrA, PhnR	
MX	epi-nonpolar	CarbonFlux	IscR, FadP, NorR, TrpR, AmtR	IscR, MetR, FUR, SahR_SamR, ThiR, Zur, FadP, SahR_SamR, FUR, ArgR, Zur, NrtR, NorR, ThiR, NagC, MntR, ArgR, Phr, TrpR, HutC, ModE, HexR, PhrR, PhnF, AmtR, GntR, SiaR, VanR, GulR, NnrR	
MX	epi-nonpolar	NPP	MetR, PurR, LiuQ, PhsR, RbkR	MetR, FUR, KdgR, NagC, MntR, IscR, PurR, NnrR, Zur, FUR, IscR, SahR_SamR, LiuQ, MetR, CblR, KdgR, FUR, MntR, PhsR, CsoR, TrpR, TtrR, NmlR, TyrR, RbkR, NrtR, ArgR, FUR, NsrR, Zur	
